"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.586,0.572,-8.27,0.0437,0.271,0.104,0.118,0.29,125.955,"347AQK5Lyhn6RvB8tBGYxt",4,115238,"STARS","VULTURES 1","C minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.485,0.555,-8.938,0.66,0.132,0,0.114,0.617,80.015,"7hVb3OyFkgxDgpTdrOX6dT",4,174083,"KEYS TO MY LIFE","VULTURES 1","B minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.789,0.688,-6.996,0.223,0.108,0,0.295,0.445,120.162,"2y4ZR0BUAVePljHSsZyIgj",4,195117,"PAID","VULTURES 1","A# minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.463,0.453,-9.572,0.16,0.407,1.78e-06,0.207,0.334,148.741,"1eaqMiiUn2P7MnqJK4XeK0",4,185110,"TALKING","VULTURES 1","A major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.809,0.788,-7.217,0.0889,0.00108,0,0.0625,0.344,95.637,"1icgLGTpX2fQXKRe4D7w2b",4,295471,"BACK TO ME","VULTURES 1","C# major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.55,0.513,-6.567,0.0345,0.0612,0,0.178,0.229,87.741,"1eThXFmkENeSkdeLO8S86F",4,222982,"HOODRAT","VULTURES 1","B minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.831,0.69,-5.869,0.0831,0.19,0,0.08,0.65,107.016,"2iGvsJuc2mC4mDVOVMNAP6",4,225000,"DO IT","VULTURES 1","C# major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.741,0.488,-5.308,0.0556,0.0703,9.1e-06,0.0821,0.186,120.839,"2yyO7EKRr7c3txi4xCXUFk",4,145785,"PAPERWORK","VULTURES 1","G# major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.6,0.885,-6.21,0.393,0.0157,6.02e-06,0.856,0.736,105.003,"04CyMEHliadfQWMUJb1w99",4,111458,"BURN","VULTURES 1","B minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.774,0.818,-2.825,0.145,0.127,0,0.0529,0.438,142.084,"5tEaVciE2GnR28aN6W9cLS",4,209577,"FUK SUMN","VULTURES 1","E minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.705,0.681,-4.256,0.192,0.0534,0,0.141,0.485,146.118,"3SIRBp4RRQ2AO5H4NO7xfq",4,276986,"VULTURES","VULTURES 1","C# minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.594,0.811,-5.746,0.159,0.189,0,0.339,0.311,148.144,"3w0w2T288dec0mgeZZqoNN",4,264324,"CARNIVAL","VULTURES 1","C# major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.508,0.273,-10.625,0.0567,0.19,0.00238,0.176,0.0482,108.784,"4ihV1wv7QmjbkLHaT9lA4s",4,368739,"BEG FORGIVENESS","VULTURES 1","C# minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.545,0.53,-12.34,0.0572,0.788,0.744,0.11,0.552,130.064,"3Bhcq2VkdOXPTZYX7BzQt0",4,199440,"GOOD (DON'T DIE)","VULTURES 1","F major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.457,0.846,-1.931,0.0741,0.72,0,0.358,0.747,154.705,"5GtUTcvOx52F5648wXQfc7",4,194713,"PROBLEMATIC","VULTURES 1","E minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","30zwjSQEodaUXCn11nmiVF",2024,0.511,0.963,-6.528,0.0895,0.00332,0.000544,0.199,0.488,153.047,"01Ho3efkRrIbYnWxISj05V",4,156862,"KING","VULTURES 1","B minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.621,0.763,-5.511,0.0684,0.0286,0,0.529,0.45,139.994,"1ENMwElCCao8ejBvXCjWN1",4,164565,"Memories","Cheers to the Best Memories","C major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.633,0.403,-3.1,0.0318,0.32,0,0.3,0.405,99.893,"3LHWXFE4mKwcjjjf1GbY99",4,211202,"Don't Say A Word","Cheers to the Best Memories","A minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.194,0.473,-9.704,0.0354,0.628,0.0482,0.148,0.469,200.378,"411qflX72pcTKQSJOHopQS",4,108702,"Can You Take It (Interlude)","Cheers to the Best Memories","D minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.518,0.392,-9.667,0.057,0.65,0,0.104,0.276,81.504,"4Pws0SwDkUkQMgwhg1uEDe",4,188661,"Outside","Cheers to the Best Memories","F major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.756,0.536,-6.888,0.0547,0.362,0,0.106,0.545,130.083,"7JRUWpEZjMxFU49frEzqOl",4,206777,"Can't Tell (feat. YG)","Cheers to the Best Memories","G# major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.74,0.718,-4.925,0.0715,0.122,2.91e-05,0.408,0.186,90.022,"0lljBJMLGcTLm5Zn4KxQBH",4,176030,"Somebody That You Don't Know (feat. Rauw Alejandro)","Cheers to the Best Memories","B minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.555,0.473,-8.247,0.104,0.683,0,0.113,0.221,139.774,"11VkGCtNEIFEFBTptFJzEA",4,138792,"Fight Club","Cheers to the Best Memories","C minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.524,0.64,-5.127,0.422,0.19,0,0.235,0.591,138.141,"4z4WuGUCY0nMyeFL9Kwa5p",4,95914,"Rude (Ty Dolla $ign Interlude)","Cheers to the Best Memories","C# major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.621,0.681,-5.436,0.0322,0.443,9.29e-06,0.256,0.163,106.008,"6u9NdgNNpp87JbxWOnCm5G",4,154000,"Better Yet (dvsn Interlude)","Cheers to the Best Memories","A# minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.435,0.479,-7.572,0.0438,0.63,0,0.229,0.494,73.414,"3WYO30U2xhZaIpGiLiAfVf",4,246930,"Wedding Cake","Cheers to the Best Memories","F# major"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","15D9ut0TGWReBDq4YRQoZA",2021,0.524,0.699,-5.559,0.0462,0.303,0,0.769,0.703,145.191,"2S443LbscYVkdv9LDUJlBn",4,246609,"I Believed It (feat. Mac Miller)","Cheers to the Best Memories","C# minor"
"Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","6M4Nu5UgX097dxeF2lm9P8",2020,0.509,0.509,-14.691,0.567,0.988,0,0.471,0.853,73.536,"2OxbG6Rh0WNicBVilir5IC",3,25042,"Intro","Featuring Ty Dolla $ign","F# major"
