"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.719,0.792,-5.75,0.255,0.0423,0,0.185,0.385,130.072,"67ojQNHyfmdxrjNbcKSPg6",4,206788,"Watts","Blue Genes II","A# minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.749,0.735,-6.432,0.0438,0.0179,1.49e-05,0.074,0.65,146.718,"7xnVR5qJyISiNovuhiVh8W",4,195918,"Bad Mamma Jamma (feat. Brodnax)","Blue Genes II","F# minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.872,0.757,-6.126,0.286,0.097,0,0.0437,0.632,120.123,"761lGjG7cioszgq0FwRFwX",4,161041,"Prove It (feat. JJ Lawhorn)","Blue Genes II","D major"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.646,0.83,-5.497,0.06,0.111,0,0.73,0.316,139.967,"01ElC5jlh8HDF0i5Ls0QW3",4,214500,"Bipolar","Blue Genes II","E minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.785,0.637,-7.413,0.163,0.0158,0.000165,0.303,0.392,151.003,"4xvYpX7vavNF70JvU31ggu",4,206308,"Supaa Hott Firee","Blue Genes II","D major"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.692,0.729,-5.395,0.0334,0.129,0.000109,0.263,0.22,129.861,"1FltESfYY2OR6xULUIwptf",4,210500,"Stranger (feat. t2.)","Blue Genes II","G major"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.785,0.652,-6.009,0.0796,0.0089,0.00223,0.124,0.489,140.052,"1FePKoY4yDSP7jD9MWNmie",4,186711,"James Dean","Blue Genes II","A major"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.781,0.741,-5.679,0.0969,0.153,0,0.19,0.169,89.024,"62oJAuRNfy2XX4zC40tuoc",4,196000,"From a One Lane","Blue Genes II","D major"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.713,0.831,-5.725,0.21,0.0465,0,0.105,0.48,159.96,"4eohlw1vYgCGD5zPma2bal",4,240000,"Why Boys","Blue Genes II","B minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.788,0.771,-6.264,0.141,0.0108,0.000576,0.226,0.639,149.812,"0A4fFCkilKSlwU0rWQlkbK",4,182518,"SUS (feat. Brodnax)","Blue Genes II","C# minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.734,0.822,-5.755,0.26,0.0145,0,0.555,0.473,88.101,"5hIp0gIhx0xChauyNHMvJi",4,189177,"Southside (feat. t2. & Brodnax)","Blue Genes II","B minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","7hsF3owHyt9Rt62ZouTPPI",2024,0.738,0.748,-5.22,0.179,0.214,1.42e-06,0.21,0.47,147.974,"1ptUisElP9B2P956B5u0s3",4,227824,"Side of the Road (feat. Boosie Badazz & Brodnax)","Blue Genes II","E minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","6lxDYWMhKlhZVq1Svk0F9A",2023,0.55,0.597,-8.697,0.0364,0.548,0,0.144,0.392,180.023,"5FYA5EvEoZLlHTfy69gmuh",4,189589,"Don't Ever Die","Concert for the Crickets","G# minor"
"Upchurch","2pSObt5Fk8izuX8ZfI3jRn","6lxDYWMhKlhZVq1Svk0F9A",2023,0.796,0.551,-8.574,0.038,0.104,0,0.212,0.199,123.945,"6kybuE4iawCS25y9z9tsX3",4,173269,"Writers Room","Concert for the Crickets","D major"
