"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","7xY5v6aZvo4YZBOZSJbrDa",2024,0.489,0.608,-5.329,0.0274,0.0143,0,0.193,0.352,148.117,"4JEPMdMizbAWlaCtLaTjvT",3,222466,"Heartbreaker","Pretty Little Poison (Deluxe)","F major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","7xY5v6aZvo4YZBOZSJbrDa",2024,0.503,0.485,-6.08,0.0285,0.429,8.18e-06,0.117,0.248,143.967,"79odnhnVWU9uEE3XAQhTo3",4,194680,"Happy Hurts","Pretty Little Poison (Deluxe)","D# major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","7xY5v6aZvo4YZBOZSJbrDa",2024,0.5,0.882,-3.596,0.047,0.00371,0.00218,0.133,0.364,89.997,"7KBOLnR8kQDMl1MVGio4Xb",4,201053,"Sin So Sweet","Pretty Little Poison (Deluxe)","A# major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","2s7CBSj6aKbWmkfBU8eEsg",2023,0.494,0.567,-4.156,0.0334,0.0235,2.4e-06,0.146,0.22,112.011,"0MIp9iBm1V41ERxkZnmSUG",3,218260,"Pretty Little Poison","Pretty Little Poison","C# major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","2s7CBSj6aKbWmkfBU8eEsg",2023,0.576,0.852,-4.689,0.0301,0.000139,0.0129,0.102,0.502,97.98,"5Z48gU2EpgzhECkuuXp4Ev",4,183040,"Some Whiskey","Pretty Little Poison","C major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","2s7CBSj6aKbWmkfBU8eEsg",2023,0.416,0.55,-4.782,0.0306,0.00534,0.000141,0.113,0.128,111.154,"0AsEtuoqlnt5xKAmuOCpJy",4,188800,"Love's A Leavin'","Pretty Little Poison","B major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","2s7CBSj6aKbWmkfBU8eEsg",2023,0.492,0.795,-4.492,0.0367,0.0046,8.65e-06,0.098,0.217,142.014,"3kgnTMKFjRHzpRYobX5QWP",4,188725,"Tell Me Like It Is","Pretty Little Poison","F major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","2s7CBSj6aKbWmkfBU8eEsg",2023,0.56,0.885,-3.706,0.0484,0.00326,0.00873,0.123,0.547,135.88,"6TSUSDzjOW9oE6dffGM6AS",4,204651,"Black and Blue","Pretty Little Poison","A# major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","2s7CBSj6aKbWmkfBU8eEsg",2023,0.462,0.691,-3.747,0.0261,0.22,0.000525,0.14,0.296,145.988,"4qQ7NJJlZ9ICFSYgtTBuNX",4,181746,"Weeping Willow","Pretty Little Poison","C# major"
"Warren Zeiders","7kplJl06UmldxLKseURAYi","2s7CBSj6aKbWmkfBU8eEsg",2023,0.527,0.791,-4.234,0.0436,0.0673,6.68e-05,0.233,0.393,139.965,"5Jbl0Ha0N78bQCO3tngm4w",4,167173,"Pain Killer","Pretty Little Poison","G minor"
