"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.6,0.41,1,-10.788,0,0.395,0.841,0,0.433,0.312,104.337,"44IXD2J5yyr7PpOZzz2cmQ",4,107266,"Fear and Friday's (Poem)","Zach Bryan","C# minor"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.377,0.72,4,-7.086,1,0.0364,0.0217,0.00919,0.138,0.26,142.212,"5pIVEk6Di7n1v5khOzJaJL",4,190946,"Overtime","Zach Bryan","E major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.469,0.208,0,-9.022,1,0.0448,0.607,1.72e-06,0.127,0.215,81.098,"7eOuUmpnHBlg5zsm8Cs7c3",4,186186,"Summertime's Close","Zach Bryan","C major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.408,0.607,10,-7.463,1,0.0391,0.236,8.02e-05,0.0972,0.169,144.136,"00syWkRGIVQvYsg2OwfBUw",4,209320,"East Side of Sorrow","Zach Bryan","A# major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.583,0.351,0,-5.836,1,0.0306,0.494,0,0.368,0.462,79.014,"4pCbJC43j3gSqG6Fen6upD",4,227466,"Hey Driver (feat. The War and Treaty)","Zach Bryan","C major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.523,0.636,7,-5.813,1,0.0582,0.0541,2.63e-06,0.0716,0.155,128.785,"0GMiRrUnQuoGddKMsxGPIZ",4,171426,"Fear and Friday's","Zach Bryan","G major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.494,0.328,6,-8.553,1,0.034,0.718,2.91e-06,0.0744,0.206,121.834,"1HwDRgozGBMyfJTQUfz09A",5,242200,"Ticking","Zach Bryan","F# major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.415,0.404,4,-9.331,1,0.0393,0.678,1.95e-05,0.28,0.425,81.202,"3itgPtXSu4I9mr2QD6yrzP",4,216026,"Holy Roller (feat. Sierra Ferrell)","Zach Bryan","E major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.351,0.593,3,-5.549,1,0.0267,0.678,5.54e-05,0.117,0.358,92.263,"7C1BLYzAvR0KdBpov3GpUZ",4,182855,"El Dorado","Zach Bryan","D# major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,"4KULAymBBJcPRpk1yO4dOG",4,227195,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan","C major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.593,0.397,6,-8.309,1,0.0329,0.684,7.44e-06,0.0982,0.32,76.703,"3EvZ03hGAFwGZ2Ebcu86YH",4,189053,"Tourniquet","Zach Bryan","F# major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.604,0.444,0,-7.695,1,0.0698,0.409,0,0.0837,0.169,72.129,"0HEytGQM3bG1vKxER7IgVK",4,169467,"Spotless (feat. The Lumineers)","Zach Bryan","C major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.533,0.389,0,-8.428,1,0.051,0.85,0.0012,0.104,0.164,76.77,"6Otmq7JokHh38wKSqUimcS",3,187729,"Tradesman","Zach Bryan","C major"
"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2","6PbnGueEO6LGodPfvNldYf",2023,0.595,0.41,0,-5.079,1,0.0257,0.776,4.27e-06,0.224,0.141,83.308,"67aaFVnfvFWjxVQMd0jDb5",4,187270,"Smaller Acts","Zach Bryan","C major"
