"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1Ta4FeCEYM3uCEHmkS6VSa",2024,0.471,0.475,-8.801,0.0335,0.21,0.00147,0.716,0.118,129.233,"70Xf4ejDfq03Mj0yapgQT9",4,285133,"Hey man","B.B. King - Featuring","G major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.806,0.409,-6.812,0.0427,0.655,0.501,0.0865,0.594,112.829,"7gpGXZM2aQm2p52ZC4CnI4",3,166880,"Walkin","The Legendary B.B. King","G major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.726,0.782,-5.318,0.0536,0.722,0.00792,0.0581,0.965,151.57,"4TgkHIr5nnk1V5ZcaiBkmU",4,178693,"Hully Gully","The Legendary B.B. King","F# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.492,0.591,-4.189,0.0762,0.485,2.75e-06,0.0485,0.614,84.133,"74LcKUpP19P5bvMLuhBG1q",4,190280,"Baby Look at You","The Legendary B.B. King","C# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.592,0.552,-5.87,0.0505,0.485,0,0.247,0.79,119.57,"7wfzsOJFpPKLiRPIGlTWxR",4,161640,"Get Out of Here","The Legendary B.B. King","G# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.815,0.514,-5.079,0.0644,0.715,3.66e-06,0.101,0.537,106.533,"0WMwbCutjUczyJxJ0eZGez",4,194346,"Mr Pawn Broker","The Legendary B.B. King","A minor"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.779,0.475,-5.487,0.0713,0.613,1.69e-05,0.098,0.691,105.044,"1dqSba233euvzakAEuacJy",4,168573,"Please Set the Date","The Legendary B.B. King","F major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.404,0.527,-5.977,0.0303,0.281,0,0.0757,0.404,74.423,"0JRRUNmePr8nzWixC5W6WQ",4,212280,"Feel Like a Million","The Legendary B.B. King","C# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.54,0.751,-5.356,0.0432,0.673,8.37e-06,0.578,0.737,122.354,"6zA7CGGX9jLiM6O0DOIJRF",4,170160,"You're on the Top","The Legendary B.B. King","A minor"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.476,0.511,-6.063,0.0301,0.73,7.53e-05,0.0872,0.667,110.549,"1oNXrARObtHuO0nGcm1gJm",3,181160,"Partin Time","The Legendary B.B. King","D major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.348,0.511,-5.791,0.039,0.712,0,0.0708,0.609,82.367,"5BKkvuS47B4c3IpiVf1BqG",4,194186,"I've Got a Right to Love My Baby","The Legendary B.B. King","C# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.43,0.762,-6.687,0.0548,0.827,0.739,0.142,0.54,125.331,"5hpOyMusGvDXSz4OG8C4ii",4,187893,"Cottontail","The Legendary B.B. King","D# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.393,0.495,-8.72,0.044,0.911,0.427,0.182,0.732,146.403,"0qFBKye7vaIVxBpfd0Yx6T",4,209306,"Jack the Bear","The Legendary B.B. King","G# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.386,0.395,-9.252,0.0311,0.773,0.251,0.0852,0.465,64.297,"60kntUlB1oHSnY6DsAUIkp",4,277706,"Jeeps Blues","The Legendary B.B. King","F major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.169,0.231,-9.817,0.0279,0.775,0.0466,0.0719,0.199,81.795,"4taVjK9yhK99IgWZW2kBci",4,196586,"Solitude","The Legendary B.B. King","C# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.333,0.542,-7.57,0.0373,0.877,0.453,0.0878,0.651,162.967,"2lxNpFVRZ2UgU6MXt8HkfA",4,182560,"Take the a Train","The Legendary B.B. King","C major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.312,0.857,-5.788,0.0941,0.689,0,0.0966,0.4,103.927,"66Y8ykL2D608hc8176BxdN",4,128666,"Sweet Chariot","The Legendary B.B. King","G major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.526,0.619,-6.685,0.0368,0.634,1.05e-05,0.138,0.555,112.331,"7v6uXu6Qp6lj1Wn4WbjjYs",3,218693,"Army of the Lord","The Legendary B.B. King","F major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.694,0.667,-6.479,0.0287,0.815,0,0.321,0.942,96.066,"1SUN0i95f5Upm1aqRsrvTj",4,136920,"Come by Here","The Legendary B.B. King","C major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.409,0.813,-4.425,0.113,0.563,3.79e-05,0.0858,0.755,113.65,"4xqAsGJ35ePiGWCNgQ1Uu2",4,159466,"We Can't Make It","The Legendary B.B. King","G# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.495,0.486,-4.3,0.0365,0.746,0,0.035,0.452,115.694,"344xMoRs8uhJrxAdxqnK9E",3,175973,"Troubles Troubles Troubles","The Legendary B.B. King","C# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","1GZQ7VePr876aK9R0q1bbD",2021,0.471,0.762,-3.123,0.0416,0.648,8.68e-06,0.313,0.809,90.584,"03jJEO7RmWmrspKZ326zuh",4,167093,"Why Do Everything Happen to Me","The Legendary B.B. King","A# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","7C6mI7TlzE2eyganXsihsI",2020,0.468,0.783,-6.621,0.0326,0.226,0,0.164,0.785,204.113,"1J8bmCwiCnpiTfcOsJ67IQ",4,263397,"Riding with the King","Riding With The King (20th Anniversary Deluxe Edition)","B minor"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","7C6mI7TlzE2eyganXsihsI",2020,0.767,0.647,-6.501,0.025,0.126,0.194,0.1,0.6,98.058,"0Fv25N2g3hzeF3gg4vvuSH",4,272200,"Rollin' and Tumblin'","Riding With The King (20th Anniversary Deluxe Edition)","E minor"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","7C6mI7TlzE2eyganXsihsI",2020,0.613,0.682,-6.434,0.0295,0.395,4.92e-05,0.271,0.647,97.277,"5vYokFdZT7xdpRH5mrvBbn",4,307156,"Let Me Love You","Riding With The King (20th Anniversary Deluxe Edition)","C minor"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","2KfUvQnezgyKXBaPFe35vJ",2018,0.595,0.349,-13.017,0.127,0.844,3.78e-06,0.592,0.773,109.697,"1E31JYc5yTLL0eqLZIhh0r",4,151946,"I'm Gonna Quit My Baby","Sweet Little Angel","C major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","2KfUvQnezgyKXBaPFe35vJ",2018,0.353,0.538,-10.475,0.106,0.858,0.000151,0.959,0.744,183.215,"2bcJrzse2bw7XLZcH7f4nk",3,312266,"Sweet 16 / You Know I Love You Baby","Sweet Little Angel","C# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","2KfUvQnezgyKXBaPFe35vJ",2018,0.725,0.348,-12.581,0.0596,0.965,0.00728,0.384,0.779,108.192,"5pKxbDFvVPcpET45z1gJ0w",4,188920,"Whole Lot Of Lovin","Sweet Little Angel","G# major"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","2KfUvQnezgyKXBaPFe35vJ",2018,0.452,0.249,-16.464,0.0772,0.88,2.65e-06,0.433,0.645,95.588,"3ZSoz9dIU3K1eGvasaSyHU",4,168120,"Just Sing The Blues","Sweet Little Angel","D minor"
"B.B. King","5xLSa7l4IV1gsQfhAMvl0U","2KfUvQnezgyKXBaPFe35vJ",2018,0.596,0.315,-15.15,0.0441,0.864,1.26e-05,0.218,0.762,109.935,"3aBvpuvLwJnOcAyrUT5nxw",4,169880,"Be Careful With A Fool","Sweet Little Angel","A# major"
