"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.79,0.434,-14.864,0.0297,0.118,0,0.0839,0.868,105.915,"3R3UF0fn9DzRV7yPMs96GT",4,244200,"Oh Yeah!","Watching You Watching Me","F minor"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.711,0.293,-16.872,0.0403,0.786,0.000526,0.0715,0.641,78.171,"3eXCVGzenOoXfXlXtBhmgy",4,267440,"Something That Turns You On","Watching You Watching Me","D# major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.761,0.601,-13.959,0.036,0.14,0.00147,0.0482,0.738,108.046,"0nflo4jScDSM7FLB0K2wSm",4,241293,"Don't Make Me Wait","Watching You Watching Me","B major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.772,0.404,-15.177,0.0951,0.0802,0.141,0.0279,0.964,170.334,"3JirEmocEfXNFgZosZN1Kr",4,256733,"Heart In Your Life","Watching You Watching Me","C# minor"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.669,0.315,-15.841,0.03,0.238,0,0.065,0.582,119.847,"5TxmGqsyCSDuWAkyn5XopG",3,348800,"Watching You Watching Me","Watching You Watching Me","B major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.726,0.548,-15.844,0.0479,0.129,0.0759,0.0598,0.855,84.451,"6ayiWjgowOfrJFAQoB5EAX",4,208573,"We Could Be Sweet Lovers","Watching You Watching Me","G major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.394,0.0674,-17.357,0.0369,0.963,1.08e-06,0.091,0.0505,136.229,"1dQmI1e0zvtucT6ytNKJ24",4,282826,"You Just Can't Smile It Away","Watching You Watching Me","F major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.724,0.643,-14.235,0.0583,0.296,0.000297,0.225,0.645,84.44,"08DiEWHGFXOHeDyFUzCyv3",4,345600,"Steppin' Right Along","Watching You Watching Me","D# minor"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.498,0.0312,-20.591,0.0309,0.937,3.32e-05,0.113,0.145,92.385,"4ixXzXaQRzRKkgogKwhsH9",4,196133,"Whatever Happens","Watching You Watching Me","D# major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","2SfDbgcq2U3hdyzsmlQzt7",1985,0.663,0.282,-17.204,0.0379,0.664,0.441,0.0967,0.545,157.827,"2qIY2JwvnQlq16WEuumbHV",4,321133,"You Try to Find a Love","Watching You Watching Me","D major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","3dHnZMcA2O5Ck6E5QWXU4Q",1978,0.934,0.521,-11.706,0.042,0.442,0.0414,0.0591,0.85,104.091,"2mQxn5c5xpFQ3RoWJmcoyv",4,229946,"All Because of You","'Bout Love","D major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","3dHnZMcA2O5Ck6E5QWXU4Q",1978,0.762,0.423,-11.193,0.0271,0.313,0.503,0.1,0.536,90.306,"77zfRUlpbaaoZ2ibICYpRc",4,287826,"Dedicated to You My Love","'Bout Love","B major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","3dHnZMcA2O5Ck6E5QWXU4Q",1978,0.85,0.602,-9.841,0.0492,0.386,0.0986,0.203,0.762,107.777,"5jO8BB4eIdrZ4EZE4zkHwX",4,252306,"Don't It Make It Better","'Bout Love","C# minor"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","3dHnZMcA2O5Ck6E5QWXU4Q",1978,0.903,0.673,-7.831,0.0367,0.0615,0.659,0.0462,0.779,103.052,"0ftZ5CjzOWGDa7h0zQP6Z9",4,434800,"You Got the Stuff","'Bout Love","D major"
"Bill Withers","1ThoqLcyIYvZn7iWbj8fsj","3dHnZMcA2O5Ck6E5QWXU4Q",1978,0.819,0.541,-11.273,0.0294,0.306,0.129,0.307,0.691,109.943,"7yXQDwn7ZZN2kNuraNdRkc",4,263040,"Look to Each Other for Love","'Bout Love","G major"
