"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.599,0.128,-17.261,0.109,0.974,0.121,0.115,0.367,159.679,"4HOryCnbme0zBnF8LWij3f",4,244221,"Getting Older","Happier Than Ever","A# major"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.849,0.48,-5.835,0.226,0.612,0.269,0.295,0.677,142.021,"7bcy34fBT2ap1L4bfPsl9q",4,158463,"I Didn't Change My Number","Happier Than Ever","A major"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.895,0.389,-11.036,0.11,0.222,0.0346,0.105,0.549,110.023,"2KnuaZYoGzDoHiBTNYOTXG",4,196730,"Billie Bossa Nova","Happier Than Ever","G minor"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.456,0.285,-10.755,0.0979,0.814,0.143,0.307,0.0809,104.89,"3YUMWmx8EJq0DurfuIwoGh",4,210005,"my future","Happier Than Ever","G# major"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.757,0.598,-7.777,0.058,0.0904,0.551,0.15,0.18,124.951,"4t2OeILB07eMGTXSUbMPEu",4,210232,"Oxytocin","Happier Than Ever","B major"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.654,0.303,-13.943,0.126,0.755,0.159,0.0957,0.168,160.095,"0FfqyjhB6Kspvit1oOo7ax",4,151536,"GOLDWING","Happier Than Ever","F minor"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.526,0.334,-8.491,0.251,0.702,0.00782,0.0586,0.522,74.966,"4191RXFPa7Ge9XkA4cWlna",4,212496,"Lost Cause","Happier Than Ever","A# minor"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.403,0.159,-16.728,0.104,0.961,0.0121,0.34,0.0381,72.38,"5XsAal7ZcWg1I5T4NcRjkv",4,234761,"Halley's Comet","Happier Than Ever","C# minor"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.468,0.13,-18.031,0.0571,0.454,0.927,0.0819,0.0362,115.039,"4T2zre0jqstNJ5Gt0WG9lz",4,227679,"Not My Responsibility","Happier Than Ever","C# major"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.777,0.522,-12.496,0.0535,0.527,0.838,0.0968,0.182,115.008,"5uSG6fUPRaehaV820zcpsK",4,214058,"OverHeated","Happier Than Ever","G# minor"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.275,0.155,-17.285,0.0674,0.928,0.176,0.0888,0.0588,65.136,"5jhBwnqzNNrENXnYrAdoCe",3,206622,"Everybody Dies","Happier Than Ever","G minor"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.632,0.284,-14.025,0.0801,0.932,0.000476,0.233,0.208,129.642,"042Sl6Mn83JHyLEqdK7uI0",4,245896,"Your Power","Happier Than Ever","A minor"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.765,0.373,-9.921,0.0713,0.341,0.525,0.112,0.554,85.016,"38GBNKZUhfBkk3oNlWzRYd",4,195776,"NDA","Happier Than Ever","G# major"
"Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","0JGOiO34nwfUdDrD612dOp",2021,0.879,0.365,-7.781,0.0924,0.227,0.135,0.0583,0.663,94.016,"20R4HfKloPKgXDqU7UKk3x",4,173539,"Therefore I Am","Happier Than Ever","D major"
