"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.418,0.22,-13.92,0.0288,0.868,0.981,0.113,0.665,144.052,"3rWepjMBxRG7J3ikhmN6X2",1,39938,"Intro","Funk Wav Bounces Vol. 2","A# major"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.876,0.821,-5.982,0.0611,0.244,1.54e-05,0.0595,0.777,92.001,"561ANIxwuIDp8n8teVXQiJ",4,168663,"New Money (with 21 Savage)","Funk Wav Bounces Vol. 2","F# major"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.824,0.697,-4.869,0.0473,0.158,4.11e-05,0.0751,0.757,99.987,"3h8tI65xdfpQyTAy7Grqwa",4,215215,"Potion (with Dua Lipa & Young Thug)","Funk Wav Bounces Vol. 2","B minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.808,0.816,-4.3,0.0463,0.368,0.00123,0.306,0.962,96.982,"2Tg6UGiplOTWZalFj1eY6y",4,206135,"Woman Of The Year (with Stefflon Don, Chlöe & Coi Leray)","Funk Wav Bounces Vol. 2","G# minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.733,0.74,-6.343,0.0333,0.246,3.3e-05,0.299,0.903,99.993,"0b5CzUhyShYuDdtW5J4wm2",4,226497,"Obsessed (with Charlie Puth & Shenseea)","Funk Wav Bounces Vol. 2","C# minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.728,0.707,-5.09,0.0435,0.371,0.00107,0.138,0.802,96.017,"5Axapk6xMmSHK2A75EZiYo",4,302613,"New To You (with Normani, Tinashe & Offset)","Funk Wav Bounces Vol. 2","G# major"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.568,0.89,-4.787,0.281,0.469,3.92e-06,0.278,0.924,106.032,"13xxAy6jr030o2cCMv5MTX",4,157046,"Ready Or Not (with Busta Rhymes)","Funk Wav Bounces Vol. 2","B minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.81,0.733,-6.338,0.0444,0.276,6.73e-06,0.288,0.9,125.975,"6clzeGvi1CFioMOolbAOlX",4,229282,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)","Funk Wav Bounces Vol. 2","A major"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.718,0.88,-6.137,0.0351,0.0245,0.00386,0.263,0.927,126.002,"6S8hzeDFZmsJbQCO3w97Zz",4,83736,"Stay With Me (Part 2) (with Justin Timberlake, Halsey & Pharrell)","Funk Wav Bounces Vol. 2","B minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.707,0.78,-3.881,0.0304,0.253,1.16e-06,0.35,0.951,89.986,"5BchaCO4QMiAIugGp5UpUX",4,178560,"Somebody Else (with Jorja Smith & Lil Durk)","Funk Wav Bounces Vol. 2","A# minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.799,0.726,-5.596,0.0369,0.287,6.83e-05,0.255,0.87,109.983,"4hvWEdTLJxrZsDDjUEcHvy",4,233974,"Nothing More To Say (with 6LACK & Donae’o)","Funk Wav Bounces Vol. 2","F minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.755,0.629,-5.665,0.0654,0.604,4.93e-06,0.117,0.908,144.003,"7gqlF5gGTO4aSZV2HPkYwm",4,163481,"Live My Best Life (with Snoop Dogg & Latto)","Funk Wav Bounces Vol. 2","G minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.47,0.593,-6.12,0.0518,0.417,0,0.171,0.525,79.578,"3LXkyXoIBjRjq2Cx3RJHHb",4,232997,"Lean On Me (with Swae Lee)","Funk Wav Bounces Vol. 2","E major"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","49DV9eFp2xTdtO7veew5xS",2022,0.732,0.653,-7.921,0.206,0.616,0,0.149,0.931,89.946,"2wgbyESBZ7xBkxYN2bSDOL",4,200377,"Day One (with Pharrell & Pusha T)","Funk Wav Bounces Vol. 2","A minor"
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","2HaqChIDc5go3qxVunBDK0",2017,0.736,0.795,-3.299,0.0545,0.498,1.21e-06,0.254,0.511,104.066,"7tr2za8SQg2CI8EDgrdtNl",4,230813,"Slide (feat. Frank Ocean & Migos)","Funk Wav Bounces Vol.1","C# minor"
