"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.691,0.813,-4.49,0.0393,0.201,0.132,0.128,0.537,154.122,"44KWbTVZev3SWdv1t5UoYE",4,125055,"How Much Is Weed?","Sunburn","C# major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.8,0.733,-4.402,0.0517,0.0699,0.000801,0.439,0.921,124.986,"6OrCWnvAja4n5IYdzchJlH",4,126232,"Ant Pile","Sunburn","C major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.538,0.452,-7.994,0.0462,0.368,2.26e-05,0.0635,0.209,168.102,"4Z59a9hIn8EMsni3OiqGso",4,222839,"Think Fast (feat. Weezer)","Sunburn","D major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.593,0.591,-8.43,0.0458,0.295,0.00918,0.289,0.482,98.976,"6OklSp2KgnW8RWNdQ7n8o1",4,141011,"Sick","Sunburn","D major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.67,0.409,-10.406,0.106,0.625,0,0.211,0.595,80.468,"2SWqVCbl51UX5xgDHvE1uT",4,168094,"7 Hours","Sunburn","C major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.571,0.758,-4.518,0.065,0.0879,0,0.326,0.723,76.503,"5fX8WljoAFrmFrFqahjz4Y",4,157563,"Dancing In The Courthouse","Sunburn","D major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.759,0.646,-7.603,0.12,0.231,0,0.161,0.445,111.043,"71DSaeKtXQaMAqnvMT7Uoc",4,186066,"Mona Lisa","Sunburn","C# major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.809,0.752,-4.639,0.0913,0.0193,5.43e-05,0.0872,0.677,98.027,"59JXLBosh2OFLMCARkINnB",4,124504,"Bodies","Sunburn","C major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.652,0.67,-8.109,0.21,0.344,0.00019,0.311,0.654,93.775,"2Z90fzU2ZlMaUEgA2rhJxr",4,179151,"Sunburn","Sunburn","C major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.579,0.666,-5.953,0.0839,0.0717,0.000422,0.0949,0.446,84.016,"5APPlPgagEAXjGLIizqSDS",4,173466,"Pasture Child","Sunburn","C minor"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.63,0.263,-9.959,0.0511,0.926,4.18e-05,0.104,0.453,151.671,"3frC55hy41BhQK65FiJK7q",4,167921,"4x4","Sunburn","A# major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.847,0.487,-5.519,0.047,0.211,0,0.0761,0.811,97.018,"3my33XXLpYUzVEeLOyftV2",4,115618,"Frisky","Sunburn","A major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.807,0.354,-7.554,0.0321,0.15,0.713,0.186,0.602,78.964,"0b6xZk9f96N77BfmYWnQNC",4,155721,"Mama's Boy","Sunburn","A major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.46,0.338,-14.228,0.0987,0.87,2.84e-05,0.11,0.0849,84.817,"6qWW8mNGVEMNQ8mhPEaAJ5",4,176189,"Dark","Sunburn","F# minor"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","2T7LuxZRr6SQMgABLtoYTH",2023,0.634,0.46,-8.447,0.0454,0.884,0.00715,0.062,0.765,89.119,"6CHz71rEBt1SligO9zx79A",4,134357,"What Kinda Woman","Sunburn","D major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","1BubKJqf6Uc4fNae5kLJJ7",2020,0.497,0.789,-0.947,0.0809,0.0021,0.000528,0.28,0.459,81.154,"3Wgs96Z4TdCpnqFj2CxpsI",4,77620,"Come Here","What Could Possibly Go Wrong","F# major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","1BubKJqf6Uc4fNae5kLJJ7",2020,0.689,0.858,-2.868,0.161,0.00383,0,0.129,0.643,153.977,"7ACT6YaXbYvl7hRWEOOEHQ",4,126465,"Double Negative (Skeleton Milkshake)","What Could Possibly Go Wrong","E major"
"Dominic Fike","6USv9qhCn6zfxlBQIYJ9qs","1BubKJqf6Uc4fNae5kLJJ7",2020,0.665,0.874,-2.241,0.323,0.466,3.65e-06,0.082,0.761,169.896,"2FMO2IFR4cJSe5D4BlpDV8",4,137241,"Cancel Me","What Could Possibly Go Wrong","G# major"
