"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.768,0.729,-9.412,0.0669,0.282,0.785,0.0991,0.0446,124.994,"397GpgLAJnwQDBwIJ8ko1t",4,327508,"ItsNotREEAALLLLLLLL","USB","A# minor"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.523,0.635,-9.001,0.19,0.275,0.411,0.198,0.265,101.62,"21f4TjwWXbnqg8d5R6oq8Y",4,123607,"BerwynGesaffNeighbours","USB","D major"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.699,0.755,-6.502,0.122,0.003,0.00511,0.244,0.132,134.082,"4sHXKCcNR8CSifCNUhYwuW",4,274925,"stayinit","USB","G minor"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.68,0.881,-4.503,0.0553,0.00499,0.0253,0.574,0.105,174.062,"1nzOUWyHoZLzf9EX0pnFPn",4,222784,"leavemealone","USB","C major"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.847,0.724,-7.668,0.047,0.00355,0.00339,0.0731,0.326,126.983,"2sMzNgi3wblmxw8ez4GN9G",4,319963,"Baby again..","USB","D major"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.81,0.836,-7.721,0.0645,0.0515,0.229,0.0598,0.0585,139.979,"3cl0rrKUKwNtNF3rQLnHMS",4,146571,"Rumble","USB","C# minor"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.683,0.887,-4.944,0.0497,0.0125,0.446,0.318,0.551,132.007,"44zHtICHoRfBaxfRgiSrKL",4,267946,"Turn On The Lights again.. (feat. Future)","USB","F# minor"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.665,0.727,-8.073,0.0391,0.00984,0.394,0.172,0.397,133.922,"3eHycF4kskcHoDd47DpDZh",4,198805,"Jungle","USB","C# minor"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.761,0.958,-4.939,0.141,0.00923,0.00867,0.098,0.49,134.033,"74cQSljwBwRAHbuXHf2HYs",4,385074,"Admit It (u dont want 2)","USB","F# minor"
"Fred again..","4oLeXFyACqeem2VImYeBFe","6ZnRegEJuZRhLGrOKh0Y7n",2024,0.596,0.814,-8.481,0.056,0.00118,0.00286,0.102,0.255,133.203,"1kDX084EZutVgxAJCaxwIA",4,288348,"Lights Out","USB","A major"
