"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.66,0.83,-5.099,0.029,0.292,0,0.141,0.856,122.079,"1OfEfwXp9IKC5qRTtiGUWg",4,194840,"Every Little Honky Tonk Bar","Honky Tonk Time Machine","F major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.679,0.796,-5.604,0.0264,0.154,0.00144,0.305,0.862,121.943,"0cYRuiM5eqOawt3AA3Peix",4,179760,"Two More Wishes","Honky Tonk Time Machine","D major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.546,0.632,-6.296,0.0264,0.278,1.52e-05,0.103,0.332,178.007,"6QaCEUjVd3jrEpdQqDo2tU",4,202506,"Some Nights","Honky Tonk Time Machine","E major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.545,0.455,-6.346,0.0282,0.727,0.000197,0.117,0.309,146.818,"4RldvvNaEdteK2I0y6NWTR",3,244133,"God And Country Music","Honky Tonk Time Machine","A# major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.613,0.755,-5.234,0.025,0.365,0,0.193,0.637,84.003,"0w1G5m3XB6euVnY3gkZiTL",4,221840,"Blue Water","Honky Tonk Time Machine","E major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.579,0.392,-8.313,0.0266,0.72,0.000983,0.105,0.253,133.991,"73FUK1S7zTwaKXGJM2hr4p",4,234173,"Sometimes Love","Honky Tonk Time Machine","C major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.596,0.774,-5.023,0.0351,0.479,2.27e-05,0.359,0.846,166.883,"2bnza4qcST8dtKKOUKqvuS",4,193693,"Codigo","Honky Tonk Time Machine","D major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.659,0.357,-8.443,0.0269,0.452,0.000173,0.103,0.256,108.108,"20UAgnhdVwMy8kMgd5CN42",4,237600,"Old Violin","Honky Tonk Time Machine","G major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.643,0.737,-5.658,0.0315,0.36,1.39e-06,0.115,0.82,134.078,"1wYUsoenaANM3oaoQrcp3p",4,177946,"Take Me Away","Honky Tonk Time Machine","G# major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.588,0.407,-7.277,0.0256,0.786,0.00016,0.108,0.307,79.95,"0sfbpQvVZ3Omt5M8dtONwH",4,226306,"The Weight Of The Badge","Honky Tonk Time Machine","G major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.617,0.935,-4.433,0.0794,0.222,0,0.37,0.838,82.046,"1Xes5PNTjJe3mR48KUmLxY",4,164400,"Honky Tonk Time Machine","Honky Tonk Time Machine","E minor"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.562,0.343,-7.722,0.0284,0.797,0.000365,0.112,0.151,121.902,"7E39PiXK1Qs7Rh7mqY2Qsb",4,237693,"What Goes Up","Honky Tonk Time Machine","G major"
"George Strait","5vngPClqofybhPERIqQMYd","1IwWcySO6hKQ8dsFVtJfz4",2019,0.621,0.641,-5.844,0.0274,0.339,7.55e-06,0.181,0.536,97.958,"2fumd70WbtZJ0dbjLoltQT",3,261959,"Sing One With Willie","Honky Tonk Time Machine","G major"
"George Strait","5vngPClqofybhPERIqQMYd","0fUTBWVkqM9Ai7HV4RnWRd",2017,0.561,0.52,-7,0.0315,0.583,1.85e-05,0.186,0.366,128.214,"15Lw8Uofm03raFJeuVrQ0k",3,239733,"Kicked Outta Country","Strait Out Of The Box: Part 2","D major"
"George Strait","5vngPClqofybhPERIqQMYd","0fUTBWVkqM9Ai7HV4RnWRd",2017,0.542,0.835,-5.51,0.0466,0.531,1.3e-06,0.275,0.765,160.062,"1yN864NNzqaroUwCBiJCjZ",4,164106,"You Gotta Go Through Hell","Strait Out Of The Box: Part 2","G major"
"George Strait","5vngPClqofybhPERIqQMYd","2QTMMjc4u72JCt3lVRQxjy",2015,0.376,0.833,-4.248,0.0415,0.0741,8.53e-06,0.356,0.547,208.237,"309SA0F7NDoFhiEWbFAXiU",4,206520,"It Was Love","Cold Beer Conversation","C major"
"George Strait","5vngPClqofybhPERIqQMYd","2QTMMjc4u72JCt3lVRQxjy",2015,0.46,0.59,-6.527,0.0325,0.493,0.00208,0.268,0.394,200.007,"1LKJJ4LsmUm7ibocmosUf1",4,228000,"Cold Beer Conversation","Cold Beer Conversation","D major"
"George Strait","5vngPClqofybhPERIqQMYd","2QTMMjc4u72JCt3lVRQxjy",2015,0.694,0.714,-7.3,0.0303,0.212,0.000155,0.191,0.727,117.977,"7a2NUtKR5wLMmu7tayiLp1",4,210066,"Let It Go","Cold Beer Conversation","C major"
"George Strait","5vngPClqofybhPERIqQMYd","2QTMMjc4u72JCt3lVRQxjy",2015,0.635,0.844,-5.16,0.0272,0.04,1.27e-06,0.216,0.886,111.954,"40tuNJI1oMnRmg8esXBNBC",4,253333,"Goin' Goin' Gone","Cold Beer Conversation","C major"
"George Strait","5vngPClqofybhPERIqQMYd","2QTMMjc4u72JCt3lVRQxjy",2015,0.507,0.389,-9.268,0.0267,0.622,0.00269,0.11,0.16,88.923,"7BB4SEsxBvGwZF7QvW4AwC",4,193373,"Something Going Down","Cold Beer Conversation","C major"
"George Strait","5vngPClqofybhPERIqQMYd","2QTMMjc4u72JCt3lVRQxjy",2015,0.447,0.722,-5.558,0.0367,0.0955,0,0.338,0.457,148.127,"23WjeJQCrtKxvf6u3OAxH1",4,209733,"Take Me To Texas","Cold Beer Conversation","G major"
