"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.558,0.558,-9.454,0.0461,0.00553,0.0275,0.617,0.344,156.292,"2fhUKlhKhedEdfGCss8J3C",4,132520,"Fade the Sun","Sleep Paralysis","G minor"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.737,0.664,-6.243,0.102,0.213,0,0.191,0.262,124.987,"6NnW5EZpzjnMZCaIhosVL2",4,215068,"Pole Vaulting","Sleep Paralysis","F# major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.719,0.484,-11.023,0.468,0.0126,0.00089,0.694,0.193,144.973,"4yEvE3ldD3kEG6ubLKk3QQ",4,151586,"King","Sleep Paralysis","B major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.666,0.634,-6.255,0.0361,0.0527,0.0025,0.602,0.281,116.002,"3gs042BAgVrG7XHoxRX1Vz",4,219318,"Love Songs","Sleep Paralysis","B minor"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.703,0.806,-4.622,0.0947,0.231,6.33e-05,0.0942,0.368,124.933,"2fYK7yMnE4nCWbRMQMa2VY",4,142002,"Shallow","Sleep Paralysis","C# major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.558,0.631,-7.189,0.227,0.822,0.00218,0.123,0.634,131.401,"6JJSqjwlrwqL25Oxh1wAIh",4,271275,"Where Demons Come to Die","Sleep Paralysis","A# minor"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.786,0.677,-6.765,0.146,0.538,1.05e-06,0.181,0.59,130.028,"3BfHXuR3MneRr8osxJ2Htg",4,192002,"Kill Everything in the Way","Sleep Paralysis","E major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.687,0.675,-6.848,0.191,0.675,0.000179,0.0751,0.438,143.097,"2FyZxc0olLrgOV4hxl5mw5",4,208093,"Rolling Stoned","Sleep Paralysis","D minor"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.739,0.608,-7.264,0.067,0.854,3.06e-06,0.681,0.395,99.984,"4hYTn2LHiLMXxvIE9j2HCx",4,253540,"Start a Business","Sleep Paralysis","C major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","5n8nTF3QPemWxbwH30F4vH",2024,0.714,0.701,-6.545,0.104,0.732,2.05e-06,0.0988,0.311,121.02,"6JnjO79qka5Ojoe7nM18Ah",4,449384,"Baby I'm Up","Sleep Paralysis","F major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","7AtoANo3rq2VChRB98SPfR",2023,0.555,0.53,-7.505,0.0276,0.223,0.885,0.17,0.0396,125.983,"3CLYGFWX1kUFMSXbpC5Qa5",4,314840,"Trailblazer","Trailblazer","C# major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","7AtoANo3rq2VChRB98SPfR",2023,0.67,0.637,-7.129,0.0326,0.0367,0,0.0865,0.274,121.958,"4w4zHo52ELslkYeHDW65Bf",4,198133,"Séance","Trailblazer","F# minor"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","7AtoANo3rq2VChRB98SPfR",2023,0.468,0.416,-8.893,0.0277,0.329,0.494,0.0633,0.29,145.814,"2DwzlYCuguVo1mUs4ZpOI6",4,238333,"Cards Im Dealt","Trailblazer","F minor"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","7AtoANo3rq2VChRB98SPfR",2023,0.499,0.504,-5.929,0.0306,0.00513,0.000701,0.143,0.32,134.163,"7aphv6tcPXfYxR5uyhks5G",4,136626,"I Dont Care","Trailblazer","E major"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","7AtoANo3rq2VChRB98SPfR",2023,0.58,0.448,-8.266,0.0308,0.0403,0.568,0.213,0.146,128.044,"101TKIroOKbhctTxRKcxVe",4,272818,"Fortune Teller","Trailblazer","A# minor"
