"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.569,0.713,-15.438,0.802,0.708,0,0.521,0.111,97.6,"1X7ETztGDccylZuARGg71U",3,37531,"Welcome to Hell Paso","Hell Paso","F major"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.575,0.846,-4.97,0.0259,0.000637,0.000164,0.257,0.283,87.523,"4vlk5JUheqOSCZqgts338H",4,224703,"Creeps","Hell Paso","F major"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.478,0.831,-5.971,0.0372,4.01e-05,0,0.114,0.307,151.16,"2D3xbpfOcgkus0HssTMLkQ",4,181187,"April Showers","Hell Paso","G major"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.548,0.773,-6.31,0.0305,0.00173,0.000696,0.152,0.181,87.465,"1HxcB2FgfYVhkbqNMCmq1O",4,156610,"Money Spent","Hell Paso","D major"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.64,0.601,-7.172,0.0372,0.0172,0,0.356,0.205,126.951,"46Tqp6TCGO2vQZyztZy8Te",4,243797,"Cabo","Hell Paso","E minor"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.634,0.637,-5.342,0.0319,0.0231,0.0217,0.324,0.29,80.006,"0j3wDCVzAyUEtNsbjKyJZs",4,216160,"Oklahoma Sun","Hell Paso","D major"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.513,0.564,-6.377,0.0269,0.276,0.0574,0.128,0.236,137.099,"1TfdaAkmYnnQcQ6pxKX3sP",4,233226,"So Low","Hell Paso","C# minor"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.6,0.398,-8.216,0.0288,0.426,0,0.119,0.472,135.091,"5eX6sYvOB7t7IxI2eapAQM",4,192737,"Three Weeks","Hell Paso","G major"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.548,0.682,-19.46,0.867,0.512,0,0.274,0.0354,93.166,"5l5TiNUgO5QKMlZw8NWe06",4,56044,"Cheers","Hell Paso","A# major"
"Koe Wetzel","1Tie3AZgLQZqYEp8Fv4zOZ","5seABmIu2cnoRMDoVHZvOD",2022,0.693,0.712,-5.573,0.0346,0.000789,0.000368,0.106,0.561,120.019,"12lagnH3LHPUHTXkQhAGph",4,141564,"Better Without You","Hell Paso","E major"
