"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6SV7Sl0rmVeMuqYlMMAqQB",2021,0.516,0.488,-7.452,0.0313,0.385,2.32e-05,0.177,0.614,79.985,"4fPO3377M8WMykvWUJmzeO",4,164038,"Summer Rain (feat. Jazmine Sullivan)","Gold-Diggers Sound (Deluxe)","C# minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.5,0.416,-10.967,0.0404,0.556,0.00698,0.11,0.0491,104.012,"15EnrATZ5wMy8fqA5QF6KV",4,223248,"Born Again (feat. Robert Glasper)","Gold-Diggers Sound","G# minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.721,0.485,-11.213,0.0681,0.158,0.275,0.107,0.614,150.027,"3mMduiD8yb4IaS5tZKqSZy",4,188617,"Motorbike","Gold-Diggers Sound","F minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.849,0.616,-7.549,0.0486,0.0547,0.394,0.166,0.727,110.026,"0JhOWLV0il0wcoyOr2kaCx",4,203091,"Steam","Gold-Diggers Sound","F minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.389,0.543,-9.173,0.0431,0.0445,0,0.115,0.421,83.152,"2zBlJIbYVotuBXkLyM0dPw",4,197746,"Why Don't You Touch Me","Gold-Diggers Sound","G# minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.671,0.344,-12.958,0.0968,0.253,0,0.353,0.209,105.005,"0VrVlWutHnOk0QLeO7gD77",4,202676,"Magnolias","Gold-Diggers Sound","A minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.693,0.383,-9.881,0.0664,0.604,0.000812,0.107,0.336,80.029,"4wvTrEmJgLHl4abc1ddm2P",4,196510,"Details","Gold-Diggers Sound","B minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.747,0.296,-11.308,0.0513,0.173,4.33e-05,0.0955,0.445,141.868,"7BGgytgNrpGXHh00yzOHGx",4,187500,"Sho Nuff","Gold-Diggers Sound","G minor"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.665,0.334,-13.073,0.0415,0.0109,0.0225,0.108,0.2,127.9,"37xK4q7b8llyGIaz5c0MDQ",4,168464,"Sweeter (feat. Terrace Martin)","Gold-Diggers Sound","G# major"
"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x","6pKaUDUnQiZgWLPZJqwkzn",2021,0.793,0.407,-11.434,0.0428,0.279,0.0185,0.158,0.42,109.984,"2MUTyvTF8gnrxz4KKNHkCo",4,401075,"Don't Worry (feat. Ink)","Gold-Diggers Sound","E minor"
