"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.805,0.622,-8.529,0.0367,0.0271,3.29e-06,0.0655,0.443,111.961,"6LdnFBhyghsXBveCio9hkT",4,262232,"Smoking & Drinking","Piano Republik","C# major"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.834,0.648,-8.241,0.0492,0.235,0.0806,0.0464,0.49,113.006,"71X7xhERhWY7k4I2ST3A1F",4,199679,"Ke Shy","Piano Republik","F# minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.835,0.59,-9.157,0.041,0.0784,0,0.048,0.375,112.026,"0lLjgnZ5vs2kYTmKSQ3Xsj",4,246428,"Ngibambe","Piano Republik","F minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.755,0.927,-4.409,0.0328,0.141,0.00256,0.0851,0.716,113.001,"7dZsdVRJOf5SVRZN2LH6EH",4,199646,"Designer","Piano Republik","F minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.856,0.76,-7.409,0.036,0.0086,0.0895,0.0709,0.155,113.01,"2HORPUGED7D2cFs9OLJKNH",4,193274,"Koo Koo Fun","Piano Republik","C# minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.755,0.865,-4.83,0.032,0.00206,0.0593,0.242,0.356,115.999,"4RKhOHFaq2uqNRJuYQTnaY",4,236379,"Mamgobhozi","Piano Republik","A# major"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.813,0.919,-8.821,0.0498,0.0216,0.196,0.192,0.266,112.007,"3n9ok0LSCIT1nsB2A8GuHT",4,215758,"Oh Yeah","Piano Republik","F minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","5ggKabvYHoNLEyl3x5K4iZ",2023,0.72,0.78,-5.008,0.0286,0.0782,0.000791,0.0857,0.191,112.973,"737xtoLdwMx6nNOqYCOkcU",4,220884,"Stop & Go","Piano Republik","F# minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","20nPCwF5F18qMIc8kD5iH0",2023,0.818,0.753,-8.715,0.105,0.0326,0.927,0.225,0.568,112.003,"5eJ7fnNtwaAWptiL4EDOKM",4,344999,"Higher Ground","Piano Republik (Extended)","D major"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","1xPaBWpYSQ6ucVTCltxgTs",2021,0.896,0.616,-5.615,0.169,0.00614,1.53e-05,0.362,0.333,122.023,"2FtR72IS4RAoYiZLHiJZJj",4,137735,"C'est Cuit (Major Lazer VIP Remix)","Music Is The Weapon (Remixes)","C minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","1xPaBWpYSQ6ucVTCltxgTs",2021,0.837,0.806,-3.162,0.243,0.265,0.00121,0.0728,0.704,87.85,"4P2uiK2uQLvLmo0ZDky3jS",4,189181,"Diplomatico (Remix)","Music Is The Weapon (Remixes)","C# minor"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","1xPaBWpYSQ6ucVTCltxgTs",2021,0.651,0.883,-3.218,0.0379,0.132,0,0.363,0.654,111.012,"3OWa3dzMc930yXwP2hNoSJ",4,168648,"Titans (Imanbek Remix)","Music Is The Weapon (Remixes)","G major"
"Major Lazer","738wLrAtLtCtFOLvQBXOXp","1xPaBWpYSQ6ucVTCltxgTs",2021,0.715,0.925,-2.389,0.284,0.00808,0,0.205,0.608,122.025,"7LV1qaTC0AjLMv9nkQJTlM",4,144652,"Hell and High Water (Utiliti Remix)","Music Is The Weapon (Remixes)","F minor"
