"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","1pwi5nEtbeFghwkwRTcZFe",2023,0.424,0.559,-8.919,0.105,0.945,0.546,0.0658,0.155,168.946,"61uYgTREKwAFsntkf3JYS7",4,56926,"Interlude #1","Let's Get It On (Deluxe Edition)","A# minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","1pwi5nEtbeFghwkwRTcZFe",2023,0.714,0.337,-11.575,0.0659,0.992,0.961,0.11,0.331,139.007,"5Un4waW3D9b2ADUGCJd6RU",5,34655,"Interlude #2","Let's Get It On (Deluxe Edition)","C# major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","1pwi5nEtbeFghwkwRTcZFe",2023,0.62,0.8,-5.318,0.0452,0.345,0.0042,0.288,0.93,95.134,"1d9oZBJfWBBXODpaM5WRxr",4,267375,"My Love Is Growing","Let's Get It On (Deluxe Edition)","A minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.707,0.475,-12.349,0.127,0.0148,0.85,0.111,0.868,75.668,"0BfYtqUc8VAtnOYfLoT8PP",4,115666,"Country Stud","Funky Nation: The Detroit Instrumentals","A major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.584,0.698,-11.626,0.053,0.0242,0.748,0.116,0.87,92.393,"2oPo7NwcH4XvexVtca0d2i",4,135760,"Help The People","Funky Nation: The Detroit Instrumentals","C major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.667,0.82,-9.796,0.0378,0.0334,0.798,0.225,0.828,132.471,"24SgL3HK8MIInU3Qi75jzz",4,123973,"Daybreak","Funky Nation: The Detroit Instrumentals","A# major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.694,0.823,-11.307,0.0373,0.00431,0.848,0.0927,0.965,96.376,"5ZYYksSAHKSE13R5R5Zl53",4,124480,"Doing My Thing","Funky Nation: The Detroit Instrumentals","F major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.679,0.132,-16.276,0.232,0.822,0.679,0.235,0.408,129.94,"5vpaT1dLg4dIr8ZUyDLjNA",4,158413,"""T"" Stands For Time","Funky Nation: The Detroit Instrumentals","G minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.599,0.328,-12.974,0.0292,0.105,0.904,0.146,0.568,78.478,"6jhWFXq7a7S1f4a0jnUiKT",4,187066,"Jesus Is Our Love Song","Funky Nation: The Detroit Instrumentals","D minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.599,0.425,-12.472,0.0521,0.692,0.562,0.0749,0.473,92.417,"4lxhbaPQ0xaeNyZu2a7EfX",4,182160,"Funky Nation","Funky Nation: The Detroit Instrumentals","A minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.555,0.531,-15.194,0.0399,0.0242,0.814,0.0805,0.785,93.525,"2UzNDExisO0ANLnqs5pkko",4,159253,"Infinity","Funky Nation: The Detroit Instrumentals","C minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","5THx22ghMdWSUD8qNzN67G",2021,0.542,0.353,-15.746,0.208,0.425,0.77,0.184,0.646,197.196,"5JIHchHgGIm9wu6uENfcjQ",4,227133,"Struttin' The Blues","Funky Nation: The Detroit Instrumentals","D major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.591,0.727,-8.24,0.0489,0.133,0,0.352,0.87,88.498,"2K98p2OHBAmUNtPMWTMrsN",4,232342,"The World Is Rated X","You're The Man (Expanded Edition)","C major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.415,0.456,-9.811,0.0559,0.685,0,0.215,0.491,139.43,"7cIO5U3L41kolNiOL7gnga",3,311194,"Piece Of Clay","You're The Man (Expanded Edition)","G# major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.686,0.871,-7.992,0.0382,0.139,0.00714,0.12,0.874,96.369,"3odcWBnC7N1oYq5FvbZHX4",4,231990,"Where Are We Going?","You're The Man (Expanded Edition)","G major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.664,0.686,-7.621,0.0315,0.493,1.19e-06,0.301,0.894,109.018,"6Od6Yi315yTVZJFNY8CSnL",4,176457,"I'm Gonna Give You Respect","You're The Man (Expanded Edition)","C# minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.669,0.695,-7.168,0.0646,0.305,1.94e-06,0.471,0.942,96.082,"6AJNcuo6wYM32wTLnfto1l",4,237490,"Try It, You'll Like It","You're The Man (Expanded Edition)","C major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.671,0.709,-8.673,0.0681,0.0678,0.000375,0.356,0.788,101.189,"6wIhR7pEQrL4vo6t0dT56H",4,218085,"You Are That Special One","You're The Man (Expanded Edition)","B minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.546,0.73,-7.41,0.0527,0.0724,0,0.337,0.893,175.44,"1PwIDzpNe6L3wbuJfvlKev",4,204452,"We Can Make It Baby","You're The Man (Expanded Edition)","C major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.658,0.814,-8.493,0.0718,0.797,0.000182,0.372,0.706,100.599,"4F9JsKw1ODBaTPpbVk6AON",4,210070,"Woman Of The World","You're The Man (Expanded Edition)","A# minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.58,0.622,-8.089,0.197,0.693,0.000387,0.343,0.806,87.731,"6evscJwZInclwUOhJSq7lr",4,282193,"I'm Going Home","You're The Man (Expanded Edition)","E minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3pEHtJqDihr3HjZCLMJ0Vp",2019,0.736,0.616,-11.878,0.0411,0.333,0.299,0.163,0.767,98.38,"5AJdYRCUMy7fRo3YSbTeqC",4,293683,"Checking Out (Double Clutch)","You're The Man (Expanded Edition)","D minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","0Q3zkIW2hLXbBieWZCKXwO",2011,0.558,0.812,-7.618,0.0408,0.544,0,0.34,0.841,81.265,"34ZfE0AYWeOJktUffTxDFl",4,179306,"Ain't That Peculiar","The Marvin Gaye Collection","A major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.297,0.502,-9.136,0.0284,0.0466,0.000104,0.208,0.187,96.247,"05IjU8mDL14pwhYKqZXR8b",3,176306,"When a Man Loves a Woman (Rerecorded)","Soul Legends (Collector’s Edition)","C# major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.325,0.38,-8.147,0.0304,0.75,6.76e-05,0.125,0.318,168.357,"1JX6KkI2P6W3O19X1yImxQ",3,181680,"Take Time to Know Her (Rerecorded)","Soul Legends (Collector’s Edition)","D# major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.502,0.443,-8.256,0.0381,0.13,0.006,0.0982,0.267,131.955,"5ZsvO3v0kf0T7MimUQltsu",4,228560,"If Loving You Is Wrong I Don't Want to Be Right (Rerecorded)","Soul Legends (Collector’s Edition)","C major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.438,0.319,-10.693,0.0378,0.509,0.000336,0.387,0.149,103.833,"1NFApWd8H2OO2hRpBOFMka",4,225626,"Try a Little Tenderness (Rerecorded)","Soul Legends (Collector’s Edition)","G major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.489,0.245,-12.235,0.0265,0.119,0.0045,0.205,0.146,143.347,"76xEyyZkJuTkqPMP1knRPO",3,173826,"I've Been Loving You Too Long (Rerecorded)","Soul Legends (Collector’s Edition)","A major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.419,0.414,-8.539,0.0278,0.0151,0,0.0422,0.355,93.747,"6JgSCDRtq7N29y1iBq8i9n",3,203693,"Bring It On Home to Me (Rerecorded)","Soul Legends (Collector’s Edition)","C# minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.37,0.459,-6.159,0.0265,0.355,0,0.122,0.544,87.43,"2NBlI3A2Zvj9BmTZkPuXga",4,192733,"Warm and Tender Love (Rerecorded)","Soul Legends (Collector’s Edition)","D major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.309,0.137,-13.278,0.0311,0.955,0.259,0.1,0.372,175.82,"4VhzW5sT1FjBPZ6IJK40wh",3,213560,"Just Out of Reach (Rerecorded)","Soul Legends (Collector’s Edition)","G major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.269,0.336,-10.336,0.0286,0.2,0.000655,0.138,0.331,182.292,"6qHGpl5TvHSdSqPBBuQ3kn",3,256239,"You Send Me (Rerecorded)","Soul Legends (Collector’s Edition)","E minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.427,0.33,-9.481,0.0364,0.532,1.18e-06,0.328,0.268,141.273,"6liNCs36HFUR8GDRjncW7h",4,152426,"Tell It Like It Is (Rerecorded)","Soul Legends (Collector’s Edition)","F minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.406,0.658,-5.773,0.039,0.365,0.0031,0.109,0.587,147.01,"5B0wkOQoAIqSIAqMEE4w90",3,281146,"Close the Door (Rerecorded)","Soul Legends (Collector’s Edition)","D# major"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.48,0.542,-7.823,0.0393,0.414,0.000503,0.362,0.389,120.2,"2uY25TlCRFwcgv3CCMjJtu",4,285613,"Turn Off the Lights (Rerecorded)","Soul Legends (Collector’s Edition)","C# minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.609,0.698,-7.19,0.0383,0.535,0.000234,0.133,0.669,140.643,"2DzHUuFzoCd419pne1iU26",4,290426,"Love TKO (Rerecorded)","Soul Legends (Collector’s Edition)","F# minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.312,0.695,-6.503,0.0442,0.527,9.18e-05,0.365,0.359,155.774,"0bbCsPiYd064AN3904CNif",4,300346,"Come Go with Me (Rerecorded)","Soul Legends (Collector’s Edition)","G minor"
"Marvin Gaye","3koiLjNrgRTNbOwViDipeA","3XkaTLmZrhiu0yXl72BUF2",2009,0.366,0.444,-8.395,0.0304,0.635,0.00485,0.131,0.18,125.278,"6FoIwpRBGnAO755dK71V96",4,264986,"Can't We Try (Rerecorded)","Soul Legends (Collector’s Edition)","D major"
