"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2wTVtjLOFxTnHmkCmgTpdp",2023,0.687,0.809,-7.971,0.305,0.668,0,0.556,0.402,139.952,"4uvuvrx8lcrmpO01qqkeiK",4,132642,"SONHOS","ALMA IMORTAL","A minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2wTVtjLOFxTnHmkCmgTpdp",2023,0.58,0.687,-5.806,0.223,0.388,0.00012,0.0658,0.548,124.132,"3ivAMHvasSrmOhKV2VgVgE",4,156290,"LUA POR LUA","ALMA IMORTAL","C# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2wTVtjLOFxTnHmkCmgTpdp",2023,0.659,0.721,-9.08,0.111,0.682,0,0.115,0.262,99.668,"7kEKxQFzj324CwU6SafBYG",4,123450,"COMO ESTAVA IMAGINANDO","ALMA IMORTAL","F# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2wTVtjLOFxTnHmkCmgTpdp",2023,0.563,0.768,-6.124,0.2,0.212,0,0.34,0.444,88.774,"3aGMWdguqvALsiJfl8HGhh",3,169921,"1APRENDIZ E SUAS CICATRIZES","ALMA IMORTAL","A minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2wTVtjLOFxTnHmkCmgTpdp",2023,0.711,0.609,-7.721,0.0869,0.528,0,0.198,0.813,112.149,"6XpvDZXFnZTHtEmghG9gqp",5,143750,"1ESPERTO E 1OTÁRIO","ALMA IMORTAL","C minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2wTVtjLOFxTnHmkCmgTpdp",2023,0.513,0.751,-7.133,0.18,0.252,0,0.146,0.531,91.796,"2osBT4jpJqfyoRrkcBlWfG",4,144390,"MAR DE PIRATA","ALMA IMORTAL","A# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2wTVtjLOFxTnHmkCmgTpdp",2023,0.515,0.687,-9.614,0.15,0.33,0,0.119,0.737,74.391,"7lQjAcGb8Nh7KkbYpiuBjh",4,164509,"MODIFICAR","ALMA IMORTAL","F minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.662,0.773,-3.794,0.331,0.235,0,0.24,0.744,89.051,"6LCPvL5DMHgxNXLuW2NE4q",4,162666,"Decepção","1 Beat 1 Letra","G minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.62,0.64,-6.155,0.214,0.637,0,0.319,0.636,113.769,"1G6JgP2S0ixbRsQzVknFux",5,129705,"Congresso Central","1 Beat 1 Letra","D minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.8,0.679,-4.367,0.201,0.541,0,0.126,0.888,90.029,"2d1En56iVyOFUzr1iUkYdU",4,132333,"Mãe","1 Beat 1 Letra","F minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.563,0.589,-5.828,0.289,0.364,0,0.168,0.67,90.01,"2arB8Y1ZT0ZuZ9uToUuBwq",4,134500,"Estouro no Norte","1 Beat 1 Letra","G minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.639,0.552,-4.288,0.291,0.288,2.88e-05,0.0796,0.191,118.614,"5lFFjcI4L2FDPCpnkiFHAK",5,189000,"Vou Buscar 2","1 Beat 1 Letra","G minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.754,0.578,-6.741,0.533,0.295,0,0.0712,0.551,168.104,"2EmnSImpYoqnaa2xU6pZYa",4,141785,"Jaguarzão","1 Beat 1 Letra","A# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.736,0.7,-5.213,0.169,0.343,0,0.0894,0.639,89.874,"7DDXkjcSP8vt5QdsVV2ERZ",4,238166,"Velar","1 Beat 1 Letra","E major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.463,0.659,-4.412,0.272,0.11,0,0.101,0.555,172.294,"6McgvPrfaKUvQNgdbifycb",5,180217,"Deixa Vim","1 Beat 1 Letra","A minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.802,0.665,-6.324,0.342,0.29,0,0.0886,0.553,130.006,"7vT7jEmtlRnKNThbgRxug6",4,204461,"Luz Apagada","1 Beat 1 Letra","G# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.756,0.69,-5.124,0.0973,0.445,0,0.115,0.414,130.055,"1qhKX40v9NUqk9wUM9neeD",4,151500,"Chama o teu Vulgo","1 Beat 1 Letra","G minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.891,0.555,-4.97,0.292,0.296,0,0.11,0.651,121.032,"0kC18Ka8FtEWicGJqTznIR",4,159669,"Favela Week","1 Beat 1 Letra","G minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.524,0.57,-7.364,0.386,0.555,0,0.169,0.261,86.197,"491LbojLe8r4K3TEpvVb39",4,142500,"Vai Embora Não","1 Beat 1 Letra","E minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.567,0.647,-5.475,0.469,0.569,2.17e-06,0.153,0.755,165.429,"6kxC1D2TDKrwPOlx23VoFS",3,194000,"X6","1 Beat 1 Letra","D# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.652,0.599,-4.663,0.225,0.133,0,0.0535,0.81,113.054,"470UujpQ5Ui1lBcNb69cTE",5,160941,"Eu Sou de Jorge","1 Beat 1 Letra","G major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.754,0.589,-4.383,0.0884,0.171,0,0.216,0.723,86.529,"1V9HuqFOSsR5I8uAWCE5oD",5,167538,"O Foco é um Só","1 Beat 1 Letra","C minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","2GjSmvspkIe32HTVw8rpOS",2022,0.709,0.64,-6.132,0.384,0.355,0,0.0601,0.755,180.011,"3cPWjFllaIxsdW9nVAjYNz",4,427666,"Set Xaolin ""Bandida"" (feat. Porfs, Cassianx, Kaéssi, Mc Bululu e Nagui)","1 Beat 1 Letra","D major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.743,0.781,-6.01,0.249,0.504,0,0.129,0.376,85.225,"5gmGy21Zzu0icl6D0ljvTW",5,123750,"Oportunidade","Mundão Girou (Deluxe)","C major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.617,0.594,-5.044,0.382,0.627,0,0.0896,0.542,89.577,"28NIIkZTxJ0S7toJ5f7tCY",4,141333,"Atitude e Alicerce","Mundão Girou (Deluxe)","A major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.507,0.775,-7.549,0.216,0.192,0,0.093,0.415,92.675,"1nG5MSzLuDAQAmutextzyw",4,155744,"Problemas (feat. Alok)","Mundão Girou (Deluxe)","A major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.66,0.61,-3.789,0.446,0.602,0,0.139,0.687,96.393,"7dLrMTvPuUTZxnzpR5LLqw",4,218860,"Pirâmide Social (feat. Rael)","Mundão Girou (Deluxe)","A minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.509,0.479,-5.822,0.12,0.854,0,0.224,0.505,84.838,"2ndCX6g1ysUs1xVqDMRVXA",5,219692,"Saudades","Mundão Girou (Deluxe)","C# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.56,0.483,-6.225,0.256,0.844,0,0.113,0.356,164.214,"4df3O7o8sTnW95Ow2OlUb3",4,197818,"Profecia","Mundão Girou (Deluxe)","E minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.736,0.638,-7.602,0.203,0.642,0,0.259,0.539,129.97,"3e5p0houMfxSrRDydWpLu5",4,196919,"Exemplos","Mundão Girou (Deluxe)","F# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.779,0.518,-6.46,0.484,0.652,0,0.123,0.526,127.066,"0UTOsto52QB7faqwmI87zN",4,188000,"Luxúria ou Trauma","Mundão Girou (Deluxe)","C major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.54,0.662,-1.827,0.314,0.0759,0,0.0867,0.493,129.975,"7oNomxUw1GILrSeNn086dY",4,202500,"Bate e Pronto","Mundão Girou (Deluxe)","G# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.512,0.637,-5.763,0.253,0.277,0,0.452,0.499,130.234,"4nxlyIc0dJo4uGlpP3Azx5",4,183679,"Hoje eu vou ganhar (feat. Caio Passos)","Mundão Girou (Deluxe)","G minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","1kLiNNqzYMsk0Ea9eTSZlB",2022,0.805,0.595,-5.227,0.0828,0.43,0,0.172,0.482,129.541,"6Pqd376AVMIyRFHfQAncFP",5,183092,"10 Toneladas","Mundão Girou (Deluxe)","F minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.74,0.467,-6.654,0.378,0.242,0,0.0797,0.674,174.214,"1YgRhGSIFlek65mUniq27Z",4,161916,"Cupido","Chora Agora, Ri Depois","E minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.856,0.425,-7.186,0.306,0.407,0,0.0752,0.636,129.924,"7LyAGakRZWFqZwqeNCmoEP",4,179514,"Investimento Milionário","Chora Agora, Ri Depois","F# minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.765,0.489,-8.782,0.708,0.43,0,0.172,0.792,170.155,"6BvxXU49ho2foOtgd4dgXb",4,241670,"Espancando Recalque","Chora Agora, Ri Depois","F# major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.718,0.457,-7.476,0.326,0.452,0,0.356,0.677,134.752,"1Luoh2JumF81x5iHaLOUW8",4,181988,"Salseiro","Chora Agora, Ri Depois","F minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.894,0.475,-8.782,0.395,0.401,0,0.0941,0.656,137.99,"2laH6NLGG074p4dLPIydes",4,131573,"Pérolas","Chora Agora, Ri Depois","A major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.744,0.523,-7.926,0.276,0.508,0,0.0947,0.599,143.982,"1F950jjYRddZh4gcJDKTYo",4,162139,"Guindaste","Chora Agora, Ri Depois","F minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.595,0.695,-7.986,0.272,0.163,0,0.0793,0.846,150.007,"0g8JO6QmuR8zE3MSEmB5dQ",4,204806,"Vagabundo","Chora Agora, Ri Depois","A minor"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.757,0.502,-7.254,0.136,0.382,0,0.12,0.182,149.92,"7L0nwF18b6Zx1T0l7sAngK",4,123600,"Flores","Chora Agora, Ri Depois","E major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.877,0.532,-7.935,0.107,0.351,0,0.0787,0.662,135.969,"3zrAPsfxf957oS161JlnKM",4,234000,"Espelho","Chora Agora, Ri Depois","G major"
"MC Hariel","0pcoadNMmvrUyab1RxWBoV","11HRLa7JSSzHhfcRcpabkG",2020,0.794,0.42,-8.048,0.484,0.315,0,0.136,0.53,92.106,"5vp85OMqbfJeUdUCtXyG3w",4,183625,"Obrigado Mãe","Chora Agora, Ri Depois","A# minor"
