"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.723,0.347,-9.386,0.0473,0.732,0,0.358,0.782,131.809,"4zOS0pvzKPLBqhrHiIOH5F",4,145083,"Wine, Women And Song","From The Capitol Vaults (Vol. 5)","C minor"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.233,0.317,-13.239,0.0334,0.906,0.000238,0.149,0.366,167.998,"2X339PKWS4rwyrWlKO7Vfr",4,185213,"Coo Coo Roo Coo Coo Paloma","From The Capitol Vaults (Vol. 5)","F major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.297,0.288,-12.023,0.0337,0.36,0.00249,0.302,0.378,81.7,"7lp76eLGVtciKxHf36obS0",4,177466,"As Far As I’m Concerned","From The Capitol Vaults (Vol. 5)","F minor"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.485,0.442,-9.096,0.042,0.734,0,0.212,0.668,144.776,"6vi5JR4HDUNBh77VN97IMe",4,170813,"Madrid","From The Capitol Vaults (Vol. 5)","C major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.354,0.744,-7.766,0.29,0.759,0,0.302,0.907,202.516,"0CddkLDKqtcIMS5zyUNSaw",4,118600,"Step Right Up (And Say You Love Me)","From The Capitol Vaults (Vol. 5)","G# major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.31,0.235,-14.362,0.0313,0.935,1.36e-05,0.082,0.267,94.977,"1wT10AYq4eZlgFzVoRC2QM",3,179200,"Look No Further","From The Capitol Vaults (Vol. 5)","A# major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.696,0.511,-9.569,0.0813,0.495,0,0.288,0.845,105.916,"1HOQS6fDBEDUg9hKqZkGGY",4,143933,"My True Carrie, Love","From The Capitol Vaults (Vol. 5)","D# major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7ukWwALcdnZPMmvAx0AilR",2024,0.404,0.369,-10.024,0.033,0.753,0,0.0962,0.512,135.111,"1RLBJSciwkslJO1Pnc3IeI",4,184346,"A Rag, A Bone And A Hank Of Hair","From The Capitol Vaults (Vol. 5)","F minor"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.308,0.233,-12.812,0.0374,0.868,0,0.127,0.237,115.048,"75UMoWwFQaUt3hXZajwAte",4,180965,"Little Child","From The Capitol Vaults (Vol. 4)","G major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.523,0.276,-9.457,0.0295,0.834,0,0.116,0.563,77.929,"0zvOxIoqEa2YSC9sXXClmp",4,169177,"You Will Never Grow Old","From The Capitol Vaults (Vol. 4)","C major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.505,0.309,-10.598,0.0566,0.789,0,0.227,0.494,124.515,"4pVg29NacwyEp3pB5gKOuz",4,147761,"You Are My Sunshine","From The Capitol Vaults (Vol. 4)","D# major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.401,0.183,-11.834,0.0468,0.777,0,0.0803,0.3,76.861,"1h4PnO8nQbnXxGOXU4JXud",4,189151,"True Blue Lou","From The Capitol Vaults (Vol. 4)","A# major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.289,0.423,-8.39,0.0539,0.812,0,0.385,0.428,180.049,"6CiFw28nNfOpL5iZom1VNr",4,170786,"We Are Americans Too","From The Capitol Vaults (Vol. 4)","D# major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.206,0.299,-12.153,0.0347,0.518,0.000533,0.108,0.0977,88.964,"2viKrgycI0XjtoKLyfS5q9",3,183580,"This Holy Love","From The Capitol Vaults (Vol. 4)","C major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.251,0.306,-10.457,0.0353,0.577,5.53e-05,0.489,0.113,67.746,"2QSDwreyjbebpglaihyj5w",3,174556,"Peace Of Mind","From The Capitol Vaults (Vol. 4)","C minor"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.439,0.419,-9.795,0.0479,0.145,0,0.119,0.677,111.254,"6qoS0uia8ArEA2QKXHTdks",4,139065,"Steady","From The Capitol Vaults (Vol. 4)","F major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.428,0.459,-10.282,0.0511,0.544,0,0.324,0.643,106.605,"12dd9wJvjci3BBOEXAoniK",4,148895,"The First Baseball Game","From The Capitol Vaults (Vol. 4)","C minor"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.334,0.368,-9.87,0.0321,0.764,9.17e-05,0.141,0.389,66.811,"1ogD5ONvqGHa1xgx8SRgVB",4,167510,"Goodnight, Little Leaguer","From The Capitol Vaults (Vol. 4)","C major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.34,0.272,-11.302,0.0297,0.573,0,0.132,0.291,77.771,"4TQ9YZp86Y2sPrSg8rgHeP",4,173757,"The Right Thing To Say","From The Capitol Vaults (Vol. 4)","C minor"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.498,0.449,-11.43,0.0278,0.786,3.67e-06,0.355,0.482,94.289,"05rhY2bq4uhcRg9L7ZxmxF",3,124420,"Nothing Goes Up (Without Coming Down)","From The Capitol Vaults (Vol. 4)","D major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","1SW7ieBpYUAmRflAxYCgFD",2023,0.482,0.376,-11.712,0.116,0.728,0,0.123,0.78,177.77,"3MZVUBlUoexg1dNRc9AcQO",4,151901,"Wanderlust","From The Capitol Vaults (Vol. 4)","F minor"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","4z763lntNKfZ6VpnjSinS3",2023,0.313,0.129,-15.551,0.0321,0.815,7.64e-05,0.113,0.237,70.16,"6Oojn8d2O41VcwhnxRcdfz",4,190341,"Make Believe Land","From The Capitol Vaults (Vol. 3)","A# major"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","4z763lntNKfZ6VpnjSinS3",2023,0.265,0.191,-13.917,0.0326,0.922,0,0.169,0.145,102.689,"2lJJy6NU8CYV0tMxGj26UR",3,184666,"I Still See Elisa","From The Capitol Vaults (Vol. 3)","G minor"
