"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","3Ca2ChPMHogU1scVKSEprg",2021,0.536,0.913,-5.513,0.0303,0.000851,0.0113,0.634,0.952,165.995,"2eKG6iFc00T12BTFFP6SMK",4,235240,"Undercover","Loose (Expanded Edition)","G# major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","3Ca2ChPMHogU1scVKSEprg",2021,0.648,0.342,-7.882,0.0292,0.462,3.82e-06,0.103,0.172,119.937,"5KynaAs0CuCDOSNaJsBOP1",4,236000,"What I Wanted","Loose (Expanded Edition)","D major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","3Ca2ChPMHogU1scVKSEprg",2021,0.602,0.482,-5.468,0.0366,0.301,3.37e-06,0.113,0.334,184.039,"6T7Sawa8neDymnDJMzJca1",4,256573,"Runaway","Loose (Expanded Edition)","C# minor"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","3Ca2ChPMHogU1scVKSEprg",2021,0.502,0.336,-7.411,0.0383,0.815,0,0.18,0.219,154.288,"0oOnIriN6B7BoQXgAR5n1c",3,253706,"En Las Manos De Dios","Loose (Expanded Edition)","A major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.77,0.362,-8.31,0.0783,0.00229,0.000978,0.163,0.668,98.073,"5jCxRvw2pspLpZYe1z5GAR",4,174000,"Cold Hard Truth","The Ride","F major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.741,0.487,-7.502,0.0397,0.0014,0.0228,0.242,0.421,90.014,"59HCKcpVcU7YKrlceeJ38g",4,201906,"Flatline","The Ride","C major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.656,0.584,-8.375,0.0346,0.038,0.0504,0.372,0.346,152.021,"74TCPfma18T7OfYGN2WuoK",4,257839,"Carnival Games","The Ride","C major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.371,0.643,-6.858,0.0818,0.0915,0.00322,0.126,0.617,81.197,"2SY8IKTfuz4ex6VVT0M936",4,243573,"Live","The Ride","C major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.768,0.478,-7.315,0.0326,0.00271,0.798,0.0963,0.52,110.99,"6kHRSheOcWAy7Z4IlP8ZKp",4,209226,"Paris Sun","The Ride","B major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.582,0.684,-6.016,0.0305,0.000381,0.000429,0.28,0.421,119.977,"5vDtRGRv6P4RewS5SBHuHY",4,214706,"Sticks And Stones","The Ride","G# major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.635,0.641,-6.961,0.0327,0.00224,0.14,0.395,0.657,140.125,"6VZ4veznEdypZcdl0EB0bw",4,242946,"Magic","The Ride","A minor"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.697,0.427,-10.151,0.035,0.0828,0.0198,0.102,0.366,147.903,"1xmhxznaGOO7uDzIx5aErE",4,263440,"Pipe Dreams","The Ride","A# major"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","6IApey8JeGjUbd98yjSRPh",2017,0.708,0.763,-6.112,0.0349,0.00782,0.000216,0.182,0.801,104.976,"5pY5SD9kkFQDsD6oEynfGS",4,211920,"Palaces","The Ride","F minor"
