"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.792,0.754,-6.678,0.0366,0.524,0,0.388,0.961,128.043,"5IvVa8Omy6aJ5R8hXawbIH",4,183802,"La Corriente","LLAMADA PERDIDA","C minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.788,0.753,-4.129,0.0437,0.659,0.00294,0.0957,0.925,129.053,"4kSKSQzD2LlAnufH41Itsn",4,213349,"No Te Vayas","LLAMADA PERDIDA","G# minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.815,0.773,-3.209,0.035,0.676,0.000784,0.072,0.948,122.02,"6oE6a5jFnZlNwdV66uONhQ",4,180944,"Sufro (feat. Ala Jaza)","LLAMADA PERDIDA","D major"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.798,0.621,-6.084,0.0418,0.561,4.38e-05,0.412,0.728,130.001,"5DVkyleuvjqxrOrCecO9af",4,187634,"Llamada Perdida","LLAMADA PERDIDA","G minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.762,0.779,-3.899,0.0437,0.781,7.49e-06,0.103,0.801,135.996,"7vBy8bKzY2ygY6TcX9ZUQK",4,181316,"Champaña","LLAMADA PERDIDA","B major"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.772,0.746,-4.575,0.032,0.55,1.5e-06,0.0869,0.949,127.003,"0KmbZSG6sTyZoflJbg9Uwu",4,221421,"Boogie Chata (feat. A Boogie Wit da Hoodie)","LLAMADA PERDIDA","A# minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.739,0.711,-4.793,0.0428,0.608,0.00241,0.326,0.91,122.982,"0rfYoj39A6dJm8o2uwwBRS",4,236093,"Borrador","LLAMADA PERDIDA","E minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.66,0.814,-6.819,0.878,0.917,0,0.798,0.741,51.538,"1EWRSU1Kts9mTthv5dSAtK",4,42124,"Los Lambones","LLAMADA PERDIDA","D major"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.808,0.81,-2.965,0.0338,0.527,2.41e-06,0.0954,0.963,139.996,"0E4h8zC9FLEAFia0XzRL1e",4,229536,"Anestesiada (feat. Luis Miguel Del Amargue)","LLAMADA PERDIDA","A minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.829,0.825,-2.963,0.0423,0.385,0,0.159,0.926,127.939,"7nRgLd2Zq4w42iVTfXjIC2",4,161897,"Cosas de la Peda (feat. Gabito Ballesteros)","LLAMADA PERDIDA","G major"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.729,0.729,-5.275,0.0321,0.401,0,0.27,0.884,121.914,"7kUSep3CvyAemLAZiYBKkL",4,283366,"Si Ya No Volverás","LLAMADA PERDIDA","B minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.788,0.773,-5.044,0.0354,0.403,0,0.519,0.937,129.963,"5FJBIe3cG4y9uUaIxuP4vH",4,229474,"Morfina (feat. Paloma Mami)","LLAMADA PERDIDA","B minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.694,0.621,-4.489,0.0496,0.292,0,0.0951,0.439,156.028,"2PfxJD7dCabWhsHDseFVml",4,197344,"¿Cómo Salimos de Este Lío? (feat. Lenny Tavárez)","LLAMADA PERDIDA","G# minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.781,0.72,-3.742,0.0374,0.594,1.74e-06,0.603,0.961,127.074,"7qbDbcOs7sA78Ym34HUNiO",4,198490,"La Vida Te Hace Fuerte","LLAMADA PERDIDA","F# minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.589,0.874,-4.957,0.134,0.162,0.000207,0.164,0.84,73.329,"29fBLELFOWJvrCw91g8LCu",4,216838,"Matar el Sentimiento","LLAMADA PERDIDA","E minor"
"Prince Royce","3MHaV05u0io8fQbZ2XPtlC","14ZGI8bUlOfVKT8SBLFjjT",2024,0.607,0.386,-5.015,0.0285,0.793,0,0.222,0.564,122.843,"3sHf9Js6f6JxlNKCtwZ8zO",4,179416,"Frío en el Infierno","LLAMADA PERDIDA","G major"
