"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.573,0.913,-6.52,0.0409,0.00861,0.0273,0.114,0.795,88.418,"7BCxIjRsqbc9Yiy2haBCIK",4,260808,"Tippa My Tongue","Return of the Dream Canteen","F minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.68,0.679,-6.076,0.0423,0.00495,0.00861,0.0953,0.867,83.821,"3W2reBya7FkjHCP1B2nmQr",4,243224,"Peace and Love","Return of the Dream Canteen","A# major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.663,0.71,-5.55,0.0599,0.00745,0.00559,0.147,0.487,120.984,"00B7SBwrjbycLMOgAmeIU8",4,251588,"Reach Out","Return of the Dream Canteen","B minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.515,0.809,-5.817,0.0512,0.00455,0.0723,0.0905,0.525,142.011,"0G1BEi8ByngMCJqcPnDACw",4,341986,"Eddie","Return of the Dream Canteen","A minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.599,0.777,-6.037,0.0922,0.0355,0.00301,0.0936,0.401,132.252,"7cpC2EuFMexgy392K13RZb",4,262373,"Fake as Fu@k","Return of the Dream Canteen","G# minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.492,0.815,-5.499,0.0487,0.00643,2e-05,0.0875,0.812,171.379,"2dbA4sPwu3iK72c0mA6907",4,291346,"Bella","Return of the Dream Canteen","G minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.689,0.869,-6.688,0.0511,0.00242,0.00339,0.127,0.84,100.684,"5kFWp8In0sIpeXPfPuJlYE",4,297105,"Roulette","Return of the Dream Canteen","C# minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.732,0.653,-7.804,0.0427,0.0158,0.295,0.0851,0.848,178.058,"05bNuygSyh9WlJTRepNiDp",4,264207,"My Cigarette","Return of the Dream Canteen","G minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.561,0.866,-5.258,0.0352,0.00623,0.039,0.0414,0.824,93.104,"4diMr8l7HCK1OdrQM3LAzq",4,254301,"Afterlife","Return of the Dream Canteen","D minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.576,0.798,-6.691,0.0351,0.125,0.134,0.137,0.399,146.8,"2AHctrKhJekyp7wIykP83U",4,222737,"Shoot Me a Smile","Return of the Dream Canteen","A minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.572,0.601,-6.879,0.0392,0.0123,0.000237,0.101,0.552,142.258,"1d6zb2JQZt9LpxOwU1E3y4",3,240217,"Handful","Return of the Dream Canteen","B minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.536,0.894,-5.687,0.0479,0.00596,0.0168,0.118,0.784,174.899,"5KnqauuLF6qyZA9RzfeKxG",4,202888,"The Drummer","Return of the Dream Canteen","A major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.486,0.812,-6.244,0.0553,0.0106,0.0116,0.201,0.303,112.648,"1TmBaKkDUu0akM9xzSxRia",4,306434,"Bag of Grins","Return of the Dream Canteen","C major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.426,0.217,-15.564,0.0401,0.895,9.89e-05,0.0867,0.179,128.22,"4cvngM7l4dOwldWzMOEP6c",4,237489,"La La La La La La La La","Return of the Dream Canteen","A minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.592,0.616,-7.227,0.0337,0.0917,0.0106,0.179,0.492,129.896,"141GeeQQItnC1sH7gXUDlf",3,224983,"Copperbelly","Return of the Dream Canteen","D minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.481,0.715,-7.14,0.0661,0.023,0.00213,0.181,0.222,131.452,"5axys0aO71B1dZDfnrxHvy",3,253494,"Carry Me Home","Return of the Dream Canteen","B major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","0KJc9ksnoJJsdpQxV3z5i1",2022,0.701,0.347,-11.279,0.0298,0.574,0.000107,0.0606,0.443,86.432,"0g8gKLBFY1Y16Zyrc9fuKA",4,355397,"In the Snow","Return of the Dream Canteen","G# minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,"2a5cbTg2UIi784t9E2wT35",4,232412,"Black Summer","Unlimited Love","C# major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.738,0.974,-4.185,0.0961,0.0117,0.819,0.131,0.554,120.037,"0zckHMfaB6vT5o23ZVBLHJ",4,230342,"Here Ever After","Unlimited Love","G minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.671,0.884,-4.987,0.07,0.00413,0.0186,0.147,0.811,99.631,"38Ow67MO6ScViFHK1j2qgN",4,260792,"Aquatic Mouth Dance","Unlimited Love","F minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.597,0.472,-7.674,0.0318,0.475,0.000126,0.151,0.233,127.503,"2Uze78n7BgWsV91bUMtflX",4,266326,"Not the One","Unlimited Love","G major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.714,0.784,-5.423,0.0528,0.0467,0.00824,0.124,0.72,165.229,"6LwwlI0IvFTN6DRUDdkkT8",4,318421,"Poster Child","Unlimited Love","G major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.528,0.882,-5.146,0.0842,0.0196,0.000226,0.146,0.463,140.722,"5Ek9NwB6PD3QNCDdSUJK5x",4,301828,"The Great Apes","Unlimited Love","A minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.556,0.64,-6.965,0.0412,0.075,0.027,0.321,0.708,185.607,"2p0W20VwOJpXt323xv8OAJ",4,333547,"It's Only Natural","Unlimited Love","F minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.726,0.606,-4.727,0.0348,0.00239,0.0065,0.111,0.419,104.724,"4c4TCbToFf6X8CncWJuHa3",4,221092,"She's a Lover","Unlimited Love","F minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.42,0.905,-5.419,0.0804,0.00016,0.0212,0.253,0.306,127.62,"1KtXgVTeu3GUXHrOAef6QQ",4,236216,"These Are the Ways","Unlimited Love","A major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.616,0.582,-5.332,0.0702,0.0115,0.00024,0.098,0.829,171.259,"37o0LxdGxiF3chjxjwJwBD",4,220905,"Whatchu Thinkin'","Unlimited Love","B minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.637,0.722,-6.836,0.0399,0.0253,1.45e-06,0.0708,0.291,106.665,"5oRG4KJFamOaLASrNaL5Zo",4,218932,"Bastards of Light","Unlimited Love","A major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.579,0.61,-7.39,0.0315,0.0486,0.107,0.134,0.9,107.657,"62MNMZaNTYWqjsD0Isce0l",4,220523,"White Braids & Pillow Chair","Unlimited Love","C# minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.674,0.893,-6.115,0.0396,0.0126,0.000372,0.117,0.152,116.857,"6tCe3xmLW5PutAgf6QuuOB",4,250670,"One Way Traffic","Unlimited Love","D major"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.483,0.575,-6.077,0.0367,0.0714,0,0.34,0.41,101.97,"4teDqwGXb1B4krdQnFe2cY",4,268996,"Veronica","Unlimited Love","F# minor"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","2ITVvrNiINKRiW7wA3w6w6",2022,0.829,0.554,-7.056,0.0355,0.0543,0.000109,0.205,0.517,93.516,"5b5u0lJMQTJltn3tKp342F",4,263152,"Let 'Em Cry","Unlimited Love","F major"
