"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.559,0.532,-7.679,0.353,0.174,0,0.136,0.529,85.843,"4HTY26kzdGCKJF1EqcRd2J",5,186059,"Feelin' Like Tunechi","Trust Fund Babies","F minor"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.697,0.719,-4.83,0.17,0.314,0,0.385,0.821,129.859,"7aEyRTJPEITFrtuq648Mzp",4,181099,"Headlock","Trust Fund Babies","D major"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.915,0.579,-6.009,0.383,0.0692,0,0.119,0.649,118.143,"06B0S6yv7wmr57QvweXJkx",4,165648,"Trust Fund","Trust Fund Babies","G# minor"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.847,0.513,-6.655,0.528,0.0545,0,0.085,0.899,150.829,"4lEHFsmzCrWQctlhGbDcvO",4,130214,"Admit It","Trust Fund Babies","A minor"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.795,0.767,-4.309,0.313,0.0344,0,0.44,0.213,162.985,"1qBo7j5KAyYU3bBJWrzVvm",4,165641,"Shh","Trust Fund Babies","C# major"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.662,0.632,-5.611,0.418,0.122,0,0.286,0.595,168.578,"2GgFwwTV5AvTLakjZdtNte",4,152009,"Big Boss","Trust Fund Babies","A# minor"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.646,0.552,-5.147,0.268,0.173,0,0.0892,0.648,89.194,"1zkUmHMYADmWGXbZTO6VJ5",4,162840,"Still","Trust Fund Babies","C# major"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.844,0.647,-3.296,0.0934,0.118,0,0.156,0.386,130.025,"0xW92tKaem3nlC7j6k3RHK",4,186099,"Bleedin'","Trust Fund Babies","B major"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.792,0.574,-6.58,0.39,0.122,0,0.125,0.522,164.124,"0BhkXg22i7YEsLwrBcPT0x",4,198494,"Buzzin' (with YG)","Trust Fund Babies","C# major"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","2gDny6NDG26azxuTbtNxgq",2021,0.728,0.694,-5.59,0.231,0.055,0,0.229,0.848,84.953,"2orIeHVC3ItYq2hVPETopb",4,185198,"Yeah Yeah","Trust Fund Babies","D# minor"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","1w3bK9CG80xsuDPlrz5EV7",2020,0.881,0.677,-5.168,0.401,0.0568,0,0.12,0.159,109.362,"2njoi6yM86QQwYnfyKjQzH",5,140121,"Nobody Safe","Nobody Safe","C# major"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","1w3bK9CG80xsuDPlrz5EV7",2020,0.57,0.606,-6.864,0.436,0.208,0,0.102,0.521,77.061,"3DhQknNJsPtkRj1D7bxjvl",4,141692,"No Flash","Nobody Safe","F# major"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","1w3bK9CG80xsuDPlrz5EV7",2020,0.712,0.579,-6.606,0.245,0.0431,0,0.142,0.723,76.531,"108I14Gq6OlXJxMEWgh9d4",4,141200,"You Bad","Nobody Safe","F# minor"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","1w3bK9CG80xsuDPlrz5EV7",2020,0.869,0.672,-5.66,0.209,0.184,0,0.076,0.813,120.954,"13mPDke1bFw3xWcDkj1HJp",4,167409,"Bankroll","Nobody Safe","G minor"
"Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","1w3bK9CG80xsuDPlrz5EV7",2020,0.798,0.57,-7.057,0.256,0.0821,0,0.125,0.512,147.92,"5JXAFhn7cDrXevv7OHyUoo",4,155675,"Automatic","Nobody Safe","C major"
