"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.2,0.639,-5.857,0.0365,0.00623,0.0459,0.125,0.17,166.013,"1PcANFoqnDsexSHXpWrn8Q",4,340400,"Adderall","The End, So Far","G minor"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.516,0.991,-2.587,0.126,0.000467,4.66e-05,0.327,0.402,95.017,"6rsoBvxrlxdmqJyGPPciyq",4,203586,"The Dying Song (Time To Sing)","The End, So Far","B minor"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.538,0.997,-2.27,0.205,0.00232,0.00159,0.12,0.0702,95.016,"5jeh4hwbQJnnAJHZV9fqeo",4,289226,"The Chapeltown Rag","The End, So Far","G# major"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.562,0.934,-4.264,0.111,0.000833,0.0159,0.298,0.302,137.005,"5ih5d9WJSI7Hxz0KIPJPY2",4,283786,"Yen","The End, So Far","D major"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.41,0.993,-3.376,0.205,0.000728,0.00132,0.276,0.0536,101.279,"60knpe02nSLudHQYX2FZBI",4,315906,"Hive Mind","The End, So Far","G major"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.581,0.992,-2.976,0.109,0.004,2.73e-05,0.353,0.2,99.974,"6AUfiRcpnffzH1KhI121f1",4,231146,"Warranty","The End, So Far","G major"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.383,0.984,-3.586,0.174,0.00752,0.0366,0.0974,0.0771,135.466,"0qFBuG34m8V4LMgYUMYPV7",4,376226,"Medicine for the Dead","The End, So Far","E major"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.523,0.947,-3.621,0.0809,0.00113,0.122,0.228,0.119,120.027,"297TiFDfq3OyRYQyMk5OdA",4,290946,"Acidic","The End, So Far","E minor"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.568,0.99,-2.384,0.0991,2.51e-05,0.02,0.0928,0.377,134.97,"7d0XwaQbPLT8tPX81uRYMv",4,211320,"Heirloom","The End, So Far","C# minor"
"Slipknot","05fG473iIaoy82BF1aGhL8","3hWTXO0w02D6YpVRyLRmQz",2022,0.274,0.997,-2.128,0.204,0.0025,2.52e-05,0.122,0.17,172.023,"38YxfCfUuQJU4r4pe3jeYb",4,263093,"H377","The End, So Far","G major"
