"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.794,0.64,-6.669,0.0927,0.000141,0.678,0.335,0.962,145.06,"1tvTr5mUHAzoNuTkYLep1F",4,105413,"Kakee","WET TENNIS","F# minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.791,0.735,-8.659,0.05,0.199,0.00842,0.34,0.493,124.015,"6a5AULmLVw7BHqDsX2OsuX",4,172013,"Original Sin","WET TENNIS","B minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.706,0.77,-6.224,0.0653,0.397,1.84e-05,0.209,0.967,117.075,"5kyJ6sznnWACqHbw65p34Q",4,158549,"Summer In New York","WET TENNIS","A# minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.619,0.687,-7.937,0.12,0.168,0.000359,0.0714,0.457,100.102,"5T6dWZIl0ePMxWUzKQbhji",4,225437,"Forgive Me","WET TENNIS","F minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.615,0.798,-6.483,0.066,0.0853,9.28e-06,0.178,0.757,95.027,"5Sw2EtNVnhiR4nVAD5tsNw",4,154613,"Wet Tennis","WET TENNIS","G major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.452,0.367,-7.806,0.0327,0.92,1.39e-05,0.0976,0.375,95.438,"5DFt1BNBUNOKuzzJRSdSnf",3,52400,"Interlude","WET TENNIS","A minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.671,0.573,-7.905,0.0275,0.024,0.0203,0.0706,0.419,124.002,"4OssNR8i2CZHzIBJDxRh2e",4,203680,"Sun Came Up","WET TENNIS","A minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.428,0.858,-7.181,0.0557,0.0281,0.0619,0.303,0.557,117.695,"7ncRHWKa9bZS2RlTWVVjQM",4,183426,"Larry Bird (feat. Tuck's Dad)","WET TENNIS","A major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.652,0.779,-7.032,0.0425,0.0717,0.061,0.237,0.386,124.984,"1O4jgAGdN643klU6yzFFzq",4,268813,"Hold","WET TENNIS","B minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.692,0.755,-6.876,0.029,0.0109,0.0579,0.133,0.239,125.017,"1OXlJgwK5GCoxPLZ8c4r5T",4,248146,"Mon Cheri","WET TENNIS","F major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.634,0.941,-7,0.064,0.00752,0.00359,0.107,0.881,154.735,"1B7AQGTmO8jfcCqUGlHo5V",4,122933,"Freak","WET TENNIS","C major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","1u54eF07irCSSssyDG67R2",2022,0.612,0.582,-6.723,0.0415,0.753,0.00121,0.104,0.444,83.173,"4AsCoWKZ7i1c5WY5xWkhz9",4,174786,"What A Wonderful World","WET TENNIS","F minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","6JMqFQYi82ybVJalF7tb3W",2018,0.819,0.591,-8.81,0.098,0.0771,0.00182,0.305,0.697,126.981,"4o3B718MLAePzaSUcj8pR8",4,184053,"Fuck They","Treehouse","G major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","6JMqFQYi82ybVJalF7tb3W",2018,0.725,0.775,-5.773,0.0447,0.00582,0.0145,0.174,0.753,134.997,"7osbtG7ejt3wp57WeBsPXQ",4,187706,"Energia","Treehouse","A# minor"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","6JMqFQYi82ybVJalF7tb3W",2018,0.717,0.562,-9.522,0.0455,0.112,0.00125,0.101,0.525,115.048,"0qyt9rdN0bxh3NWa6NBc9o",4,196346,"Benadryl","Treehouse","C major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","6JMqFQYi82ybVJalF7tb3W",2018,0.787,0.522,-6.88,0.0483,0.0101,0.00814,0.11,0.499,115.017,"398W8M7yOg2MuZJnlzrRS5",4,203413,"Batshit","Treehouse","C# major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","6JMqFQYi82ybVJalF7tb3W",2018,0.792,0.713,-8.403,0.0466,0.00768,0.167,0.115,0.563,124.021,"52zrrW1zaEgbQbVg7ARbfT",4,184600,"Good Time Girl (feat. Charlie Barker)","Treehouse","B major"
"Sofi Tukker","586uxXMyD5ObPuzjtrzO1Q","6JMqFQYi82ybVJalF7tb3W",2018,0.664,0.55,-7.196,0.0434,0.026,0.543,0.531,0.441,92.027,"2zMdneIAak8dP4KteMkZCW",4,185293,"Johny","Treehouse","G major"
