"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.5,0.252,-20.651,0.0525,0.92,0.83,0.14,0.372,86.805,"6WaszTj7lf3FnH3gg5wnKW",4,60120,"Into The Desert","Hidden Youth","D major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.656,0.619,-6.007,0.0401,0.125,0,0.118,0.356,129.891,"4LR25feH4cviEMgbhy7HdR",4,179038,"Golden Hour","Hidden Youth","F# minor"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.613,0.604,-6.683,0.0641,0.25,2.89e-06,0.0989,0.858,73.946,"6w8no2MmEDbHdTIyumMphx",4,158604,"It Only Takes Two","Hidden Youth","E minor"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.722,0.705,-4.75,0.0324,0.302,0,0.123,0.715,115.005,"4zgGNKt9YQGUQHRu9FgZPM",4,178780,"I Can't Help But Feel","Hidden Youth","C# minor"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.703,0.732,-5.287,0.0259,0.0971,1.12e-06,0.204,0.663,93.959,"4PmFLKuafcMc9apitP7BjY",4,227544,"Falling Again","Hidden Youth","A# major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.73,0.359,-9.692,0.0658,0.186,1.19e-05,0.0771,0.232,98.017,"5JsQaS0mzGVJuxEE4kxHf9",4,180248,"Rooftops","Hidden Youth","D# major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.729,0.429,-9.227,0.0321,0.185,6.35e-05,0.105,0.271,94.969,"1kMdm3Y9mSpIGjSUgZZixK",4,225356,"Rolling Stone","Hidden Youth","A# major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.735,0.651,-4.92,0.0305,0.0156,0,0.13,0.779,116.984,"463N2hV16Vqlhjn7eImQ5z",4,172490,"What's Been On Your Mind?","Hidden Youth","C# major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.632,0.61,-6.862,0.0437,0.00503,0.00042,0.0896,0.575,78.995,"1hgHuww2rQaSjPsSnaQjkk",4,160622,"Champagne","Hidden Youth","G major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.741,0.709,-5.509,0.0299,0.153,3.49e-06,0.367,0.914,128.068,"3K3uVWCm7zPkYLq7HzBDJ3",4,137461,"Brand New","Hidden Youth","A major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.635,0.663,-9.24,0.0369,0.319,0.00086,0.158,0.472,119.981,"2SswMDzyouKw68fjEGRyUk",4,149493,"Find A Way","Hidden Youth","C# major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.782,0.559,-7.843,0.0317,0.121,0,0.075,0.757,115.03,"5gWdQ3leeIibBLukMOyLXt",4,224832,"Hold Onto Me Baby (feat. Felly)","Hidden Youth","F major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.576,0.663,-5.87,0.0264,0.0977,0.529,0.0898,0.486,82.487,"4bwDxPOKt7QFX8IMSc5C3X",4,215368,"Open Water","Hidden Youth","A minor"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","0p6lFaFEpTcukkXu793jXB",2022,0.569,0.534,-8.402,0.0285,0.0512,0.0505,0.345,0.258,104.955,"6Zq0zJyT81FeR8fDwQtqJb",4,228403,"Cherry Blossom","Hidden Youth","F minor"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","70SO4lxUQN7Rt1bg3JCIaS",2021,0.156,0.279,-15.216,0.0365,0.0637,0.296,0.135,0.257,86.72,"28auYRVsozLHBLvdoPM9Sk",4,50401,"Climb","Pacifico (Deluxe)","C major"
"Surfaces","4ETSs924pXMzjIeD6E9b4u","70SO4lxUQN7Rt1bg3JCIaS",2021,0.685,0.623,-5.301,0.0972,0.209,0.000262,0.273,0.351,171.914,"11aEwP8eZFRYCI7iS35SZn",4,219418,"Hideaway","Pacifico (Deluxe)","C major"
