"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.302,0.4,-8.212,0.0364,0.719,0.000621,0.172,0.421,180.852,"6IAuH3hgTRpUUdmOGubXGS",3,190546,"Can I Call You Rose?","Thee Sacred Souls","C minor"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.528,0.469,-7.714,0.0247,0.541,0,0.135,0.767,164.178,"5Uhr87fTMOrVBhc8gNU7Z8",4,182346,"Lady Love","Thee Sacred Souls","G# major"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.547,0.399,-9.808,0.0246,0.668,2.81e-06,0.132,0.563,84.127,"4zIeRcsaho6lZuaXEYR1y3",4,174706,"Easier Said Than Done","Thee Sacred Souls","A# major"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.313,0.59,-7.389,0.0341,0.801,0.000358,0.352,0.455,184.13,"6fIvBjBjMVYMsWRkh2VG3m",3,146266,"Overflowing","Thee Sacred Souls","F# major"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.508,0.395,-9.151,0.0268,0.669,1.2e-05,0.173,0.531,152.901,"2SZpLPG4MqtWA5Jgr4ZVio",3,174586,"Trade of Hearts","Thee Sacred Souls","A major"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.744,0.422,-9.2,0.033,0.146,0.00145,0.0779,0.562,127.726,"3W4xqKFMKBauuU517t8NIb",4,261306,"Weak for Your Love","Thee Sacred Souls","B minor"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.607,0.468,-7.587,0.0271,0.088,0.000155,0.0909,0.806,147.57,"3kedYiw0PflZpyQcDzBLKK",4,211626,"Future Lover","Thee Sacred Souls","B major"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.657,0.62,-6.173,0.0247,0.561,5.27e-06,0.115,0.843,85.677,"1xeirnmUAe86uZTUOIjmgL",4,169813,"Sorrow For Tomorrow","Thee Sacred Souls","B minor"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.578,0.227,-12.93,0.033,0.905,0.000102,0.14,0.284,145.285,"7zCbNTKUV9R8FJ9kxz2RwH",3,233066,"For Now","Thee Sacred Souls","C# major"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.275,0.509,-6.394,0.0335,0.318,0,0.315,0.675,194.84,"3sl39rdVW9YAX3TFadAkAx",3,182880,"Once You Know (Then You'll Know)","Thee Sacred Souls","C minor"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.541,0.254,-12.163,0.025,0.843,7.63e-05,0.103,0.434,85.683,"2rvOxVntJo33lFlMF9ExiW",4,203706,"Happy and Well","Thee Sacred Souls","B minor"
"Thee Sacred Souls","0oK5D6uPhGu4Jk2dbZfodU","6ofJrAZaaX0iWTXYXObUxE",2022,0.472,0.58,-6.522,0.0252,0.353,9.03e-05,0.102,0.756,85.841,"0BCCNCHg7w7RV0JczNwzyP",4,192800,"Love Comes Easy","Thee Sacred Souls","F minor"
