"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","5H2qv56KuvEfPjPVYWStUe",2023,0.559,0.704,-7.686,0.0338,0.0177,0,0.0821,0.422,89.985,"4HeViKsdSOLkOvwfcRVkK8",4,187269,"Mamaw's House","20 Number Ones (Bonus Version)","D major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","3t9LIGVnRb9bGaZMwlApFB",2023,0.511,0.486,-6.687,0.0267,0.0435,0,0.102,0.251,97.805,"31aT97IibN6AOy4jgaKeht",4,173960,"Be A Light","20 Number Ones","C major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","3t9LIGVnRb9bGaZMwlApFB",2023,0.516,0.598,-4.257,0.0297,0.062,0.00018,0.0911,0.232,66.01,"202BHy1VSuKCgz6whG3zhx",3,200426,"Angels (Don’t Always Have Wings)","20 Number Ones","C# major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.366,0.393,-8.826,0.0292,0.091,0,0.109,0.243,79.068,"4JQ8ktOuJ4z0ZIcUFg3WxA",1,165826,"The Hill","Where We Started (Behind The Songs)","F major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.64,0.76,-5.144,0.0333,0.00316,0,0.0795,0.791,94.991,"5Bl5jvEFkQs2FCm22Q8iXP",4,177693,"Church Boots","Where We Started (Behind The Songs)","C major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.5,0.827,-5.102,0.0318,0.00382,0,0.266,0.629,79.027,"6LQPYc6mtDjjB1603dHhH6",4,176440,"Bass Pro Hat","Where We Started (Behind The Songs)","D major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.668,0.851,-5.523,0.0313,0.0331,0,0.105,0.771,120.006,"0ddkCdumFraAglAoeulF8P",4,166560,"Anything Cold","Where We Started (Behind The Songs)","G major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.287,0.474,-6.088,0.0271,0.117,3.82e-05,0.111,0.321,60.462,"1sr2fOJuQzZvcnhEvPjXIE",3,214040,"Angels","Where We Started (Behind The Songs)","C# major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.575,0.842,-5.058,0.0348,0.00683,0,0.279,0.665,111.995,"5KIrfz5GXBU5JZK3cwG4CV",4,183026,"Half Of Me","Where We Started (Behind The Songs)","G major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.657,0.79,-5.074,0.0268,0.00257,2.85e-06,0.179,0.872,122.987,"7LiPXISX1y00nmJkhO2RN9",4,209440,"Bring The Bar","Where We Started (Behind The Songs)","F# minor"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.697,0.815,-5.651,0.0292,0.0219,0,0.0982,0.809,115.966,"2rRS6evus6Oy8PjPdel65z",4,188493,"Paradise","Where We Started (Behind The Songs)","A major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.318,0.58,-7.635,0.0291,0.00928,1.07e-06,0.104,0.182,93.473,"07QZ0awmOhByiUg5wo1nEi",4,231133,"Death Row","Where We Started (Behind The Songs)","D major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.55,0.527,-7.195,0.027,0.0514,4.93e-06,0.105,0.387,83.976,"1Dm2bLpKpwKq0gaI55SMlG",3,162706,"Mama’s Front Door","Where We Started (Behind The Songs)","E major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.457,0.756,-5.64,0.0359,0.00901,0,0.0966,0.472,155.965,"4eVtD2Xlwht6W8YTuWCQeK",4,217960,"Slow Down Summer","Where We Started (Behind The Songs)","B major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.523,0.803,-5.068,0.0613,0.0129,4.81e-06,0.125,0.742,167.928,"6okkj4bEGUfUADi3oAjcf2",4,201840,"Simple As A Song","Where We Started (Behind The Songs)","B major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.52,0.643,-6.37,0.0237,0.0296,2.28e-06,0.0982,0.745,155.988,"0ubWGqXZJ2lJgQheN3DZ53",4,143733,"Us Someday","Where We Started (Behind The Songs)","A# major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.523,0.834,-5.119,0.0711,0.157,0,0.239,0.787,174.153,"7A9e71AJBXdSogcnzZMRb3",4,169933,"Somebody Like Me","Where We Started (Behind The Songs)","A# major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","2M4oeAu1AXn2CWGbnfUL2O",2022,0.6,0.533,-6.555,0.0256,0.272,0,0.0927,0.626,139.94,"26NObcu2O6EjOheNEq3Tvc",4,182026,"Where We Started","Where We Started (Behind The Songs)","D major"
"Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","794M3R461sLnY042CsB3xW",2022,0.366,0.393,-8.826,0.0292,0.091,0,0.109,0.243,79.068,"4xr1UV4rbOwXuAAlS0vdpQ",1,165826,"The Hill","Where We Started","F major"
