"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.784,0.772,-6.294,0.0567,0.022,0.000312,0.124,0.434,114.99,"2L6IdXP4KU8gExefLqL7Zz",4,183652,"Chills (LA Hills)","DRIVE","C major"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.754,0.763,-4.627,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,"5RnMOM1drWvJ3KYKqcUFd5",4,164818,"The Motto","DRIVE","G minor"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.696,0.793,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,"3uY1yq7HzP6ncr3MFhmKAP",4,172252,"10:35","DRIVE","G# major"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,"3IHHQDlpfxFzUBWQa6uhBd",4,164000,"The Business","DRIVE","G# minor"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.756,0.921,-6.196,0.0508,0.0386,0.0546,0.327,0.384,124.981,"19IxCtwCxFp4lpoTxTGlYT",4,134880,"All Nighter","DRIVE","B minor"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.748,0.841,-5.08,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,"615WGDDc6rRKdKAQB2CTvG",4,129817,"Hot In It (feat. Charli XCX)","DRIVE","G major"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.66,0.942,-2.273,0.185,0.00789,1.76e-05,0.834,0.543,126.017,"0VvY6bJ2krVO9OtTwyJmtL",4,158571,"Pump It Louder","DRIVE","E major"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.701,0.886,-5.653,0.0419,0.364,0.0145,0.193,0.687,119.985,"0miQbjugFUSCa1xVeRvhtg",4,133003,"Learn 2 Love","DRIVE","F minor"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,"42GVFip18j7QYynp0uhEpx",4,140500,"Don't Be Shy","DRIVE","B minor"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.668,0.803,-5.162,0.0755,0.0368,0.000229,0.101,0.433,119.995,"1Ikjimk3AsR6GEcXXzWjlX",4,204000,"Bet My Dollar","DRIVE","C major"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.791,0.731,-6.464,0.122,0.23,0.6,0.108,0.483,119.906,"4uhP9qUxuS4BtnouMRIjEI",4,175403,"Back Around","DRIVE","F minor"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.554,0.884,-4.424,0.212,0.065,7.74e-05,0.342,0.418,121.895,"4aX6sHB8xxavVzMezprulu",4,153442,"Lay Low","DRIVE","C# minor"
"Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","5MZ8KBGWztnBxBlrLPRBZB",2023,0.694,0.66,-5.862,0.0357,0.167,9.91e-06,0.112,0.366,125.007,"3BuHeeCEqJ41hBkiK069RA",4,140160,"Yesterday","DRIVE","A minor"
