"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","0z2a9VgdVmkr0DInVJUgu6",2023,0.764,0.701,-4.706,0.0394,0.0581,0,0.107,0.63,149.979,"6bFsZCWWJaCyE9uly2NhAH",4,266400,"Money (feat. Juice WRLD & Nicki Minaj)","BUSINESS IS BUSINESS (Metro's Version)","G# major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","0z2a9VgdVmkr0DInVJUgu6",2023,0.943,0.406,-6.993,0.0768,0.025,0,0.251,0.166,124.998,"54nCzj6TQ2tukxToVUJJp5",4,238400,"Sake Of My Kids","BUSINESS IS BUSINESS (Metro's Version)","C# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.528,0.298,-13.044,0.556,0.444,7.76e-06,0.111,0.313,166.116,"05CTjmZKjZoCKQvM1Ldq9M",1,228266,"Parade on Cleveland (feat. Drake)","BUSINESS IS BUSINESS","D# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.896,0.648,-6.903,0.267,0.000107,0.00826,0.105,0.441,159.982,"0k88aN0xmk8Xn1zdnyTiPG",4,133000,"Money On The Dresser","BUSINESS IS BUSINESS","G# major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.908,0.487,-6.591,0.158,0.00377,0.000165,0.0703,0.719,145.056,"02vvwHxBoZtnNDQFFE64NQ",4,175133,"Gucci Grocery Bag","BUSINESS IS BUSINESS","C# major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.759,0.741,-6.065,0.171,0.0192,0,0.145,0.69,100.054,"2Okh2n1EHlGhviAYv75MOB",4,202933,"Cars Bring Me Out (feat. Future)","BUSINESS IS BUSINESS","A# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.768,0.714,-6.914,0.294,0.00278,0,0.296,0.363,145.113,"0r75DNlHu4recmKUdZeMfG",4,226413,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)","BUSINESS IS BUSINESS","E minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.699,0.62,-6.664,0.069,0.0153,0,0.213,0.266,142.104,"612Gkl43RQdwlzKGPgkudm",4,140000,"Uncle M","BUSINESS IS BUSINESS","A major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.625,0.574,-6.509,0.209,0.0315,0,0.111,0.363,163.203,"4Zsi5pyvmZBxvRg0KeDFMC",4,247733,"Abracadabra (feat. Travis Scott)","BUSINESS IS BUSINESS","G# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.863,0.66,-7.016,0.16,0.0312,6.08e-06,0.236,0.236,92.511,"7fYI5lJNkyJMtTdhIVPy07",4,155733,"Went Thru It","BUSINESS IS BUSINESS","D major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.808,0.789,-5.88,0.236,0.0517,0,0.0819,0.465,136.01,"7qLr3HMApUbyDkUvgIvHnB",4,185333,"Oh U Went (feat. Drake)","BUSINESS IS BUSINESS","G minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.84,0.61,-8.28,0.366,0.162,0,0.144,0.556,133.233,"3GXjlz7evuodm50dfiDDWo",4,194706,"Want Me Dead (feat. 21 Savage)","BUSINESS IS BUSINESS","F# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.932,0.503,-9.351,0.294,0.0661,0,0.0856,0.686,140.096,"5nYygW7bTgPOhckh3uDR9L",4,154466,"Hellcat Kenny (feat. Lil Uzi Vert)","BUSINESS IS BUSINESS","G# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.639,0.519,-6.334,0.238,0.00927,0,0.197,0.359,160.404,"5vg13q0WVz8iamRtUjaVU0",4,229000,"Mad Dog","BUSINESS IS BUSINESS","F# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.567,0.66,-6.357,0.317,0.51,1.14e-05,0.186,0.262,108.81,"4mRcWpEcBCXNzrapIH76R7",5,163800,"Jonesboro","BUSINESS IS BUSINESS","A minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.506,0.598,-8.476,0.415,0.000431,0,0.105,0.222,169.717,"6tCmZiMZDwAYSfjnArGG48",4,215600,"Hoodie (feat. BSlime & Lil Gotit)","BUSINESS IS BUSINESS","C# major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","6qElaeK7SHsEzb8uV8eG3D",2023,0.561,0.682,-8.765,0.39,0.265,0,0.124,0.329,133.92,"79AzC6p5uKHZC4Rb7xrpR1",5,148533,"Global Access (feat. Nate Ruess)","BUSINESS IS BUSINESS","D major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.558,0.211,-14.575,0.0453,0.799,0.000385,0.106,0.159,80.688,"6wuGK7wlZFjX2NYmParJwl",4,237572,"Die Slow (with Strick)","Punk","A# major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.586,0.501,-11.193,0.362,0.497,1.33e-06,0.372,0.473,109.482,"5UZxoK9vuNm5uXzIpE4nC7",5,333750,"Stupid/Asking","Punk","C# major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.508,0.257,-14.564,0.0659,0.887,0,0.0984,0.638,82.881,"2wSWcyp4Z8ObUaqlNMGd5h",4,171834,"Recognize Real (with Gunna)","Punk","F major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.688,0.52,-9.894,0.424,0.602,0,0.168,0.443,82.809,"2A3rpB8ZDbBG7ecVUDIcsE",4,150064,"Contagious","Punk","C# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.509,0.51,-9.522,0.425,0.176,0,0.223,0.22,82.407,"03kozlqpm5twrblZia0m9j",4,237262,"Peepin Out The Window (with Future & Bslime)","Punk","E minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.849,0.479,-7.208,0.239,0.027,0,0.374,0.395,147.215,"1XRzIGsdYaLi0jHeGlcHGP",4,177596,"Rich Nigga Shit (with Juice WRLD)","Punk","A major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.767,0.313,-12.059,0.0798,0.838,0,0.105,0.765,82.582,"7zjEyeBsaw9gV0jofJLfOM",4,210906,"Livin It Up (with Post Malone & A$AP Rocky)","Punk","G major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.867,0.413,-8.487,0.465,0.353,0,0.117,0.54,98.035,"4tiWuxeSX1GbeBPt8osI6Z",4,144489,"Yea Yea Yea","Punk","G minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.607,0.646,-10.39,0.351,0.221,0,0.0744,0.547,86.009,"26PSkNzsEBx1BRRB4vY4n5",4,168863,"Insure My Wrist (with Gunna)","Punk","G# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.917,0.631,-6.817,0.244,0.00365,0,0.35,0.493,129.965,"5vkrDTKB9xWraHlj0EY1pf",4,170495,"Scoliosis (with Lil Double 0)","Punk","D major"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.91,0.585,-7.572,0.257,0.0536,0,0.127,0.599,129.011,"4KDNRh9Oor80z3XIxdWlui",4,165066,"Bubbly (with Drake & Travis Scott)","Punk","B minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.624,0.327,-14.902,0.892,0.0346,0,0.102,0.421,78.584,"4rMRWTyCqdXz4UD5RFGJoG",4,152640,"Road Rage","Punk","C# minor"
"Young Thug","50co4Is1HCEo8bhOyUWKpn","7IKkHmEk4It4cRdOYanyvW",2021,0.557,0.488,-9.698,0.382,0.0511,0,0.158,0.35,84.129,"29GvhwlStyNr9BQTX4M9qx",4,132484,"Faces","Punk","C major"
