"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.322,0.197,-13.13,0.033,0.334,0.901,0.112,0.0559,131.921,"0pUyUA4qmuDfcJYpXoolKG",3,113773,"when i die i'mma come back","Catching Z's","C major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.464,0.867,-8.118,0.0543,0.084,0.848,0.164,0.0346,123.986,"0zWf8NB5Ck8fy10H7u9EYX",4,255388,"exit row","Catching Z's","A minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.476,0.617,-8.074,0.0409,0.0187,0.000119,0.085,0.109,144.895,"0l1KmytAjlHMSni4mjSFFz",4,167063,"lost birds","Catching Z's","D major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.504,0.498,-8.43,0.0325,0.166,0.875,0.195,0.0372,144.024,"4f11QOl924NpmZeSzXr9vT",4,225417,"phuket sunrise","Catching Z's","A minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.672,0.836,-5.867,0.0346,0.00455,0.874,0.367,0.551,137.983,"4gnpUBWrn0NV6UF2zOVTwT",4,165217,"get what you need","Catching Z's","G major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.694,0.548,-10.741,0.054,0.788,0.939,0.0987,0.56,121.006,"6bc7cFfK3xCW2lcdfKemI5",4,127232,"time is an illusion","Catching Z's","C major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.618,0.662,-7.724,0.056,0.201,0.0418,0.113,0.254,92.032,"6tkHWTety7Wd4Fv4oyGAcz",4,213623,"i think you're cool","Catching Z's","G major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.766,0.872,-7.045,0.077,0.0757,0.861,0.0897,0.119,90.016,"7bDe9cMs1IaMLimLHA022q",4,182063,"desert fractal","Catching Z's","F# minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.688,0.709,-8.831,0.0287,0.394,0.726,0.365,0.0843,139.982,"5o565IrRIQINMCiH8Vodlu",3,236556,"late night drive","Catching Z's","G minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.374,0.308,-10.051,0.0976,0.523,0.849,0.107,0.237,150.275,"5RerXgnZjJJYkhMULZPkmO",1,53721,"forever alone","Catching Z's","A# minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.643,0.566,-8.135,0.0344,0.808,0.936,0.113,0.155,119.965,"6vW3pnIufsNTzfPA109j1e",4,169592,"don't close your eyes","Catching Z's","D minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.484,0.641,-7.648,0.0323,0.0128,0.12,0.249,0.0804,108.752,"4xn7O9s4UhV1jJX5HCMGoi",4,194684,"over and over","Catching Z's","A# minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","2Tkn1vJF1Fb5fdw2pm4Fz1",2021,0.601,0.722,-5.852,0.0319,0.0741,0.439,0.11,0.205,109.031,"4IsDHRsHGZzPhhmE3ayXhm",4,157843,"93 'til now","Catching Z's","C# major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","6bda23FuUtLfkPtCbDm3i2",2020,0.71,0.924,-4.217,0.0582,0.00765,0.397,0.069,0.383,150.09,"6Peho1Mm2PzHZ1HjvUNpT6",4,153983,"RUFF","We Are Deadbeats (Vol. 4/Deluxe)","C# minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","6bda23FuUtLfkPtCbDm3i2",2020,0.587,0.822,-6.35,0.0489,0.00405,0.565,0.0367,0.22,140.047,"1hBzQH4kOWxEQwYbKtZYlt",4,214285,"Taken","We Are Deadbeats (Vol. 4/Deluxe)","D major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","6bda23FuUtLfkPtCbDm3i2",2020,0.716,0.734,-6.003,0.0581,0.0114,0.798,0.112,0.27,140.004,"5eIgyAOFJRk0Fmx10uTyyq",4,252857,"Reason","We Are Deadbeats (Vol. 4/Deluxe)","D major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","6bda23FuUtLfkPtCbDm3i2",2020,0.311,0.717,-7.49,0.0377,0.00181,0.892,0.141,0.199,145.013,"49gc8nkswHzuOS4oHFCNL4",4,245379,"Into The Abyss","We Are Deadbeats (Vol. 4/Deluxe)","A minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","0M5oUKrfgJtfZUKdFsC4VZ",2020,0.602,0.861,-6.844,0.0625,0.0767,0.337,0.62,0.136,135.029,"13Ls4Uc1tSAIaCVhz0H8hm",4,270346,"Asteroid","We Are Deadbeats (Vol. 4)","A minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","0M5oUKrfgJtfZUKdFsC4VZ",2020,0.757,0.839,-3.89,0.271,0.0479,0.221,0.363,0.409,140.02,"1L7lC4k4xMrW5HfgVnOQoj",4,252866,"Bumpy Teeth","We Are Deadbeats (Vol. 4)","E minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","0M5oUKrfgJtfZUKdFsC4VZ",2020,0.71,0.797,-4.496,0.0328,2.63e-05,0.0119,0.246,0.111,124.981,"6rJ5REbM4Sps9IiFuyLNHS",4,285746,"Just Wanna","We Are Deadbeats (Vol. 4)","B major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","0M5oUKrfgJtfZUKdFsC4VZ",2020,0.51,0.659,-3.104,0.115,0.0121,0.443,0.0718,0.145,98.184,"4f9uuAsVDIOqp2Jh990csR",4,246120,"Ether","We Are Deadbeats (Vol. 4)","G# major"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","0M5oUKrfgJtfZUKdFsC4VZ",2020,0.604,0.742,-8.101,0.0315,0.0147,0.000733,0.158,0.123,108.021,"3SmytDq4CeZ3nKE9777qEx",4,222386,"Save My Grave","We Are Deadbeats (Vol. 4)","G# minor"
"Zeds Dead","67qogtRNI0GjUr8PlaG6Zh","0M5oUKrfgJtfZUKdFsC4VZ",2020,0.578,0.952,-2.221,0.298,0.0047,7.6e-06,0.271,0.699,163.935,"6QLjtuigHTA6Z9MwIIKrWx",4,146480,"Leave You in The Ground","We Are Deadbeats (Vol. 4)","G# major"
