"id","name","popularity","followers.total","genre"
"4q3ewBCX7sLwd24euuV69X","Bad Bunny",95,80141340,"latin"
"790FomKkXshlbRYZFtlgla","KAROL G",90,45285312,"latin"
"2LRoIwlKmHjgvigdNGBHNo","Feid",91,10609891,"latin"
"1mcTU81TzQhprhouKaTkpq","Rauw Alejandro",88,21181421,"latin"
"46SHBwWsqBkxI7EeeBEQG7","Kodak Black",80,10352994,"latin"
"2R21vXR83lH98kGeO99Y66","Anuel AA",87,34973201,"latin"
"0EmeFodog0BfCgMzAIvKQp","Shakira",87,32490207,"latin"
"1i8SpTcr7yvPOmcqrbnVXY","Ozuna",86,36430844,"latin"
"7iK8PXO48WeuP03g8YR51W","Myke Towers",88,14387521,"latin"
"1vyhD5VmyZ7KMfW5gqLgo5","J Balvin",86,36519847,"latin"
"4VMYDCV2IEDYJArk749S6m","Daddy Yankee",86,33416639,"latin"
"3BAgmPNIK5IJl7zMK1wvMA","That Mexican OT",74,718447,"latin"
"1r4hJ1h58CWwUQe3MxPuau","Maluma",85,33575833,"latin"
"5lwmRuXgjX8xIwlnauTZIP","Romeo Santos",82,20422383,"latin"
"33ScadVnbm2X8kkUqOkC6Z","Don Omar",83,11118422,"latin"
"4SsVbpTthjScTS7U2hmr1X","Arcángel",84,13690749,"latin"
"3qsKSpcV3ncke3hw52JSMB","Young Miko",82,2742316,"latin"
"0tmwSHipWxN12fsoLcFU3B","Manuel Turizo",83,13465376,"latin"
"6nVcHLIgY5pE2YCl8ubca1","Jhayco",82,7481207,"latin"
"716NhGYqD1jl2wI1Qkgq36","Bizarrap",85,14816895,"latin"
"5XJDexmWFLWOkjOEjOVX3e","Eladio Carrion",83,6493566,"latin"
"329e4yvIujISKGKz1BZZbO","Farruko",82,15489994,"latin"
"1qto4hHid1P71emI6Fd8xi","Aventura",79,7712727,"latin"
"2oQX8QiMXOyuqbcZEFsZfm","El Alfa",79,3340948,"latin"
"1Yj5Xey7kTwvZla8sqdsdE","Cris Mj",84,2187334,"latin"
"0Q8NcsJwoCbZOHHW63su5S","Mora",83,4574188,"latin"
"4obzFoKoKRHIphyHzJ35G3","Becky G",78,14337600,"latin"
"6w9ToX5slZ4uIdmD17hJ3c","Bryant Myers",81,10631335,"latin"
"77ziqFxp5gaInVrF2lj4ht","Sech",81,11893030,"latin"
"2YRyPiW98bpkARAS4B3OQP","Dei V",80,666695,"latin"
"1SupJlEpv7RS2tPNRaHViT","Nicky Jam",80,18500350,"latin"
"37230BxxYs9ksS7OkZw3IU","Chencho Corleone",79,855377,"latin"
"2nszmSgqreHSdJA3zWPyrW","Luis Miguel",82,15032489,"latin"
"12vb80Km0Ew53ABfJOepVz","Ñengo Flow",80,5740515,"latin"
"1pQWsZQehhS4wavwh7Fnxd","Lenny Tavárez",82,2654758,"latin"
"52iwsT98xCoGgiGntTiR7K","Quevedo",83,4259124,"latin"
"0GM7qgcRCORpGnfcN2tCiB","Tainy",78,2047734,"latin"
"1wZtkThiXbVNtj6hee6dz9","Wisin & Yandel",79,7099849,"latin"
"2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado",77,3778609,"latin"
"14zUHaJZo1mnYtn6IBRaRP","Justin Quiles",81,4464595,"latin"
"7qG3b048QCHVRO5Pv1T5lw","Enrique Iglesias",78,10836481,"latin"
"2jSGzJw0ebJLu7OLVSOcBP","Plan B",79,4083085,"latin"
"7j6DKwmjbxvpQO8h914uEz","Ryan Castro",79,2347183,"latin"
"28gNT5KBp7IjEOQoevXf9N","Camilo",79,18740654,"latin"
"3MHaV05u0io8fQbZ2XPtlC","Prince Royce",76,7694835,"latin"
"2cPqdH7XMvwaBJEVjheH8g","Jay Wheeler",77,3989710,"latin"
"07YUOmWljBTXwIseAUd9TW","Sebastian Yatra",80,22207606,"latin"
"0eHQ9o50hj6ZDNBt6Ys1sD","Yandel",78,7462452,"latin"
"7okwEbXzyT2VffBmyQBWLz","Maná",78,10643561,"latin"
"1TtXnWcUs0FCkaZDPGYHdf","Darell",77,4325391,"latin"
