"id","name","popularity","followers.total","genre"
"06HL4z0CvFAxyc27GXpf02","Taylor Swift",100,106886081,"pop"
"3TVXtAsR1Inumwj472S9r4","Drake",96,86309115,"pop"
"6vWDO969PvNqNYHIOW5v0m","Beyoncé",92,37035437,"pop"
"1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",95,81661361,"pop"
"66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",95,95696470,"pop"
"7tYKF4w9nC0nq9CsPZTHyP","SZA",91,18929417,"pop"
"1McMsnEElThX1knmY4oliG","Olivia Rodrigo",90,34773023,"pop"
"5pKCCKE2ajJHZ9KAiaK11H","Rihanna",91,59219453,"pop"
"00FQb4jTyendYWaN8pK0wa","Lana Del Rey",90,33847302,"pop"
"246dkjvS1zLTtiykXe5h60","Post Malone",88,43448254,"pop"
"55Aa2cqylxrFIXC767Z865","Lil Wayne",86,14338298,"pop"
"7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign",88,5165695,"pop"
"0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",87,30790951,"pop"
"5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",87,29367358,"pop"
"6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",89,93254094,"pop"
"0du5cEVh5yTK9QJze8zA0C","Bruno Mars",89,54326492,"pop"
"1uNFoZAHBGtllmzznpCI3s","Justin Bieber",89,74416416,"pop"
"2LRoIwlKmHjgvigdNGBHNo","Feid",91,10609891,"pop"
"1U1el3k54VvEUzo3ybLPlM","Kali Uchis",85,6899416,"pop"
"22wbnEMDvgVIAGdFeek6ET","Benson Boone",86,2102400,"pop"
"1mcTU81TzQhprhouKaTkpq","Rauw Alejandro",88,21181421,"pop"
"4Gso3d4CscCijv0lmajZWs","Don Toliver",83,4092995,"pop"
"6M2wZ9GZgrQXHCFfjv46we","Dua Lipa",88,42996119,"pop"
"45dkTj5sMRSjrmBSBeiHym","Tate McRae",85,5115515,"pop"
"3nFkdlSjzX9mRTtwJOzDYB","JAY-Z",84,8937282,"pop"
"5YGY8feqx7naU7z4HrwZM6","Miley Cyrus",86,23583748,"pop"
"4gzpq5DPGxSnKTe4SA8HAU","Coldplay",88,49786409,"pop"
"53XhwfbYqKCa1cC15pYq2q","Imagine Dragons",87,51925637,"pop"
"6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran",87,113687331,"pop"
"6LuN9FCkKOj5PcnpouEgny","Khalid",84,16067031,"pop"
"23zg3TcAtWQy7J6upgbUnj","USHER",83,11190351,"pop"
"31TPClRtHm23RisEBtV3X7","Justin Timberlake",83,13850276,"pop"
"1Cs0zKBU1kc0i8ypK3B9ai","David Guetta",88,25355466,"pop"
"6KImCVD70vtIoJWnq6nGn3","Harry Styles",85,31703904,"pop"
"0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",81,6941553,"pop"
"1HY2Jd0NmPuamShAr6KMms","Lady Gaga",85,29510310,"pop"
"0EmeFodog0BfCgMzAIvKQp","Shakira",87,32490207,"pop"
"7CajNmpbOovFoOoasH2HaY","Calvin Harris",86,22510416,"pop"
"04gDigrS5kc9YWfZHwBETP","Maroon 5",85,41202249,"pop"
"2LIk90788K0zvyj2JJVwkJ","Jack Harlow",83,3701744,"pop"
"1i8SpTcr7yvPOmcqrbnVXY","Ozuna",86,36430844,"pop"
"4kYSro6naA4h99UJvo89HB","Cardi B",81,23533410,"pop"
"64KEffDW9EtZ1y2vBYgq8T","Marshmello",84,33611343,"pop"
"77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood",83,15842932,"pop"
"0TnOYISbd1XYRBk9myaseg","Pitbull",84,10197373,"pop"
"3Nrfpe0tUJi4K4DXYWgMUX","BTS",87,72371808,"pop"
"2jku7tDXc6XoB6MO2hFuqg","Tory Lanez",81,6553531,"pop"
"1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex",83,10627917,"pop"
"6jJ0s89eD6GaHleKKya26X","Katy Perry",84,32471715,"pop"
"4DdkRBBYG6Yk9Ka8tdJ9BW","Offset",80,3867172,"pop"
