"id","name","popularity","followers.total","genre"
"3TVXtAsR1Inumwj472S9r4","Drake",96,86309115,"rap"
"1RyvyyTE3xzB2ZywiAwp0i","Future",93,16512389,"rap"
"5K4W6rqBFWDnAN6FQUkS6x","Kanye West",94,24762907,"rap"
"0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott",94,28481904,"rap"
"0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin",93,7622134,"rap"
"1URnnhqYAYcrqrcwql10ft","21 Savage",91,17977540,"rap"
"7tYKF4w9nC0nq9CsPZTHyP","SZA",91,18929417,"rap"
"2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar",90,27467888,"rap"
"6l3HvQ5sa6mXTsMTB19rO5","J. Cole",88,23185786,"rap"
"699OTQXzgjhIYAHMy9RyPD","Playboi Carti",89,10391867,"rap"
"1VPmR4DJC1PlOtd0IADAO0","$uicideboy$",85,6916479,"rap"
"4MCBfE4596Uoi2O4DtmEMz","Juice WRLD",87,33158155,"rap"
"7dGJo4pcD2V6oG8kP0tJRR","Eminem",90,82805059,"rap"
"5f7VJjfbwm532GiveGC0ZK","Lil Baby",86,17092039,"rap"
"246dkjvS1zLTtiykXe5h60","Post Malone",88,43448254,"rap"
"55Aa2cqylxrFIXC767Z865","Lil Wayne",86,14338298,"rap"
"7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign",88,5165695,"rap"
"0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",87,30790951,"rap"
"4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",85,14552238,"rap"
"4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert",84,16897058,"rap"
"7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again",82,12487597,"rap"
"3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz",84,5732144,"rap"
"15UsOTVnJzReFVN1VCnxy4","XXXTENTACION",86,44227867,"rap"
"3qiHUAX7zY4Qnjx8TNUzVx","Yeat",84,4576629,"rap"
"2hlmm7s2ICUX0LVIhVFlZQ","Gunna",84,6964890,"rap"
"7bXgB6jMjp9ATFy66eO08Z","Chris Brown",87,21293423,"rap"
"2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller",83,8212134,"rap"
"50co4Is1HCEo8bhOyUWKpn","Young Thug",84,9723756,"rap"
"4LLpKhyESsyAXpc4laK94U","Mac Miller",82,10226112,"rap"
"3hcs9uc56yIGFCSy9leWe7","Lil Durk",81,7298485,"rap"
"13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky",83,13749362,"rap"
"4Gso3d4CscCijv0lmajZWs","Don Toliver",83,4092995,"rap"
"6XyY86QOPPrYVGvF9ch6wz","Linkin Park",86,25042065,"rap"
"6Xgp2XMz1fhVYe7i6yNAax","Trippie Redd",82,9412648,"rap"
"3nFkdlSjzX9mRTtwJOzDYB","JAY-Z",84,8937282,"rap"
"46SHBwWsqBkxI7EeeBEQG7","Kodak Black",80,10352994,"rap"
"2kCcBybjl3SAtIcwdWpUe3","Lil Peep",83,11805982,"rap"
"6icQOAFXDZKsumw3YXyusw","Lil Yachty",80,9785524,"rap"
"45TgXXqMDdF8BkjA83OM7z","Rod Wave",78,6905913,"rap"
"23zg3TcAtWQy7J6upgbUnj","USHER",83,11190351,"rap"
"6AgTAQt8XS6jRWi4sX7w49","Polo G",81,11076626,"rap"
"4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca",81,7147944,"rap"
"19k8AgwwTSxeaxkOuCQEJs","Jelly Roll",78,3357958,"rap"
"0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",81,6941553,"rap"
"31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie",80,8061765,"rap"
"2LIk90788K0zvyj2JJVwkJ","Jack Harlow",83,3701744,"rap"
"4kYSro6naA4h99UJvo89HB","Cardi B",81,23533410,"rap"
"2jku7tDXc6XoB6MO2hFuqg","Tory Lanez",81,6553531,"rap"
"6Ghvu1VvMGScGpOUJBAHNH","Deftones",79,5248677,"rap"
"0RESbWvOMyua0yuyVrztJ5","Key Glock",77,1951766,"rap"
