"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.77,0.286,9,-14.02,1,0.122,0.513,0.774,0.548,0.678,75,"4OCx4bCttzYoEMGSJU63sp","https://api.spotify.com/v1/audio-analysis/4OCx4bCttzYoEMGSJU63sp",4,1,118400,FALSE,"https://api.spotify.com/v1/tracks/4OCx4bCttzYoEMGSJU63sp",FALSE,"keep ya head up - lofi","https://p.scdn.co/mp3-preview/48bf972402a2d63aa4bb4de9763c1aa053001ace?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:4OCx4bCttzYoEMGSJU63sp","https://open.spotify.com/track/4OCx4bCttzYoEMGSJU63sp","strictly, lofi","A","major","A major"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.797,0.244,7,-12.626,0,0.0449,0.723,0.865,0.0992,0.0846,129.971,"1xerYk8J34Hkl9V2lWXpoo","https://api.spotify.com/v1/audio-analysis/1xerYk8J34Hkl9V2lWXpoo",4,1,123230,FALSE,"https://api.spotify.com/v1/tracks/1xerYk8J34Hkl9V2lWXpoo",FALSE,"i get around - lofi","https://p.scdn.co/mp3-preview/cc393d7ffeac4f36d8f2e1ea99b11926d410196f?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:1xerYk8J34Hkl9V2lWXpoo","https://open.spotify.com/track/1xerYk8J34Hkl9V2lWXpoo","strictly, lofi","G","minor","G minor"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.709,0.0708,0,-15.458,1,0.0466,0.677,0.927,0.147,0.606,132.205,"5iMGs339CUgHrG4dIseJEA","https://api.spotify.com/v1/audio-analysis/5iMGs339CUgHrG4dIseJEA",4,1,123181,FALSE,"https://api.spotify.com/v1/tracks/5iMGs339CUgHrG4dIseJEA",FALSE,"holler if ya' hear me - lofi","https://p.scdn.co/mp3-preview/3e32ebf9c04d916e39d3bd00f01b968a865e1350?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:5iMGs339CUgHrG4dIseJEA","https://open.spotify.com/track/5iMGs339CUgHrG4dIseJEA","strictly, lofi","C","major","C major"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.857,0.34,6,-11.756,1,0.0793,0.456,0.862,0.313,0.425,136.098,"4eT2KEIDUEfsobIH5P0877","https://api.spotify.com/v1/audio-analysis/4eT2KEIDUEfsobIH5P0877",4,1,120882,FALSE,"https://api.spotify.com/v1/tracks/4eT2KEIDUEfsobIH5P0877",FALSE,"last wordz - lofi","https://p.scdn.co/mp3-preview/0cd6124064426ba81fcb1d9986c24b716922f9ba?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:4eT2KEIDUEfsobIH5P0877","https://open.spotify.com/track/4eT2KEIDUEfsobIH5P0877","strictly, lofi","F#","major","F# major"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.772,0.0806,7,-25.679,0,0.262,0.195,0.775,0.119,0.327,129.974,"0WWtQROcg6LmBKpWqhBUnl","https://api.spotify.com/v1/audio-analysis/0WWtQROcg6LmBKpWqhBUnl",4,1,121846,FALSE,"https://api.spotify.com/v1/tracks/0WWtQROcg6LmBKpWqhBUnl",FALSE,"strictly 4 my n.i.g.g.a.z... - lofi","https://p.scdn.co/mp3-preview/85f458c839359862e4964d8a750dbf1462123509?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:0WWtQROcg6LmBKpWqhBUnl","https://open.spotify.com/track/0WWtQROcg6LmBKpWqhBUnl","strictly, lofi","G","minor","G minor"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.865,0.294,0,-16.623,0,0.0553,0.16,0.828,0.0779,0.919,140.028,"7oXXMuOzIIwWk2oJorK2Sv","https://api.spotify.com/v1/audio-analysis/7oXXMuOzIIwWk2oJorK2Sv",4,1,113142,FALSE,"https://api.spotify.com/v1/tracks/7oXXMuOzIIwWk2oJorK2Sv",FALSE,"papa'z song - lofi","https://p.scdn.co/mp3-preview/5974b917a37138ec4e1a151a202b71fa1ceecb3a?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:7oXXMuOzIIwWk2oJorK2Sv","https://open.spotify.com/track/7oXXMuOzIIwWk2oJorK2Sv","strictly, lofi","C","minor","C minor"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.709,0.128,10,-24.74,0,0.0346,0.401,0.684,0.181,0.317,139.971,"0IXzSnV1afMv1sjyFKTgxX","https://api.spotify.com/v1/audio-analysis/0IXzSnV1afMv1sjyFKTgxX",4,1,137142,FALSE,"https://api.spotify.com/v1/tracks/0IXzSnV1afMv1sjyFKTgxX",FALSE,"the streetz r deathrow - lofi","https://p.scdn.co/mp3-preview/ef11e7aa0f90b309d5230f3184b370feaf7c1d78?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:0IXzSnV1afMv1sjyFKTgxX","https://open.spotify.com/track/0IXzSnV1afMv1sjyFKTgxX","strictly, lofi","A#","minor","A# minor"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.67,0.203,11,-15.952,1,0.032,0.586,0.913,0.101,0.216,129.999,"2UxmUSjLzetCbYjbsivCQ0","https://api.spotify.com/v1/audio-analysis/2UxmUSjLzetCbYjbsivCQ0",4,1,138461,FALSE,"https://api.spotify.com/v1/tracks/2UxmUSjLzetCbYjbsivCQ0",FALSE,"point the finga - lofi","https://p.scdn.co/mp3-preview/824fe22fe918b7134bd345d67ae527c0b75d13c1?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:2UxmUSjLzetCbYjbsivCQ0","https://open.spotify.com/track/2UxmUSjLzetCbYjbsivCQ0","strictly, lofi","B","major","B major"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.718,0.258,6,-12.982,1,0.0749,0.665,0.838,0.0994,0.828,131.956,"1dqJWbyxjiML0T9DCR3NWF","https://api.spotify.com/v1/audio-analysis/1dqJWbyxjiML0T9DCR3NWF",4,1,122727,FALSE,"https://api.spotify.com/v1/tracks/1dqJWbyxjiML0T9DCR3NWF",FALSE,"souljah's revenge - lofi","https://p.scdn.co/mp3-preview/5a0f4e3851bc6deff9670852c39501b27e2e7c28?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:1dqJWbyxjiML0T9DCR3NWF","https://open.spotify.com/track/1dqJWbyxjiML0T9DCR3NWF","strictly, lofi","F#","major","F# major"
"2Pac","1ZwdS5xdxEREPySFridCfh","4CaEU2qXjX4ETYsVzF0tdo","album","2023-09-29",2023,"day",0.428,0.24,0,-22.275,0,0.0367,0.947,0.873,0.198,0.373,99.855,"53eCPmL42JgePQAyWZRxlE","https://api.spotify.com/v1/audio-analysis/53eCPmL42JgePQAyWZRxlE",4,1,134400,FALSE,"https://api.spotify.com/v1/tracks/53eCPmL42JgePQAyWZRxlE",FALSE,"representin' 93 - lofi","https://p.scdn.co/mp3-preview/2dede49a98683928ed4106fda1f8ceca5c8b6d83?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:53eCPmL42JgePQAyWZRxlE","https://open.spotify.com/track/53eCPmL42JgePQAyWZRxlE","strictly, lofi","C","minor","C minor"
