"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.612,0.705,1,-5.898,1,0.352,0.427,0,0.658,0.533,101.876,"203xmWRHAyqwW6AkGkhhVM","https://api.spotify.com/v1/audio-analysis/203xmWRHAyqwW6AkGkhhVM",4,1,341040,TRUE,"https://api.spotify.com/v1/tracks/203xmWRHAyqwW6AkGkhhVM",FALSE,"The Space Program","https://p.scdn.co/mp3-preview/09a68dfb7536a333892d7339185319770b6110fe?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:203xmWRHAyqwW6AkGkhhVM","https://open.spotify.com/track/203xmWRHAyqwW6AkGkhhVM","We got it from Here... Thank You 4 Your service","C#","major","C# major"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.71,0.805,1,-5.471,1,0.0637,0.00909,0,0.141,0.897,92.601,"3wUX7HpXS382s1DHTRouVk","https://api.spotify.com/v1/audio-analysis/3wUX7HpXS382s1DHTRouVk",4,1,172013,TRUE,"https://api.spotify.com/v1/tracks/3wUX7HpXS382s1DHTRouVk",FALSE,"We The People....","https://p.scdn.co/mp3-preview/08bdae897139defc18631cd2e610ef224be6d379?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:3wUX7HpXS382s1DHTRouVk","https://open.spotify.com/track/3wUX7HpXS382s1DHTRouVk","We got it from Here... Thank You 4 Your service","C#","major","C# major"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.795,0.604,5,-6.124,0,0.331,0.253,1.13e-05,0.641,0.71,92.517,"3z40poMPmOkS6799tbXGKz","https://api.spotify.com/v1/audio-analysis/3z40poMPmOkS6799tbXGKz",4,1,172760,TRUE,"https://api.spotify.com/v1/tracks/3z40poMPmOkS6799tbXGKz",FALSE,"Whateva Will Be (feat. Consequence)","https://p.scdn.co/mp3-preview/ab458449b8376c6dbcd740f32fc9277cd8b1630d?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:3z40poMPmOkS6799tbXGKz","https://open.spotify.com/track/3z40poMPmOkS6799tbXGKz","We got it from Here... Thank You 4 Your service","F","minor","F minor"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.67,0.684,9,-6.053,0,0.401,0.311,0.000274,0.181,0.473,146.054,"5OzOQRssjhxaBj0xd78Z2w","https://api.spotify.com/v1/audio-analysis/5OzOQRssjhxaBj0xd78Z2w",4,1,223346,TRUE,"https://api.spotify.com/v1/tracks/5OzOQRssjhxaBj0xd78Z2w",FALSE,"Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John)","https://p.scdn.co/mp3-preview/d3b1878b0e8065d02cd446da64d19ba4897282c2?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:5OzOQRssjhxaBj0xd78Z2w","https://open.spotify.com/track/5OzOQRssjhxaBj0xd78Z2w","We got it from Here... Thank You 4 Your service","A","minor","A minor"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.739,0.79,2,-5.307,1,0.103,0.0674,0,0.352,0.652,96.055,"2Pp3QD3thPnk2kCxmu2MHK","https://api.spotify.com/v1/audio-analysis/2Pp3QD3thPnk2kCxmu2MHK",4,1,213373,TRUE,"https://api.spotify.com/v1/tracks/2Pp3QD3thPnk2kCxmu2MHK",FALSE,"Dis Generation (feat. Busta Rhymes)","https://p.scdn.co/mp3-preview/93d59adf49afbe7e203179a5d4384bca238a3cac?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:2Pp3QD3thPnk2kCxmu2MHK","https://open.spotify.com/track/2Pp3QD3thPnk2kCxmu2MHK","We got it from Here... Thank You 4 Your service","D","major","D major"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.837,0.521,1,-6.215,1,0.196,0.0206,0.000591,0.327,0.793,94.995,"3awU4bBZTmisGbeJJ4xb3c","https://api.spotify.com/v1/audio-analysis/3awU4bBZTmisGbeJJ4xb3c",4,1,228480,TRUE,"https://api.spotify.com/v1/tracks/3awU4bBZTmisGbeJJ4xb3c",FALSE,"Kids... (feat. Andre 3000)","https://p.scdn.co/mp3-preview/d97ceec6e181ff9603d1a65e3b21747374fb5637?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:3awU4bBZTmisGbeJJ4xb3c","https://open.spotify.com/track/3awU4bBZTmisGbeJJ4xb3c","We got it from Here... Thank You 4 Your service","C#","major","C# major"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.693,0.494,1,-8.801,1,0.143,0.291,0.055,0.101,0.418,94.254,"366xKgsZ8bFjIhG7JjfCkj","https://api.spotify.com/v1/audio-analysis/366xKgsZ8bFjIhG7JjfCkj",4,1,284693,TRUE,"https://api.spotify.com/v1/tracks/366xKgsZ8bFjIhG7JjfCkj",FALSE,"Melatonin (feat. Marsha Ambrosius & Yebba)","https://p.scdn.co/mp3-preview/ef9d3f2179454d915876aa0342e5b7fe71a07098?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:366xKgsZ8bFjIhG7JjfCkj","https://open.spotify.com/track/366xKgsZ8bFjIhG7JjfCkj","We got it from Here... Thank You 4 Your service","C#","major","C# major"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.676,0.57,2,-7.23,1,0.0652,0.251,0.000663,0.295,0.236,77.381,"1WvGWCDuj0dfRpuBuYecXp","https://api.spotify.com/v1/audio-analysis/1WvGWCDuj0dfRpuBuYecXp",4,1,200693,TRUE,"https://api.spotify.com/v1/tracks/1WvGWCDuj0dfRpuBuYecXp",FALSE,"Enough!!","https://p.scdn.co/mp3-preview/592a18ea85f8cb7ec438af32cf358a6daa69da3e?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:1WvGWCDuj0dfRpuBuYecXp","https://open.spotify.com/track/1WvGWCDuj0dfRpuBuYecXp","We got it from Here... Thank You 4 Your service","D","major","D major"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.751,0.754,7,-4.741,1,0.274,0.155,0.00479,0.111,0.383,92.207,"0Zo2Sc9OLyAql82M85GI4J","https://api.spotify.com/v1/audio-analysis/0Zo2Sc9OLyAql82M85GI4J",4,2,171706,TRUE,"https://api.spotify.com/v1/tracks/0Zo2Sc9OLyAql82M85GI4J",FALSE,"Mobius (feat. Busta Rhymes & Consequence)","https://p.scdn.co/mp3-preview/f9e17fa580fd3f8c38da1116ac54c230cd4de78b?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:0Zo2Sc9OLyAql82M85GI4J","https://open.spotify.com/track/0Zo2Sc9OLyAql82M85GI4J","We got it from Here... Thank You 4 Your service","G","major","G major"
"A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa","3WvQpufOsPzkZvcSuynCf3","album","2016-11-11",2016,"day",0.879,0.575,1,-6.175,1,0.281,0.0851,9.62e-06,0.55,0.588,95.008,"1qju0WsEHiDZoOBBDp8aAk","https://api.spotify.com/v1/audio-analysis/1qju0WsEHiDZoOBBDp8aAk",4,2,183586,TRUE,"https://api.spotify.com/v1/tracks/1qju0WsEHiDZoOBBDp8aAk",FALSE,"Black Spasmodic (feat. Consequence)","https://p.scdn.co/mp3-preview/31c749e6921d25285a9e27e6778dd15b086a4b62?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:1qju0WsEHiDZoOBBDp8aAk","https://open.spotify.com/track/1qju0WsEHiDZoOBBDp8aAk","We got it from Here... Thank You 4 Your service","C#","major","C# major"
