"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.696,0.553,1,-8.702,1,0.0759,0.097,3.91e-06,0.617,0.674,114.993,"4K09vJ27xCOreumtSuU6Ao","https://api.spotify.com/v1/audio-analysis/4K09vJ27xCOreumtSuU6Ao",4,1,63060,FALSE,"https://api.spotify.com/v1/tracks/4K09vJ27xCOreumtSuU6Ao",FALSE,"Silk Sonic Intro","https://p.scdn.co/mp3-preview/652eb965372f40afaa809389882a3ffc5a11a46b?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:4K09vJ27xCOreumtSuU6Ao","https://open.spotify.com/track/4K09vJ27xCOreumtSuU6Ao","An Evening With Silk Sonic","C#","major","C# major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,"4pryE6cN2gFL1FVF5fYINl","https://api.spotify.com/v1/audio-analysis/4pryE6cN2gFL1FVF5fYINl",4,1,242096,FALSE,"https://api.spotify.com/v1/tracks/4pryE6cN2gFL1FVF5fYINl",FALSE,"Leave The Door Open","https://p.scdn.co/mp3-preview/2f06384101ad1a5aa6b02f6fc24b59789c2ab54d?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:4pryE6cN2gFL1FVF5fYINl","https://open.spotify.com/track/4pryE6cN2gFL1FVF5fYINl","An Evening With Silk Sonic","F","major","F major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.783,0.627,2,-8.521,1,0.102,0.00756,0,0.0606,0.48,100.025,"7suB6D6uKX5DfPukdGaz0W","https://api.spotify.com/v1/audio-analysis/7suB6D6uKX5DfPukdGaz0W",4,1,219389,FALSE,"https://api.spotify.com/v1/tracks/7suB6D6uKX5DfPukdGaz0W",FALSE,"Fly As Me","https://p.scdn.co/mp3-preview/e4a561c3113a1cc27843ca644c35c8a9c87b90f1?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:7suB6D6uKX5DfPukdGaz0W","https://open.spotify.com/track/7suB6D6uKX5DfPukdGaz0W","An Evening With Silk Sonic","D","major","D major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.651,0.703,0,-8.958,0,0.0816,0.0297,0,0.0608,0.647,140.051,"6jGAh1bFnXt1Muj9zeHveZ","https://api.spotify.com/v1/audio-analysis/6jGAh1bFnXt1Muj9zeHveZ",4,1,249444,FALSE,"https://api.spotify.com/v1/tracks/6jGAh1bFnXt1Muj9zeHveZ",FALSE,"After Last Night (with Thundercat & Bootsy Collins)","https://p.scdn.co/mp3-preview/3e85cec2c59de46689a7ca0839342d97d3aef008?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:6jGAh1bFnXt1Muj9zeHveZ","https://open.spotify.com/track/6jGAh1bFnXt1Muj9zeHveZ","An Evening With Silk Sonic","C","minor","C minor"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,"1oERlssLrpssCAY6Yqqs6c","https://api.spotify.com/v1/audio-analysis/1oERlssLrpssCAY6Yqqs6c",4,1,197442,FALSE,"https://api.spotify.com/v1/tracks/1oERlssLrpssCAY6Yqqs6c",FALSE,"Smokin Out The Window","https://p.scdn.co/mp3-preview/03985ea0f5b53660c352773875ba5159533fe692?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:1oERlssLrpssCAY6Yqqs6c","https://open.spotify.com/track/1oERlssLrpssCAY6Yqqs6c","An Evening With Silk Sonic","D","major","D major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.548,0.627,9,-8.949,1,0.0409,0.0471,0,0.285,0.493,143.994,"5lka5RUbLVQGO94mKAPMRO","https://api.spotify.com/v1/audio-analysis/5lka5RUbLVQGO94mKAPMRO",4,1,255455,FALSE,"https://api.spotify.com/v1/tracks/5lka5RUbLVQGO94mKAPMRO",FALSE,"Put On A Smile","https://p.scdn.co/mp3-preview/c5f4c51baf9ea637bb589e6e847e4a38a727321b?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:5lka5RUbLVQGO94mKAPMRO","https://open.spotify.com/track/5lka5RUbLVQGO94mKAPMRO","An Evening With Silk Sonic","A","major","A major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.836,0.622,1,-11.003,1,0.0946,0.00269,0.000566,0.335,0.892,102.015,"2K6vUau7bnZUamjbRSOOvJ","https://api.spotify.com/v1/audio-analysis/2K6vUau7bnZUamjbRSOOvJ",4,1,165000,TRUE,"https://api.spotify.com/v1/tracks/2K6vUau7bnZUamjbRSOOvJ",FALSE,"777","https://p.scdn.co/mp3-preview/a7fd9492a8b2e25f1d924f0d913a964e9191fe34?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:2K6vUau7bnZUamjbRSOOvJ","https://open.spotify.com/track/2K6vUau7bnZUamjbRSOOvJ","An Evening With Silk Sonic","C#","major","C# major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,"3WTWh2WDk4j8GUCGj4xfOd","https://api.spotify.com/v1/audio-analysis/3WTWh2WDk4j8GUCGj4xfOd",4,1,203122,FALSE,"https://api.spotify.com/v1/tracks/3WTWh2WDk4j8GUCGj4xfOd",FALSE,"Skate","https://p.scdn.co/mp3-preview/3e93cbec6eb68471b1c027bd057175cdb7590dfc?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:3WTWh2WDk4j8GUCGj4xfOd","https://open.spotify.com/track/3WTWh2WDk4j8GUCGj4xfOd","An Evening With Silk Sonic","F","major","F major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981,"2ALh2jqA7KldpHMUHvRomw","https://api.spotify.com/v1/audio-analysis/2ALh2jqA7KldpHMUHvRomw",4,1,307014,FALSE,"https://api.spotify.com/v1/tracks/2ALh2jqA7KldpHMUHvRomw",FALSE,"Love's Train","https://p.scdn.co/mp3-preview/9078325a05c0fe6bb9e72089844273a7f376f330?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:2ALh2jqA7KldpHMUHvRomw","https://open.spotify.com/track/2ALh2jqA7KldpHMUHvRomw","An Evening With Silk Sonic","F#","minor","F# minor"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml","album","2021-11-12",2021,"day",0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,"2NqyjfDXy0XfXCSPXMsKzi","https://api.spotify.com/v1/audio-analysis/2NqyjfDXy0XfXCSPXMsKzi",4,1,284870,FALSE,"https://api.spotify.com/v1/tracks/2NqyjfDXy0XfXCSPXMsKzi",FALSE,"Blast Off","https://p.scdn.co/mp3-preview/90e7a0359ddec02e276a1d7ba5e41457eb7eb6ce?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:2NqyjfDXy0XfXCSPXMsKzi","https://open.spotify.com/track/2NqyjfDXy0XfXCSPXMsKzi","An Evening With Silk Sonic","B","major","B major"
