"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.691,0.948,5,-5.26,0,0.0422,0.000799,2.02e-05,0.278,0.933,119.982,"3xUXuTKPy1FBV8xYuS6Jx6","https://api.spotify.com/v1/audio-analysis/3xUXuTKPy1FBV8xYuS6Jx6",4,1,222056,FALSE,"https://api.spotify.com/v1/tracks/3xUXuTKPy1FBV8xYuS6Jx6",FALSE,"Always Something","https://p.scdn.co/mp3-preview/7c013d9cf4edbbd470dfb7dd9c78ac887959dd86?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:3xUXuTKPy1FBV8xYuS6Jx6","https://open.spotify.com/track/3xUXuTKPy1FBV8xYuS6Jx6","Thank You Happy Birthday (Expanded Edition)","F","minor","F minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.156,0.973,7,-3.617,1,0.109,0.00084,0.162,0.37,0.22,206,"5OB117LOnbrnKpW5azgk2x","https://api.spotify.com/v1/audio-analysis/5OB117LOnbrnKpW5azgk2x",4,1,192808,FALSE,"https://api.spotify.com/v1/tracks/5OB117LOnbrnKpW5azgk2x",FALSE,"Aberdeen","https://p.scdn.co/mp3-preview/e924b8357514228e6ebd571beab564661b8926a0?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:5OB117LOnbrnKpW5azgk2x","https://open.spotify.com/track/5OB117LOnbrnKpW5azgk2x","Thank You Happy Birthday (Expanded Edition)","G","major","G major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.195,0.952,5,-3.942,1,0.159,6.69e-06,0.00455,0.0717,0.0381,170,"1UiADKb6tkUWuwYizkDLk4","https://api.spotify.com/v1/audio-analysis/1UiADKb6tkUWuwYizkDLk4",4,1,302753,FALSE,"https://api.spotify.com/v1/tracks/1UiADKb6tkUWuwYizkDLk4",FALSE,"Indy Kidz","https://p.scdn.co/mp3-preview/a18c25d1c5219526952395272e956e0ab191d808?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:1UiADKb6tkUWuwYizkDLk4","https://open.spotify.com/track/1UiADKb6tkUWuwYizkDLk4","Thank You Happy Birthday (Expanded Edition)","F","major","F major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.461,0.619,9,-5.753,1,0.0291,0.00381,0.000422,0.0672,0.129,105.117,"7hYwqkFpamEIN4h8c1xfs7","https://api.spotify.com/v1/audio-analysis/7hYwqkFpamEIN4h8c1xfs7",4,1,211316,FALSE,"https://api.spotify.com/v1/tracks/7hYwqkFpamEIN4h8c1xfs7",FALSE,"Shake Me Down","https://p.scdn.co/mp3-preview/7cb80327f2be83f1272e0e77a2b04fe288c8a0fc?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:7hYwqkFpamEIN4h8c1xfs7","https://open.spotify.com/track/7hYwqkFpamEIN4h8c1xfs7","Thank You Happy Birthday (Expanded Edition)","A","major","A major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.236,0.984,10,-3.362,0,0.297,3.08e-05,0.0278,0.173,0.304,181.569,"1Qz5MB0x9mZflTG0JZfCMq","https://api.spotify.com/v1/audio-analysis/1Qz5MB0x9mZflTG0JZfCMq",4,1,190177,FALSE,"https://api.spotify.com/v1/tracks/1Qz5MB0x9mZflTG0JZfCMq",FALSE,"2024","https://p.scdn.co/mp3-preview/dad703788051bb546644afde0168abbf77da67b2?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:1Qz5MB0x9mZflTG0JZfCMq","https://open.spotify.com/track/1Qz5MB0x9mZflTG0JZfCMq","Thank You Happy Birthday (Expanded Edition)","A#","minor","A# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.354,0.996,0,-1.203,1,0.184,0.00122,5.09e-05,0.162,0.298,154.92,"14fZy2hdtvFvG3DN4cokUb","https://api.spotify.com/v1/audio-analysis/14fZy2hdtvFvG3DN4cokUb",4,1,131191,FALSE,"https://api.spotify.com/v1/tracks/14fZy2hdtvFvG3DN4cokUb",FALSE,"Sell Yourself","https://p.scdn.co/mp3-preview/cc4cc2ed8c172cb94fcc57a8629909ee2b5e0f08?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:14fZy2hdtvFvG3DN4cokUb","https://open.spotify.com/track/14fZy2hdtvFvG3DN4cokUb","Thank You Happy Birthday (Expanded Edition)","C","major","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.438,0.267,5,-15.666,1,0.0287,0.809,6.93e-06,0.0753,0.0703,81.987,"7mhnqMOXxypAmeZzec3u0Y","https://api.spotify.com/v1/audio-analysis/7mhnqMOXxypAmeZzec3u0Y",3,1,227849,FALSE,"https://api.spotify.com/v1/tracks/7mhnqMOXxypAmeZzec3u0Y",FALSE,"Rubber Ball","https://p.scdn.co/mp3-preview/ff561311b6b1a62d318b178906a26be359286d61?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:7mhnqMOXxypAmeZzec3u0Y","https://open.spotify.com/track/7mhnqMOXxypAmeZzec3u0Y","Thank You Happy Birthday (Expanded Edition)","F","major","F major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.488,0.897,1,-3.597,1,0.0367,0.000236,3.84e-05,0.122,0.329,132.013,"6hIRiWCr7fEYvoUnRxNb6f","https://api.spotify.com/v1/audio-analysis/6hIRiWCr7fEYvoUnRxNb6f",4,1,194827,FALSE,"https://api.spotify.com/v1/tracks/6hIRiWCr7fEYvoUnRxNb6f",FALSE,"Right Before My Eyes","https://p.scdn.co/mp3-preview/80b58b16419203cb151e301e578991f1255aeb17?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:6hIRiWCr7fEYvoUnRxNb6f","https://open.spotify.com/track/6hIRiWCr7fEYvoUnRxNb6f","Thank You Happy Birthday (Expanded Edition)","C#","major","C# major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.519,0.96,2,-2.518,1,0.057,0.000689,7.65e-06,0.0446,0.49,109.91,"7sX15m6vY6CLSVQQ7CgIFp","https://api.spotify.com/v1/audio-analysis/7sX15m6vY6CLSVQQ7CgIFp",4,1,191644,FALSE,"https://api.spotify.com/v1/tracks/7sX15m6vY6CLSVQQ7CgIFp",FALSE,"Around My Head","https://p.scdn.co/mp3-preview/81179f8ec3065c6e76160ffa9133cc9305d150ab?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:7sX15m6vY6CLSVQQ7CgIFp","https://open.spotify.com/track/7sX15m6vY6CLSVQQ7CgIFp","Thank You Happy Birthday (Expanded Edition)","D","major","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9","album","2023-11-17",2023,"day",0.19,0.98,9,-3.098,0,0.274,5e-05,0.847,0.0998,0.102,84.803,"0DKphd1MGFZseYToXpjnfk","https://api.spotify.com/v1/audio-analysis/0DKphd1MGFZseYToXpjnfk",4,1,171957,FALSE,"https://api.spotify.com/v1/tracks/0DKphd1MGFZseYToXpjnfk",FALSE,"Sabertooth Tiger","https://p.scdn.co/mp3-preview/77a322e99a6cf77ce0fbcbdaa7c87c641126b14a?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:0DKphd1MGFZseYToXpjnfk","https://open.spotify.com/track/0DKphd1MGFZseYToXpjnfk","Thank You Happy Birthday (Expanded Edition)","A","minor","A minor"
