"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.425,0.869,9,-9.539,1,0.122,0.0719,0.0798,0.987,0.817,119.977,"3sosK0lsJOvZSFi3OXxL0N","https://api.spotify.com/v1/audio-analysis/3sosK0lsJOvZSFi3OXxL0N",4,1,312662,FALSE,"https://api.spotify.com/v1/tracks/3sosK0lsJOvZSFi3OXxL0N",FALSE,"Born On The Bayou - At The Royal Albert Hall / London, UK / April 14, 1970",NA,1,"track","spotify:track:3sosK0lsJOvZSFi3OXxL0N","https://open.spotify.com/track/3sosK0lsJOvZSFi3OXxL0N","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","A","major","A major"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.576,0.878,4,-9.392,0,0.0363,0.0101,0.0435,0.78,0.902,142.287,"3pD1WEf6ljGVYSkiloDoti","https://api.spotify.com/v1/audio-analysis/3pD1WEf6ljGVYSkiloDoti",4,1,177279,FALSE,"https://api.spotify.com/v1/tracks/3pD1WEf6ljGVYSkiloDoti",FALSE,"Green River - At The Royal Albert Hall / London, UK / April 14, 1970",NA,2,"track","spotify:track:3pD1WEf6ljGVYSkiloDoti","https://open.spotify.com/track/3pD1WEf6ljGVYSkiloDoti","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","E","minor","E minor"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.569,0.888,0,-8.542,1,0.043,0.00317,0.124,0.918,0.96,115.36,"0KR9exvxntg47px7WCzkLO","https://api.spotify.com/v1/audio-analysis/0KR9exvxntg47px7WCzkLO",4,1,218550,FALSE,"https://api.spotify.com/v1/tracks/0KR9exvxntg47px7WCzkLO",FALSE,"Tombstone Shadow - At The Royal Albert Hall / London, UK / April 14, 1970",NA,3,"track","spotify:track:0KR9exvxntg47px7WCzkLO","https://open.spotify.com/track/0KR9exvxntg47px7WCzkLO","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","C","major","C major"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.449,0.967,6,-8.507,1,0.109,0.00939,0.0777,0.689,0.884,170.205,"0iPKqDZty6br9VILs9sawb","https://api.spotify.com/v1/audio-analysis/0iPKqDZty6br9VILs9sawb",4,1,130502,FALSE,"https://api.spotify.com/v1/tracks/0iPKqDZty6br9VILs9sawb",FALSE,"Travelin' Band - At The Royal Albert Hall / London, UK / April 14, 1970",NA,4,"track","spotify:track:0iPKqDZty6br9VILs9sawb","https://open.spotify.com/track/0iPKqDZty6br9VILs9sawb","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","F#","major","F# major"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.349,0.912,0,-8.221,1,0.0478,0.00153,0.0269,0.346,0.655,147.356,"4pa2MVIzM111QSg0i4yncf","https://api.spotify.com/v1/audio-analysis/4pa2MVIzM111QSg0i4yncf",4,1,135705,FALSE,"https://api.spotify.com/v1/tracks/4pa2MVIzM111QSg0i4yncf",FALSE,"Fortunate Son - At The Royal Albert Hall / London, UK / April 14, 1970",NA,5,"track","spotify:track:4pa2MVIzM111QSg0i4yncf","https://open.spotify.com/track/4pa2MVIzM111QSg0i4yncf","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","C","major","C major"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.595,0.934,2,-8.704,0,0.0778,0.0287,0.207,0.975,0.77,134.951,"1r4dlVqxQHFPI1OASbXlta","https://api.spotify.com/v1/audio-analysis/1r4dlVqxQHFPI1OASbXlta",4,1,164563,FALSE,"https://api.spotify.com/v1/tracks/1r4dlVqxQHFPI1OASbXlta",FALSE,"Commotion - At The Royal Albert Hall / London, UK / April 14, 1970",NA,6,"track","spotify:track:1r4dlVqxQHFPI1OASbXlta","https://open.spotify.com/track/1r4dlVqxQHFPI1OASbXlta","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","D","minor","D minor"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.587,0.808,7,-8.895,1,0.142,0.268,0.000475,0.726,0.68,126.7,"5p6NUyo1OnUdnWY2HUmRLR","https://api.spotify.com/v1/audio-analysis/5p6NUyo1OnUdnWY2HUmRLR",4,1,217929,FALSE,"https://api.spotify.com/v1/tracks/5p6NUyo1OnUdnWY2HUmRLR",FALSE,"Midnight Special - At The Royal Albert Hall / London, UK / April 14, 1970",NA,7,"track","spotify:track:5p6NUyo1OnUdnWY2HUmRLR","https://open.spotify.com/track/5p6NUyo1OnUdnWY2HUmRLR","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","G","major","G major"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.588,0.953,2,-7.818,1,0.0688,0.0268,0.000494,0.726,0.848,95.485,"4ggJhUZaDZ811kkGTEMzeH","https://api.spotify.com/v1/audio-analysis/4ggJhUZaDZ811kkGTEMzeH",4,1,139092,FALSE,"https://api.spotify.com/v1/tracks/4ggJhUZaDZ811kkGTEMzeH",FALSE,"Bad Moon Rising - At The Royal Albert Hall / London, UK / April 14, 1970",NA,8,"track","spotify:track:4ggJhUZaDZ811kkGTEMzeH","https://open.spotify.com/track/4ggJhUZaDZ811kkGTEMzeH","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","D","major","D major"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.58,0.948,2,-7.921,1,0.0348,0.0253,0.000402,0.531,0.694,127.712,"4Vnt8ffVhSmAklwaDLdja5","https://api.spotify.com/v1/audio-analysis/4Vnt8ffVhSmAklwaDLdja5",4,1,180981,FALSE,"https://api.spotify.com/v1/tracks/4Vnt8ffVhSmAklwaDLdja5",FALSE,"Proud Mary - At The Royal Albert Hall / London, UK / April 14, 1970",NA,9,"track","spotify:track:4Vnt8ffVhSmAklwaDLdja5","https://open.spotify.com/track/4Vnt8ffVhSmAklwaDLdja5","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","D","major","D major"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","0UBcJ9u1Clc6B1ioE5WAUI","album","2022-09-16",2022,"day",0.141,0.92,4,-6.791,1,0.0808,0.00828,0.000344,0.876,0.672,218.395,"4ZrVQWopmCbIDMBFQGQC6n","https://api.spotify.com/v1/audio-analysis/4ZrVQWopmCbIDMBFQGQC6n",3,1,191348,FALSE,"https://api.spotify.com/v1/tracks/4ZrVQWopmCbIDMBFQGQC6n",FALSE,"The Night Time Is The Right Time - At The Royal Albert Hall / London, UK / April 14, 1970",NA,10,"track","spotify:track:4ZrVQWopmCbIDMBFQGQC6n","https://open.spotify.com/track/4ZrVQWopmCbIDMBFQGQC6n","At The Royal Albert Hall (At The Royal Albert Hall / London, UK / April 14, 1970)","E","major","E major"
