"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.551,0.973,4,-5.207,0,0.0599,0.0808,0,0.454,0.755,110.785,"2GyQ9J5tDyOUPDuXyaNdEt","https://api.spotify.com/v1/audio-analysis/2GyQ9J5tDyOUPDuXyaNdEt",4,1,304506,FALSE,"https://api.spotify.com/v1/tracks/2GyQ9J5tDyOUPDuXyaNdEt",FALSE,"Romeo Is Bleeding","https://p.scdn.co/mp3-preview/48a44e954337ff7566393d1d2e368da17494ad87?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:2GyQ9J5tDyOUPDuXyaNdEt","https://open.spotify.com/track/2GyQ9J5tDyOUPDuXyaNdEt","Marigold Sky","E","minor","E minor"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.607,0.728,7,-8.652,1,0.0266,0.244,3.39e-05,0.122,0.618,136.159,"5WpVdKUvwJzsDsAUc49RQg","https://api.spotify.com/v1/audio-analysis/5WpVdKUvwJzsDsAUc49RQg",4,1,300266,FALSE,"https://api.spotify.com/v1/tracks/5WpVdKUvwJzsDsAUc49RQg",FALSE,"Marigold Sky","https://p.scdn.co/mp3-preview/462345a3583ce088bdfff141d1cbc3c8cf0acb7f?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:5WpVdKUvwJzsDsAUc49RQg","https://open.spotify.com/track/5WpVdKUvwJzsDsAUc49RQg","Marigold Sky","G","major","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.625,0.613,7,-6.445,1,0.0265,0.29,0,0.221,0.603,96.075,"0n0SVp1Dculz8LxO8DmOXV","https://api.spotify.com/v1/audio-analysis/0n0SVp1Dculz8LxO8DmOXV",4,1,282520,FALSE,"https://api.spotify.com/v1/tracks/0n0SVp1Dculz8LxO8DmOXV",FALSE,"The Sky Is Falling","https://p.scdn.co/mp3-preview/791a83f9b052488deb16f5fd88662296073f7586?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:0n0SVp1Dculz8LxO8DmOXV","https://open.spotify.com/track/0n0SVp1Dculz8LxO8DmOXV","Marigold Sky","G","major","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.447,0.663,2,-8.814,1,0.0392,0.0981,2.09e-06,0.0991,0.73,188.455,"50Wx5sJyl1062CB4dXm6BR","https://api.spotify.com/v1/audio-analysis/50Wx5sJyl1062CB4dXm6BR",4,1,263026,FALSE,"https://api.spotify.com/v1/tracks/50Wx5sJyl1062CB4dXm6BR",FALSE,"Out of the Blue","https://p.scdn.co/mp3-preview/4df849a50abd0c9fe51d46b1a18937f1b983c2f8?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:50Wx5sJyl1062CB4dXm6BR","https://open.spotify.com/track/50Wx5sJyl1062CB4dXm6BR","Marigold Sky","D","major","D major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.649,0.817,7,-7.432,1,0.0542,0.278,0.00257,0.0933,0.862,168.138,"5wfP3uL5XFTvrXPAiTr5Tz","https://api.spotify.com/v1/audio-analysis/5wfP3uL5XFTvrXPAiTr5Tz",4,1,293173,FALSE,"https://api.spotify.com/v1/tracks/5wfP3uL5XFTvrXPAiTr5Tz",FALSE,"Want To","https://p.scdn.co/mp3-preview/93da0b04154c7c390417254364cac7371f9cb81c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:5wfP3uL5XFTvrXPAiTr5Tz","https://open.spotify.com/track/5wfP3uL5XFTvrXPAiTr5Tz","Marigold Sky","G","major","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.636,0.842,7,-7.538,1,0.032,0.238,0.000358,0.159,0.87,116.143,"4xYAZ1UaeqAzyvSgnXacCh","https://api.spotify.com/v1/audio-analysis/4xYAZ1UaeqAzyvSgnXacCh",4,1,236906,FALSE,"https://api.spotify.com/v1/tracks/4xYAZ1UaeqAzyvSgnXacCh",FALSE,"Love out Loud","https://p.scdn.co/mp3-preview/d4f55c705df379a4b3d2a3b0cc49d8a6523f3aaa?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:4xYAZ1UaeqAzyvSgnXacCh","https://open.spotify.com/track/4xYAZ1UaeqAzyvSgnXacCh","Marigold Sky","G","major","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.58,0.49,2,-6.506,1,0.0269,0.413,0,0.0756,0.343,141.777,"52vEVaNgIUlNFAvdUqf6Pv","https://api.spotify.com/v1/audio-analysis/52vEVaNgIUlNFAvdUqf6Pv",3,1,340933,FALSE,"https://api.spotify.com/v1/tracks/52vEVaNgIUlNFAvdUqf6Pv",FALSE,"Throw the Roses Away","https://p.scdn.co/mp3-preview/669d5bbad6564b585c7649c6441d917082782b9d?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:52vEVaNgIUlNFAvdUqf6Pv","https://open.spotify.com/track/52vEVaNgIUlNFAvdUqf6Pv","Marigold Sky","D","major","D major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.661,0.472,9,-9.302,1,0.0435,0.709,0.00216,0.115,0.601,174.239,"4UCwMoiGNHNkjQwqt6m4Rp","https://api.spotify.com/v1/audio-analysis/4UCwMoiGNHNkjQwqt6m4Rp",4,1,244693,FALSE,"https://api.spotify.com/v1/tracks/4UCwMoiGNHNkjQwqt6m4Rp",FALSE,"I Don't Think So","https://p.scdn.co/mp3-preview/fba41fb3dc1930d25f5105018148322e29f286c5?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:4UCwMoiGNHNkjQwqt6m4Rp","https://open.spotify.com/track/4UCwMoiGNHNkjQwqt6m4Rp","Marigold Sky","A","major","A major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.754,0.532,9,-6.843,1,0.0282,0.409,0,0.0698,0.292,82.012,"4sQMDMxdZ92yghOUlm8wYF","https://api.spotify.com/v1/audio-analysis/4sQMDMxdZ92yghOUlm8wYF",4,1,348546,FALSE,"https://api.spotify.com/v1/tracks/4sQMDMxdZ92yghOUlm8wYF",FALSE,"Promise Ain't Enough","https://p.scdn.co/mp3-preview/a6e35390ec48917f5f1668d47801ec782da819ad?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:4sQMDMxdZ92yghOUlm8wYF","https://open.spotify.com/track/4sQMDMxdZ92yghOUlm8wYF","Marigold Sky","A","major","A major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J","album","2022-03-25",2022,"day",0.547,0.696,2,-8.301,1,0.0752,0.272,0,0.0489,0.961,168.188,"0zWN8HFC0j7TnThIEh0yeC","https://api.spotify.com/v1/audio-analysis/0zWN8HFC0j7TnThIEh0yeC",4,1,312453,FALSE,"https://api.spotify.com/v1/tracks/0zWN8HFC0j7TnThIEh0yeC",FALSE,"Time Won't Pass Me By","https://p.scdn.co/mp3-preview/21257a46e99c4f76317e34f1b5a6e07c66cd865a?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:0zWN8HFC0j7TnThIEh0yeC","https://open.spotify.com/track/0zWN8HFC0j7TnThIEh0yeC","Marigold Sky","D","major","D major"
