"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.445,0.914,5,-4.349,0,0.0804,0.0185,0,0.337,0.686,174.075,"7xTYNwHB8sdzTrP7KFkj6x","https://api.spotify.com/v1/audio-analysis/7xTYNwHB8sdzTrP7KFkj6x",4,1,196493,FALSE,"https://api.spotify.com/v1/tracks/7xTYNwHB8sdzTrP7KFkj6x",FALSE,"Same Ol' Me",NA,1,"track","spotify:track:7xTYNwHB8sdzTrP7KFkj6x","https://open.spotify.com/track/7xTYNwHB8sdzTrP7KFkj6x","Gravel & Gold","F","minor","F minor"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.506,0.84,11,-5.381,1,0.0546,0.353,0,0.19,0.591,86.095,"78kfYtJjdCnucE2iV8TsPd","https://api.spotify.com/v1/audio-analysis/78kfYtJjdCnucE2iV8TsPd",4,1,182893,FALSE,"https://api.spotify.com/v1/tracks/78kfYtJjdCnucE2iV8TsPd",FALSE,"Sun Sets In Colorado",NA,2,"track","spotify:track:78kfYtJjdCnucE2iV8TsPd","https://open.spotify.com/track/78kfYtJjdCnucE2iV8TsPd","Gravel & Gold","B","major","B major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.586,0.786,7,-4.893,1,0.0252,0.0923,0,0.293,0.493,96.01,"0zxCaaOvyVbgAMXly1drca","https://api.spotify.com/v1/audio-analysis/0zxCaaOvyVbgAMXly1drca",4,1,223213,FALSE,"https://api.spotify.com/v1/tracks/0zxCaaOvyVbgAMXly1drca",FALSE,"Heartbreak Drinking Tour",NA,3,"track","spotify:track:0zxCaaOvyVbgAMXly1drca","https://open.spotify.com/track/0zxCaaOvyVbgAMXly1drca","Gravel & Gold","G","major","G major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.578,0.876,11,-4.683,1,0.0617,0.00258,2.05e-06,0.105,0.51,118.026,"5GcziNdXVXWJKK5pNOwCcG","https://api.spotify.com/v1/audio-analysis/5GcziNdXVXWJKK5pNOwCcG",4,1,237093,FALSE,"https://api.spotify.com/v1/tracks/5GcziNdXVXWJKK5pNOwCcG",FALSE,"Something Real",NA,4,"track","spotify:track:5GcziNdXVXWJKK5pNOwCcG","https://open.spotify.com/track/5GcziNdXVXWJKK5pNOwCcG","Gravel & Gold","B","major","B major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.568,0.509,11,-9.712,1,0.0413,0.752,2.4e-05,0.0952,0.432,143.672,"759iAd8J8GFlficNallyFW","https://api.spotify.com/v1/audio-analysis/759iAd8J8GFlficNallyFW",4,1,193973,FALSE,"https://api.spotify.com/v1/tracks/759iAd8J8GFlficNallyFW",FALSE,"Still",NA,5,"track","spotify:track:759iAd8J8GFlficNallyFW","https://open.spotify.com/track/759iAd8J8GFlficNallyFW","Gravel & Gold","B","major","B major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.398,0.884,9,-4.325,1,0.0672,0.0547,0,0.392,0.337,149.905,"4cCGPnsYszXUXyYngJgW4t","https://api.spotify.com/v1/audio-analysis/4cCGPnsYszXUXyYngJgW4t",4,1,190373,FALSE,"https://api.spotify.com/v1/tracks/4cCGPnsYszXUXyYngJgW4t",FALSE,"Beer At My Funeral",NA,6,"track","spotify:track:4cCGPnsYszXUXyYngJgW4t","https://open.spotify.com/track/4cCGPnsYszXUXyYngJgW4t","Gravel & Gold","A","major","A major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.405,0.648,9,-4.791,1,0.0286,0.304,2.31e-06,0.321,0.385,170.015,"4s7MvKDLyphSTTaBDPkZtk","https://api.spotify.com/v1/audio-analysis/4s7MvKDLyphSTTaBDPkZtk",4,1,273857,FALSE,"https://api.spotify.com/v1/tracks/4s7MvKDLyphSTTaBDPkZtk",FALSE,"Cowboy Boots",NA,7,"track","spotify:track:4s7MvKDLyphSTTaBDPkZtk","https://open.spotify.com/track/4s7MvKDLyphSTTaBDPkZtk","Gravel & Gold","A","major","A major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.678,0.871,1,-4.286,1,0.0282,0.0498,0,0.174,0.948,115.005,"3gte1LJ5qq2XN2IOKo2lJC","https://api.spotify.com/v1/audio-analysis/3gte1LJ5qq2XN2IOKo2lJC",4,1,167760,FALSE,"https://api.spotify.com/v1/tracks/3gte1LJ5qq2XN2IOKo2lJC",FALSE,"Gold",NA,8,"track","spotify:track:3gte1LJ5qq2XN2IOKo2lJC","https://open.spotify.com/track/3gte1LJ5qq2XN2IOKo2lJC","Gravel & Gold","C#","major","C# major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.481,0.751,11,-5.611,1,0.0389,0.149,1.2e-06,0.261,0.508,80.001,"7Jbd2TWvjvJgBwaFbqJ06n","https://api.spotify.com/v1/audio-analysis/7Jbd2TWvjvJgBwaFbqJ06n",4,1,225533,FALSE,"https://api.spotify.com/v1/tracks/7Jbd2TWvjvJgBwaFbqJ06n",FALSE,"Walking Each Other Home",NA,9,"track","spotify:track:7Jbd2TWvjvJgBwaFbqJ06n","https://open.spotify.com/track/7Jbd2TWvjvJgBwaFbqJ06n","Gravel & Gold","B","major","B major"
"Dierks Bentley","7x8nK0m0cP2ksQf0mjWdPS","2atbiuUu1Xm0jLmObSynT4","album","2023-02-24",2023,"day",0.474,0.857,2,-5.573,1,0.0336,0.0259,0,0.121,0.629,158.127,"13WBVJN07vyO06fV0PdnJf","https://api.spotify.com/v1/audio-analysis/13WBVJN07vyO06fV0PdnJf",4,1,186840,FALSE,"https://api.spotify.com/v1/tracks/13WBVJN07vyO06fV0PdnJf",FALSE,"Roll On",NA,10,"track","spotify:track:13WBVJN07vyO06fV0PdnJf","https://open.spotify.com/track/13WBVJN07vyO06fV0PdnJf","Gravel & Gold","D","major","D major"
