"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.696,0.555,11,-7.035,1,0.0353,0.0603,0,0.175,0.577,104.989,"5ncjUUHk43IjYXZCsQxcBw","https://api.spotify.com/v1/audio-analysis/5ncjUUHk43IjYXZCsQxcBw",4,1,191626,FALSE,"https://api.spotify.com/v1/tracks/5ncjUUHk43IjYXZCsQxcBw",FALSE,"This Town's Been Too Good To Us","https://p.scdn.co/mp3-preview/7e5a544cb1b2a035891956d09be63a5be0ff8b1c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:5ncjUUHk43IjYXZCsQxcBw","https://open.spotify.com/track/5ncjUUHk43IjYXZCsQxcBw","Livin' My Best Life (Still)","B","major","B major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.489,0.755,6,-4.471,1,0.045,0.0124,0,0.28,0.384,113.05,"61SRKyox0R9jCzci4JXKBS","https://api.spotify.com/v1/audio-analysis/61SRKyox0R9jCzci4JXKBS",4,1,153906,FALSE,"https://api.spotify.com/v1/tracks/61SRKyox0R9jCzci4JXKBS",FALSE,"What He'll Never Have","https://p.scdn.co/mp3-preview/e3b09ec7729a9b19beddd60377ca655a85b333c4?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:61SRKyox0R9jCzci4JXKBS","https://open.spotify.com/track/61SRKyox0R9jCzci4JXKBS","Livin' My Best Life (Still)","F#","major","F# major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.479,0.926,10,-2.014,1,0.0495,0.0686,0,0.0983,0.564,140.154,"0NSJgcdqcKcqyshrnPZinq","https://api.spotify.com/v1/audio-analysis/0NSJgcdqcKcqyshrnPZinq",4,1,165835,FALSE,"https://api.spotify.com/v1/tracks/0NSJgcdqcKcqyshrnPZinq",FALSE,"Boys Back Home","https://p.scdn.co/mp3-preview/2d1a65d87d194757e85e3c611b51e305d2a15e53?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:0NSJgcdqcKcqyshrnPZinq","https://open.spotify.com/track/0NSJgcdqcKcqyshrnPZinq","Livin' My Best Life (Still)","A#","major","A# major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.605,0.839,6,-5.093,1,0.0586,0.0553,0,0.317,0.616,129.93,"18YUeCaST4B5bAtVJnPQgb","https://api.spotify.com/v1/audio-analysis/18YUeCaST4B5bAtVJnPQgb",4,1,145133,FALSE,"https://api.spotify.com/v1/tracks/18YUeCaST4B5bAtVJnPQgb",FALSE,"Me And My Kind","https://p.scdn.co/mp3-preview/0003138986c8819bd69b1e7da662675d4d798ae8?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:18YUeCaST4B5bAtVJnPQgb","https://open.spotify.com/track/18YUeCaST4B5bAtVJnPQgb","Livin' My Best Life (Still)","F#","major","F# major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.574,0.725,4,-5.913,1,0.039,0.0797,0,0.174,0.668,153.056,"6X0yHzxpHJfGKdrZvfdRlQ","https://api.spotify.com/v1/audio-analysis/6X0yHzxpHJfGKdrZvfdRlQ",4,1,197946,FALSE,"https://api.spotify.com/v1/tracks/6X0yHzxpHJfGKdrZvfdRlQ",FALSE,"I'll Be A Bartender","https://p.scdn.co/mp3-preview/11505db0d28c100d0e0ae3f8b2a1853f124bc6a8?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:6X0yHzxpHJfGKdrZvfdRlQ","https://open.spotify.com/track/6X0yHzxpHJfGKdrZvfdRlQ","Livin' My Best Life (Still)","E","major","E major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.555,0.891,9,-4.002,1,0.052,0.0299,0,0.0597,0.5,115.042,"0wKQweMxUOcVsVQtZpbxxF","https://api.spotify.com/v1/audio-analysis/0wKQweMxUOcVsVQtZpbxxF",4,1,174360,FALSE,"https://api.spotify.com/v1/tracks/0wKQweMxUOcVsVQtZpbxxF",FALSE,"What I'd Want Mine To Say","https://p.scdn.co/mp3-preview/41e2087b035ed32506f98d1760e896db274204ed?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:0wKQweMxUOcVsVQtZpbxxF","https://open.spotify.com/track/0wKQweMxUOcVsVQtZpbxxF","Livin' My Best Life (Still)","A","major","A major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.5,0.799,2,-4.832,1,0.0643,0.113,0,0.118,0.317,87.957,"7uIbzSznmxXtjQ76k17THO","https://api.spotify.com/v1/audio-analysis/7uIbzSznmxXtjQ76k17THO",4,1,178666,FALSE,"https://api.spotify.com/v1/tracks/7uIbzSznmxXtjQ76k17THO",FALSE,"Heartbeat Of America","https://p.scdn.co/mp3-preview/c3d6beb7fc3d6201eb7a5c05e98553c75d7c80e7?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:7uIbzSznmxXtjQ76k17THO","https://open.spotify.com/track/7uIbzSznmxXtjQ76k17THO","Livin' My Best Life (Still)","D","major","D major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.462,0.722,4,-5.471,1,0.0377,0.28,0,0.168,0.476,73.068,"2LsC9sse7Ld8c7Jqu3ovuv","https://api.spotify.com/v1/audio-analysis/2LsC9sse7Ld8c7Jqu3ovuv",4,1,186426,FALSE,"https://api.spotify.com/v1/tracks/2LsC9sse7Ld8c7Jqu3ovuv",FALSE,"Getting Out Alive","https://p.scdn.co/mp3-preview/61b3b5e103d12ce5c4adaeaea91f0ebc4d866deb?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:2LsC9sse7Ld8c7Jqu3ovuv","https://open.spotify.com/track/2LsC9sse7Ld8c7Jqu3ovuv","Livin' My Best Life (Still)","E","major","E major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.53,0.755,1,-5.865,1,0.125,0.224,0,0.0986,0.517,96.865,"1YW3EE94zn8HjaUaSnBCuX","https://api.spotify.com/v1/audio-analysis/1YW3EE94zn8HjaUaSnBCuX",4,1,174360,FALSE,"https://api.spotify.com/v1/tracks/1YW3EE94zn8HjaUaSnBCuX",FALSE,"New Truck","https://p.scdn.co/mp3-preview/1f4803c12694258f98b286f00297f833231f5e79?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:1YW3EE94zn8HjaUaSnBCuX","https://open.spotify.com/track/1YW3EE94zn8HjaUaSnBCuX","Livin' My Best Life (Still)","C#","major","C# major"
"Dylan Scott","78YqeIji3mgAS2K1Maca6x","3B38AH4XMqDiI9W2Yd6mDT","album","2024-03-29",2024,"day",0.569,0.862,6,-5.182,1,0.0457,0.0468,0,0.146,0.552,107.991,"4NG9oF1SiWrk9YwIRn8L6a","https://api.spotify.com/v1/audio-analysis/4NG9oF1SiWrk9YwIRn8L6a",4,1,172973,FALSE,"https://api.spotify.com/v1/tracks/4NG9oF1SiWrk9YwIRn8L6a",FALSE,"Amen To That","https://p.scdn.co/mp3-preview/7ec6960c8a687217aff3bc02bbbdbf575c0e334b?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:4NG9oF1SiWrk9YwIRn8L6a","https://open.spotify.com/track/4NG9oF1SiWrk9YwIRn8L6a","Livin' My Best Life (Still)","F#","major","F# major"
