"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.668,0.219,3,-11.398,1,0.0697,0.888,0,0.152,0.592,140.413,"6bWBLntFViKFJ487Ek2cRb","https://api.spotify.com/v1/audio-analysis/6bWBLntFViKFJ487Ek2cRb",4,1,148896,FALSE,"https://api.spotify.com/v1/tracks/6bWBLntFViKFJ487Ek2cRb",FALSE,"It's A Lovely Day Today",NA,1,"track","spotify:track:6bWBLntFViKFJ487Ek2cRb","https://open.spotify.com/track/6bWBLntFViKFJ487Ek2cRb","Great Women Of Song: Ella Fitzgerald","D#","major","D# major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.511,0.165,9,-13.49,0,0.0833,0.92,0,0.166,0.337,77.144,"4BCt8DERKdEObyMbP29vMR","https://api.spotify.com/v1/audio-analysis/4BCt8DERKdEObyMbP29vMR",4,1,187131,FALSE,"https://api.spotify.com/v1/tracks/4BCt8DERKdEObyMbP29vMR",FALSE,"Dream A Little Dream Of Me",NA,2,"track","spotify:track:4BCt8DERKdEObyMbP29vMR","https://open.spotify.com/track/4BCt8DERKdEObyMbP29vMR","Great Women Of Song: Ella Fitzgerald","A","minor","A minor"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.768,0.133,10,-13.384,1,0.0421,0.984,0,0.133,0.473,114.16,"4kdYeWsbN8lepiupcQzddJ","https://api.spotify.com/v1/audio-analysis/4kdYeWsbN8lepiupcQzddJ",4,1,162184,FALSE,"https://api.spotify.com/v1/tracks/4kdYeWsbN8lepiupcQzddJ",FALSE,"It's Only A Paper Moon",NA,3,"track","spotify:track:4kdYeWsbN8lepiupcQzddJ","https://open.spotify.com/track/4kdYeWsbN8lepiupcQzddJ","Great Women Of Song: Ella Fitzgerald","A#","major","A# major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.371,0.0721,4,-15.5,0,0.0329,0.99,1.77e-06,0.12,0.22,98.636,"48oxaR5CKoqBm8fjxaSl0w","https://api.spotify.com/v1/audio-analysis/48oxaR5CKoqBm8fjxaSl0w",4,1,196435,FALSE,"https://api.spotify.com/v1/tracks/48oxaR5CKoqBm8fjxaSl0w",FALSE,"Someone To Watch Over Me",NA,4,"track","spotify:track:48oxaR5CKoqBm8fjxaSl0w","https://open.spotify.com/track/48oxaR5CKoqBm8fjxaSl0w","Great Women Of Song: Ella Fitzgerald","E","minor","E minor"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.439,0.146,0,-12.897,0,0.0319,0.691,0,0.201,0.332,103.465,"02qizNQQ0UsmoYZgjscwnr","https://api.spotify.com/v1/audio-analysis/02qizNQQ0UsmoYZgjscwnr",4,1,142567,FALSE,"https://api.spotify.com/v1/tracks/02qizNQQ0UsmoYZgjscwnr",FALSE,"You Do Something To Me",NA,5,"track","spotify:track:02qizNQQ0UsmoYZgjscwnr","https://open.spotify.com/track/02qizNQQ0UsmoYZgjscwnr","Great Women Of Song: Ella Fitzgerald","C","minor","C minor"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.247,0.132,8,-19.6,1,0.0394,0.888,1.82e-06,0.1,0.239,77.497,"4Iu01ztjRHQPuHVS4pA0D0","https://api.spotify.com/v1/audio-analysis/4Iu01ztjRHQPuHVS4pA0D0",4,1,182656,FALSE,"https://api.spotify.com/v1/tracks/4Iu01ztjRHQPuHVS4pA0D0",FALSE,"Isn't It Romantic?",NA,6,"track","spotify:track:4Iu01ztjRHQPuHVS4pA0D0","https://open.spotify.com/track/4Iu01ztjRHQPuHVS4pA0D0","Great Women Of Song: Ella Fitzgerald","G#","major","G# major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.321,0.06,11,-18.896,1,0.0414,0.994,0.0164,0.133,0.202,81.709,"0eQrFxorPFvnaek7zJJIZH","https://api.spotify.com/v1/audio-analysis/0eQrFxorPFvnaek7zJJIZH",3,1,174990,FALSE,"https://api.spotify.com/v1/tracks/0eQrFxorPFvnaek7zJJIZH",FALSE,"Misty",NA,7,"track","spotify:track:0eQrFxorPFvnaek7zJJIZH","https://open.spotify.com/track/0eQrFxorPFvnaek7zJJIZH","Great Women Of Song: Ella Fitzgerald","B","major","B major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.456,0.282,7,-10.569,1,0.0983,0.848,0,0.0816,0.652,158.663,"3b10BlmMUl656P13QouoVJ","https://api.spotify.com/v1/audio-analysis/3b10BlmMUl656P13QouoVJ",4,1,225926,FALSE,"https://api.spotify.com/v1/tracks/3b10BlmMUl656P13QouoVJ",FALSE,"Blue Skies",NA,8,"track","spotify:track:3b10BlmMUl656P13QouoVJ","https://open.spotify.com/track/3b10BlmMUl656P13QouoVJ","Great Women Of Song: Ella Fitzgerald","G","major","G major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.658,0.31,0,-13.924,1,0.11,0.745,0,0.211,0.662,122.064,"7q89gg136U8yMyT2fS0yws","https://api.spotify.com/v1/audio-analysis/7q89gg136U8yMyT2fS0yws",4,1,352668,FALSE,"https://api.spotify.com/v1/tracks/7q89gg136U8yMyT2fS0yws",FALSE,"Cheek To Cheek",NA,9,"track","spotify:track:7q89gg136U8yMyT2fS0yws","https://open.spotify.com/track/7q89gg136U8yMyT2fS0yws","Great Women Of Song: Ella Fitzgerald","C","major","C major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.402,0.0913,9,-15.049,1,0.0412,0.986,0,0.123,0.293,82.302,"2Zayo4m30IRveXaR3PdGxN","https://api.spotify.com/v1/audio-analysis/2Zayo4m30IRveXaR3PdGxN",3,1,196133,FALSE,"https://api.spotify.com/v1/tracks/2Zayo4m30IRveXaR3PdGxN",FALSE,"I've Got A Crush On You",NA,10,"track","spotify:track:2Zayo4m30IRveXaR3PdGxN","https://open.spotify.com/track/2Zayo4m30IRveXaR3PdGxN","Great Women Of Song: Ella Fitzgerald","A","major","A major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.475,0.132,1,-17.404,1,0.0397,0.945,0.000317,0.125,0.318,110.778,"2l54ei5kbLF8z740r82j6l","https://api.spotify.com/v1/audio-analysis/2l54ei5kbLF8z740r82j6l",4,1,199847,FALSE,"https://api.spotify.com/v1/tracks/2l54ei5kbLF8z740r82j6l",FALSE,"All The Things You Are",NA,11,"track","spotify:track:2l54ei5kbLF8z740r82j6l","https://open.spotify.com/track/2l54ei5kbLF8z740r82j6l","Great Women Of Song: Ella Fitzgerald","C#","major","C# major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.415,0.069,5,-20.013,1,0.039,0.971,0,0.104,0.288,71.254,"2jIJnS1ztY92TfzbQOpAtm","https://api.spotify.com/v1/audio-analysis/2jIJnS1ztY92TfzbQOpAtm",4,1,423485,FALSE,"https://api.spotify.com/v1/tracks/2jIJnS1ztY92TfzbQOpAtm",FALSE,"Bewitched, Bothered, And Bewildered",NA,12,"track","spotify:track:2jIJnS1ztY92TfzbQOpAtm","https://open.spotify.com/track/2jIJnS1ztY92TfzbQOpAtm","Great Women Of Song: Ella Fitzgerald","F","major","F major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","2fDwYbysxOOrKE8hxkqrEJ","album","2024-03-08",2024,"day",0.568,0.195,0,-11.98,0,0.0552,0.694,0,0.21,0.745,146.377,"1GKo4V375NSyjJvCQM0f6P","https://api.spotify.com/v1/audio-analysis/1GKo4V375NSyjJvCQM0f6P",4,1,138383,FALSE,"https://api.spotify.com/v1/tracks/1GKo4V375NSyjJvCQM0f6P",FALSE,"Puttin' On The Ritz",NA,13,"track","spotify:track:1GKo4V375NSyjJvCQM0f6P","https://open.spotify.com/track/1GKo4V375NSyjJvCQM0f6P","Great Women Of Song: Ella Fitzgerald","C","minor","C minor"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","0Q0yQnx00oQL3cG04IwGAl","album","2024-02-25",2024,"day",0.315,0.0498,8,-15.95,1,0.0334,0.977,0,0.0978,0.168,95.721,"0TIiq3TUc9VuI43EfMWHqU","https://api.spotify.com/v1/audio-analysis/0TIiq3TUc9VuI43EfMWHqU",4,1,223000,FALSE,"https://api.spotify.com/v1/tracks/0TIiq3TUc9VuI43EfMWHqU",FALSE,"I Got A Guy",NA,1,"track","spotify:track:0TIiq3TUc9VuI43EfMWHqU","https://open.spotify.com/track/0TIiq3TUc9VuI43EfMWHqU","Ella For Lovers (Deluxe Edition)","G#","major","G# major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","0Q0yQnx00oQL3cG04IwGAl","album","2024-02-25",2024,"day",0.287,0.0439,0,-20.349,1,0.0368,0.993,0.00121,0.137,0.115,95.685,"2E534GBaF9hXqMpbQvt4iP","https://api.spotify.com/v1/audio-analysis/2E534GBaF9hXqMpbQvt4iP",3,1,169133,FALSE,"https://api.spotify.com/v1/tracks/2E534GBaF9hXqMpbQvt4iP",FALSE,"I Hadn't Anyone Till You",NA,2,"track","spotify:track:2E534GBaF9hXqMpbQvt4iP","https://open.spotify.com/track/2E534GBaF9hXqMpbQvt4iP","Ella For Lovers (Deluxe Edition)","C","major","C major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","0Q0yQnx00oQL3cG04IwGAl","album","2024-02-25",2024,"day",0.398,0.105,8,-12.549,1,0.0316,0.988,1.6e-06,0.12,0.191,110.887,"1UgtGY6XIxZHHAR4B2qPLF","https://api.spotify.com/v1/audio-analysis/1UgtGY6XIxZHHAR4B2qPLF",4,1,212960,FALSE,"https://api.spotify.com/v1/tracks/1UgtGY6XIxZHHAR4B2qPLF",FALSE,"Please Be Kind",NA,3,"track","spotify:track:1UgtGY6XIxZHHAR4B2qPLF","https://open.spotify.com/track/1UgtGY6XIxZHHAR4B2qPLF","Ella For Lovers (Deluxe Edition)","G#","major","G# major"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","0Q0yQnx00oQL3cG04IwGAl","album","2024-02-25",2024,"day",0.299,0.175,1,-14.204,0,0.0378,0.974,1.53e-06,0.105,0.256,171.239,"37oeao54sj6yaOyM43y4Tc","https://api.spotify.com/v1/audio-analysis/37oeao54sj6yaOyM43y4Tc",4,1,197666,FALSE,"https://api.spotify.com/v1/tracks/37oeao54sj6yaOyM43y4Tc",FALSE,"How Long Has This Been Going On?",NA,4,"track","spotify:track:37oeao54sj6yaOyM43y4Tc","https://open.spotify.com/track/37oeao54sj6yaOyM43y4Tc","Ella For Lovers (Deluxe Edition)","C#","minor","C# minor"
