"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.823,0.882,3,-3.516,0,0.0561,0.685,1.65e-06,0.108,0.962,128.041,"33ggWc1Nai6fcNb2qM4lJ7","https://api.spotify.com/v1/audio-analysis/33ggWc1Nai6fcNb2qM4lJ7",4,1,172095,FALSE,"https://api.spotify.com/v1/tracks/33ggWc1Nai6fcNb2qM4lJ7",FALSE,"ASI ES LA VIDA","https://p.scdn.co/mp3-preview/955966e096ccc0f9cae38c20883bdf0e8bd3dbac?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:33ggWc1Nai6fcNb2qM4lJ7","https://open.spotify.com/track/33ggWc1Nai6fcNb2qM4lJ7","FINAL (Vol.2)","D#","minor","D# minor"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.864,0.846,11,-3.243,1,0.134,0.144,0,0.157,0.898,106.974,"6xqUS04bCAYzUF0ralMUgc","https://api.spotify.com/v1/audio-analysis/6xqUS04bCAYzUF0ralMUgc",4,1,176606,FALSE,"https://api.spotify.com/v1/tracks/6xqUS04bCAYzUF0ralMUgc",FALSE,"Fría","https://p.scdn.co/mp3-preview/a8c7d0a5bcd59d851b9b6d1cde456a6098a18f71?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:6xqUS04bCAYzUF0ralMUgc","https://open.spotify.com/track/6xqUS04bCAYzUF0ralMUgc","FINAL (Vol.2)","B","major","B major"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.599,0.488,5,-6.373,1,0.0248,0.296,7.13e-06,0.0975,0.202,105.929,"140VTZ2BNpnR5sLbSpw5Dh","https://api.spotify.com/v1/audio-analysis/140VTZ2BNpnR5sLbSpw5Dh",4,1,178849,FALSE,"https://api.spotify.com/v1/tracks/140VTZ2BNpnR5sLbSpw5Dh",FALSE,"Space in My Heart","https://p.scdn.co/mp3-preview/5b68da7d6e2b0a69196bceedd8b56829e788b569?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:140VTZ2BNpnR5sLbSpw5Dh","https://open.spotify.com/track/140VTZ2BNpnR5sLbSpw5Dh","FINAL (Vol.2)","F","major","F major"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.665,0.824,9,-3.499,1,0.132,0.0271,0,0.307,0.545,126.98,"5zkZazxkRze7ub2fT8Xv8u","https://api.spotify.com/v1/audio-analysis/5zkZazxkRze7ub2fT8Xv8u",4,1,186366,FALSE,"https://api.spotify.com/v1/tracks/5zkZazxkRze7ub2fT8Xv8u",FALSE,"La Botella","https://p.scdn.co/mp3-preview/43f334c021b80660b2ba628183218c4108677555?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:5zkZazxkRze7ub2fT8Xv8u","https://open.spotify.com/track/5zkZazxkRze7ub2fT8Xv8u","FINAL (Vol.2)","A","major","A major"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.77,0.862,11,-5.389,0,0.0641,0.102,5.06e-05,0.104,0.631,128,"41NurYm4JBHtMRNRouSGaV","https://api.spotify.com/v1/audio-analysis/41NurYm4JBHtMRNRouSGaV",4,1,197412,TRUE,"https://api.spotify.com/v1/tracks/41NurYm4JBHtMRNRouSGaV",FALSE,"Love and Pain","https://p.scdn.co/mp3-preview/d418b6b12fcd176da3e9a32f2ca3c220eeaf020b?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:41NurYm4JBHtMRNRouSGaV","https://open.spotify.com/track/41NurYm4JBHtMRNRouSGaV","FINAL (Vol.2)","B","minor","B minor"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.796,0.78,7,-5.169,1,0.0451,0.327,0.000152,0.205,0.855,134.016,"4whXahq4SMZQM1f6z5t8lg","https://api.spotify.com/v1/audio-analysis/4whXahq4SMZQM1f6z5t8lg",4,1,192983,FALSE,"https://api.spotify.com/v1/tracks/4whXahq4SMZQM1f6z5t8lg",FALSE,"Me Voy Acostumbrando","https://p.scdn.co/mp3-preview/f92340972e2be307171b254e481cdb4fab3f8328?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:4whXahq4SMZQM1f6z5t8lg","https://open.spotify.com/track/4whXahq4SMZQM1f6z5t8lg","FINAL (Vol.2)","G","major","G major"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.668,0.794,0,-4.238,0,0.0429,0.0119,6.93e-06,0.32,0.427,102.943,"5kQzvJSDOMMbyoW2YaIiLU","https://api.spotify.com/v1/audio-analysis/5kQzvJSDOMMbyoW2YaIiLU",4,1,175535,FALSE,"https://api.spotify.com/v1/tracks/5kQzvJSDOMMbyoW2YaIiLU",FALSE,"Como Yo","https://p.scdn.co/mp3-preview/e84cadc825ed9200e428c2253529492058ce5365?cid=7a1d4f939a1f4e9989be940adaeb2999",7,"track","spotify:track:5kQzvJSDOMMbyoW2YaIiLU","https://open.spotify.com/track/5kQzvJSDOMMbyoW2YaIiLU","FINAL (Vol.2)","C","minor","C minor"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.557,0.854,9,-4.739,1,0.0437,0.139,2.5e-06,0.156,0.961,157.961,"3LmvPdmYvNEe9D7BTsonsX","https://api.spotify.com/v1/audio-analysis/3LmvPdmYvNEe9D7BTsonsX",4,1,164649,FALSE,"https://api.spotify.com/v1/tracks/3LmvPdmYvNEe9D7BTsonsX",FALSE,"Llórame Un Río","https://p.scdn.co/mp3-preview/0786dc293176b225fb98e952cc159d96f5558806?cid=7a1d4f939a1f4e9989be940adaeb2999",8,"track","spotify:track:3LmvPdmYvNEe9D7BTsonsX","https://open.spotify.com/track/3LmvPdmYvNEe9D7BTsonsX","FINAL (Vol.2)","A","major","A major"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.683,0.673,7,-4.499,1,0.0348,0.219,0.000379,0.113,0.376,138.022,"7lzjwNjWzct4KiG8LOsNnc","https://api.spotify.com/v1/audio-analysis/7lzjwNjWzct4KiG8LOsNnc",4,1,200417,FALSE,"https://api.spotify.com/v1/tracks/7lzjwNjWzct4KiG8LOsNnc",FALSE,"Be Together","https://p.scdn.co/mp3-preview/4eb80d61f7a64da6b9ae83ab1078be458c1cb788?cid=7a1d4f939a1f4e9989be940adaeb2999",9,"track","spotify:track:7lzjwNjWzct4KiG8LOsNnc","https://open.spotify.com/track/7lzjwNjWzct4KiG8LOsNnc","FINAL (Vol.2)","G","major","G major"
"Enrique Iglesias","7qG3b048QCHVRO5Pv1T5lw","5LHd4piJoHcz4CXhjsFKxx","album","2024-03-29",2024,"day",0.644,0.511,5,-6.6,1,0.0282,0.687,0.000141,0.0983,0.291,105.848,"3STeVMkI2wUomHxbbEOpFB","https://api.spotify.com/v1/audio-analysis/3STeVMkI2wUomHxbbEOpFB",4,1,178849,FALSE,"https://api.spotify.com/v1/tracks/3STeVMkI2wUomHxbbEOpFB",FALSE,"Espacio en Tu Corazón","https://p.scdn.co/mp3-preview/9907b435ad9c3f91b257c8697d5f19f399bfb004?cid=7a1d4f939a1f4e9989be940adaeb2999",10,"track","spotify:track:3STeVMkI2wUomHxbbEOpFB","https://open.spotify.com/track/3STeVMkI2wUomHxbbEOpFB","FINAL (Vol.2)","F","major","F major"
