"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.401,0.988,2,-3.308,1,0.0916,0.00498,0,0.4,0.514,169.007,"4yfJXAokD3j8HXoYASBfPX","https://api.spotify.com/v1/audio-analysis/4yfJXAokD3j8HXoYASBfPX",4,1,195293,FALSE,"https://api.spotify.com/v1/tracks/4yfJXAokD3j8HXoYASBfPX",FALSE,"Same Direction",NA,1,"track","spotify:track:4yfJXAokD3j8HXoYASBfPX","https://open.spotify.com/track/4yfJXAokD3j8HXoYASBfPX","The Reason (20th Anniversary)","D","major","D major"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.443,0.973,4,-4.386,0,0.133,0.00158,0,0.353,0.458,157.882,"166u1Cs46FmXoOaTGxh8aB","https://api.spotify.com/v1/audio-analysis/166u1Cs46FmXoOaTGxh8aB",4,1,162106,FALSE,"https://api.spotify.com/v1/tracks/166u1Cs46FmXoOaTGxh8aB",FALSE,"Out Of Control",NA,2,"track","spotify:track:166u1Cs46FmXoOaTGxh8aB","https://open.spotify.com/track/166u1Cs46FmXoOaTGxh8aB","The Reason (20th Anniversary)","E","minor","E minor"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.578,0.876,2,-5.501,0,0.043,0.0112,0.00146,0.122,0.574,92.484,"3U7eDMHIbBmgudJmaYgzMN","https://api.spotify.com/v1/audio-analysis/3U7eDMHIbBmgudJmaYgzMN",4,1,240066,FALSE,"https://api.spotify.com/v1/tracks/3U7eDMHIbBmgudJmaYgzMN",FALSE,"What Happened To Us?",NA,3,"track","spotify:track:3U7eDMHIbBmgudJmaYgzMN","https://open.spotify.com/track/3U7eDMHIbBmgudJmaYgzMN","The Reason (20th Anniversary)","D","minor","D minor"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.509,0.941,7,-4.711,0,0.0788,0.000445,2.87e-06,0.117,0.352,127.022,"3i2qDhXPHbtosrTsaoi57m","https://api.spotify.com/v1/audio-analysis/3i2qDhXPHbtosrTsaoi57m",4,1,224722,FALSE,"https://api.spotify.com/v1/tracks/3i2qDhXPHbtosrTsaoi57m",FALSE,"Escape",NA,4,"track","spotify:track:3i2qDhXPHbtosrTsaoi57m","https://open.spotify.com/track/3i2qDhXPHbtosrTsaoi57m","The Reason (20th Anniversary)","G","minor","G minor"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.424,0.988,1,-4.291,0,0.183,0.00759,0,0.369,0.254,169.99,"5rf1USDFzsAAKkLHPbEea0","https://api.spotify.com/v1/audio-analysis/5rf1USDFzsAAKkLHPbEea0",4,1,199600,FALSE,"https://api.spotify.com/v1/tracks/5rf1USDFzsAAKkLHPbEea0",FALSE,"Just One",NA,5,"track","spotify:track:5rf1USDFzsAAKkLHPbEea0","https://open.spotify.com/track/5rf1USDFzsAAKkLHPbEea0","The Reason (20th Anniversary)","C#","minor","C# minor"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.348,0.922,6,-3.461,1,0.0567,9.41e-05,0,0.107,0.348,194.089,"6vMSuFrR4oHRG5Z8KOHSmT","https://api.spotify.com/v1/audio-analysis/6vMSuFrR4oHRG5Z8KOHSmT",4,1,179920,FALSE,"https://api.spotify.com/v1/tracks/6vMSuFrR4oHRG5Z8KOHSmT",FALSE,"Lucky",NA,6,"track","spotify:track:6vMSuFrR4oHRG5Z8KOHSmT","https://open.spotify.com/track/6vMSuFrR4oHRG5Z8KOHSmT","The Reason (20th Anniversary)","F#","major","F# major"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.484,0.927,9,-3.595,1,0.0727,0.00176,0,0.156,0.491,164.943,"7t2n5OuaumvRNMQf8qNmwn","https://api.spotify.com/v1/audio-analysis/7t2n5OuaumvRNMQf8qNmwn",3,1,183720,FALSE,"https://api.spotify.com/v1/tracks/7t2n5OuaumvRNMQf8qNmwn",FALSE,"From The Heart",NA,7,"track","spotify:track:7t2n5OuaumvRNMQf8qNmwn","https://open.spotify.com/track/7t2n5OuaumvRNMQf8qNmwn","The Reason (20th Anniversary)","A","major","A major"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.474,0.671,4,-4.649,1,0.0289,0.0129,0,0.159,0.0682,82.94,"5B5eTk7DF8KVp1zpQoY1XY","https://api.spotify.com/v1/audio-analysis/5B5eTk7DF8KVp1zpQoY1XY",4,1,232800,FALSE,"https://api.spotify.com/v1/tracks/5B5eTk7DF8KVp1zpQoY1XY",FALSE,"The Reason",NA,8,"track","spotify:track:5B5eTk7DF8KVp1zpQoY1XY","https://open.spotify.com/track/5B5eTk7DF8KVp1zpQoY1XY","The Reason (20th Anniversary)","E","major","E major"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.452,0.972,6,-3.401,1,0.117,0.0327,0,0.276,0.482,140.023,"6mzOcLeJAgzszTUcaoXo5v","https://api.spotify.com/v1/audio-analysis/6mzOcLeJAgzszTUcaoXo5v",4,1,198226,FALSE,"https://api.spotify.com/v1/tracks/6mzOcLeJAgzszTUcaoXo5v",FALSE,"Let It Out",NA,9,"track","spotify:track:6mzOcLeJAgzszTUcaoXo5v","https://open.spotify.com/track/6mzOcLeJAgzszTUcaoXo5v","The Reason (20th Anniversary)","F#","major","F# major"
"Hoobastank","2MqhkhX4npxDZ62ObR5ELO","3pCVjmRGVZ2mYuJN2R1wi8","album","2024-01-12",2024,"day",0.485,0.861,9,-4.354,0,0.0351,0.0227,0,0.0808,0.254,85.049,"30H6lrMJkWtPvmsWCAj6HM","https://api.spotify.com/v1/audio-analysis/30H6lrMJkWtPvmsWCAj6HM",4,1,213626,FALSE,"https://api.spotify.com/v1/tracks/30H6lrMJkWtPvmsWCAj6HM",FALSE,"Unaffected",NA,10,"track","spotify:track:30H6lrMJkWtPvmsWCAj6HM","https://open.spotify.com/track/30H6lrMJkWtPvmsWCAj6HM","The Reason (20th Anniversary)","A","minor","A minor"
