"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.807,0.681,1,-5.612,1,0.345,0.507,0,0.283,0.571,98.173,"2OZfJcpzSFApBxUA0gXuJz","https://api.spotify.com/v1/audio-analysis/2OZfJcpzSFApBxUA0gXuJz",4,1,100424,TRUE,"https://api.spotify.com/v1/tracks/2OZfJcpzSFApBxUA0gXuJz",FALSE,"Common Ground","https://p.scdn.co/mp3-preview/10ea64b7bb83d22d93e806ab5033d8b88a0c51f6?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:2OZfJcpzSFApBxUA0gXuJz","https://open.spotify.com/track/2OZfJcpzSFApBxUA0gXuJz","Jackman.","C#","major","C# major"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.536,0.814,1,-5.407,1,0.306,0.0388,0,0.142,0.851,96.7,"2dSKFFNoNXKo3hPnlwUdPe","https://api.spotify.com/v1/audio-analysis/2dSKFFNoNXKo3hPnlwUdPe",4,1,113292,TRUE,"https://api.spotify.com/v1/tracks/2dSKFFNoNXKo3hPnlwUdPe",FALSE,"They Don't Love It","https://p.scdn.co/mp3-preview/60c206e875a3adf313155b70d2e856fbdef6b2e3?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:2dSKFFNoNXKo3hPnlwUdPe","https://open.spotify.com/track/2dSKFFNoNXKo3hPnlwUdPe","Jackman.","C#","major","C# major"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.545,0.767,7,-6.148,0,0.129,0.11,0,0.227,0.491,98.786,"0pytLWYHCQdheIWB2Ay5Dk","https://api.spotify.com/v1/audio-analysis/0pytLWYHCQdheIWB2Ay5Dk",4,1,172609,TRUE,"https://api.spotify.com/v1/tracks/0pytLWYHCQdheIWB2Ay5Dk",FALSE,"Ambitious","https://p.scdn.co/mp3-preview/44127a392f769fb7b8bf47f1b1163293cd9ac1ff?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:0pytLWYHCQdheIWB2Ay5Dk","https://open.spotify.com/track/0pytLWYHCQdheIWB2Ay5Dk","Jackman.","G","minor","G minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.752,0.764,6,-4.402,0,0.331,0.693,0,0.103,0.744,102.008,"78aELoNP2X3DC3rjHEVLPy","https://api.spotify.com/v1/audio-analysis/78aELoNP2X3DC3rjHEVLPy",4,1,118796,TRUE,"https://api.spotify.com/v1/tracks/78aELoNP2X3DC3rjHEVLPy",FALSE,"Is That Ight?","https://p.scdn.co/mp3-preview/c065a4e966bc0567bfb9c2e0cbe0f6aab4912127?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:78aELoNP2X3DC3rjHEVLPy","https://open.spotify.com/track/78aELoNP2X3DC3rjHEVLPy","Jackman.","F#","minor","F# minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.596,0.584,11,-6.585,0,0.332,0.489,0,0.115,0.238,85.65,"6fMM4VMig1pSp0Pd1paP0N","https://api.spotify.com/v1/audio-analysis/6fMM4VMig1pSp0Pd1paP0N",4,1,169514,TRUE,"https://api.spotify.com/v1/tracks/6fMM4VMig1pSp0Pd1paP0N",FALSE,"Gang Gang Gang","https://p.scdn.co/mp3-preview/abea338440f8dfaf76947a80ca1e469e5040242c?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:6fMM4VMig1pSp0Pd1paP0N","https://open.spotify.com/track/6fMM4VMig1pSp0Pd1paP0N","Jackman.","B","minor","B minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.711,0.775,3,-7.078,1,0.0773,0.268,0,0.0622,0.919,175.016,"5r30gHLxvhp60XMc5TIIMh","https://api.spotify.com/v1/audio-analysis/5r30gHLxvhp60XMc5TIIMh",4,1,158237,TRUE,"https://api.spotify.com/v1/tracks/5r30gHLxvhp60XMc5TIIMh",FALSE,"Denver","https://p.scdn.co/mp3-preview/8e76cf1648e47d27e3057473f63b3c0278ef85f2?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:5r30gHLxvhp60XMc5TIIMh","https://open.spotify.com/track/5r30gHLxvhp60XMc5TIIMh","Jackman.","D#","major","D# major"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.671,0.653,11,-6.464,0,0.153,0.489,0,0.174,0.396,156.021,"2nK3bNHjO0IAMarcoN27UK","https://api.spotify.com/v1/audio-analysis/2nK3bNHjO0IAMarcoN27UK",4,1,99960,FALSE,"https://api.spotify.com/v1/tracks/2nK3bNHjO0IAMarcoN27UK",FALSE,"No Enhancers","https://p.scdn.co/mp3-preview/63b6e6a12f4f68b44ec664c801a4d0dce937ab90?cid=7a1d4f939a1f4e9989be940adaeb2999",7,"track","spotify:track:2nK3bNHjO0IAMarcoN27UK","https://open.spotify.com/track/2nK3bNHjO0IAMarcoN27UK","Jackman.","B","minor","B minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.789,0.706,8,-5.568,1,0.069,0.012,0,0.0982,0.396,116.833,"2lW1lJSLatkcHxwDdCiSTB","https://api.spotify.com/v1/audio-analysis/2lW1lJSLatkcHxwDdCiSTB",4,1,139416,FALSE,"https://api.spotify.com/v1/tracks/2lW1lJSLatkcHxwDdCiSTB",FALSE,"It Can't Be","https://p.scdn.co/mp3-preview/967c6f9d79ee4ebf845c395597cb5a14dec1fd11?cid=7a1d4f939a1f4e9989be940adaeb2999",8,"track","spotify:track:2lW1lJSLatkcHxwDdCiSTB","https://open.spotify.com/track/2lW1lJSLatkcHxwDdCiSTB","Jackman.","G#","major","G# major"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.805,0.387,5,-8.724,0,0.512,0.437,1.67e-06,0.115,0.435,95.988,"5w7IRpQTMNA2EuWrHDmClX","https://api.spotify.com/v1/audio-analysis/5w7IRpQTMNA2EuWrHDmClX",4,1,241848,FALSE,"https://api.spotify.com/v1/tracks/5w7IRpQTMNA2EuWrHDmClX",FALSE,"Blame On Me","https://p.scdn.co/mp3-preview/4147043e29f977e30a0cccefa1f372980b314dea?cid=7a1d4f939a1f4e9989be940adaeb2999",9,"track","spotify:track:5w7IRpQTMNA2EuWrHDmClX","https://open.spotify.com/track/5w7IRpQTMNA2EuWrHDmClX","Jackman.","F","minor","F minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","1ep4OEfNOhvcY85STfEtKy","album","2023-04-28",2023,"day",0.58,0.678,4,-5.078,0,0.36,0.0407,0,0.12,0.349,86.592,"1vB79KSHk7mAMufH8AHniQ","https://api.spotify.com/v1/audio-analysis/1vB79KSHk7mAMufH8AHniQ",4,1,134387,FALSE,"https://api.spotify.com/v1/tracks/1vB79KSHk7mAMufH8AHniQ",FALSE,"Questions","https://p.scdn.co/mp3-preview/add00848210ff2ce74c423d9404acb6627d28814?cid=7a1d4f939a1f4e9989be940adaeb2999",10,"track","spotify:track:1vB79KSHk7mAMufH8AHniQ","https://open.spotify.com/track/1vB79KSHk7mAMufH8AHniQ","Jackman.","E","minor","E minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","2eE8BVirX9VF8Di9hD90iw","album","2022-05-06",2022,"day",0.577,0.448,1,-9.215,1,0.189,0.395,0,0.61,0.543,137.694,"6DKTGEAjKuUIdY57v7zMpC","https://api.spotify.com/v1/audio-analysis/6DKTGEAjKuUIdY57v7zMpC",4,1,82927,FALSE,"https://api.spotify.com/v1/tracks/6DKTGEAjKuUIdY57v7zMpC",FALSE,"Talk Of The Town","https://p.scdn.co/mp3-preview/29e4e77d15031d51aaf7be69275c667a9db7499c?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:6DKTGEAjKuUIdY57v7zMpC","https://open.spotify.com/track/6DKTGEAjKuUIdY57v7zMpC","Come Home The Kids Miss You","C#","major","C# major"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","2eE8BVirX9VF8Di9hD90iw","album","2022-05-06",2022,"day",0.841,0.566,4,-5.501,0,0.289,0.00882,0,0.0635,0.269,95.941,"4CuZSJLlmUrEfcXUm6pQk9","https://api.spotify.com/v1/audio-analysis/4CuZSJLlmUrEfcXUm6pQk9",4,1,224841,TRUE,"https://api.spotify.com/v1/tracks/4CuZSJLlmUrEfcXUm6pQk9",FALSE,"Young Harleezy","https://p.scdn.co/mp3-preview/78a30d7e7c67fdb331a23e0450c79700506ac459?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:4CuZSJLlmUrEfcXUm6pQk9","https://open.spotify.com/track/4CuZSJLlmUrEfcXUm6pQk9","Come Home The Kids Miss You","E","minor","E minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","2eE8BVirX9VF8Di9hD90iw","album","2022-05-06",2022,"day",0.832,0.522,2,-7.244,1,0.05,0.012,0.079,0.377,0.253,150.044,"7Bot6AB2dsvZEyqzUL8AUH","https://api.spotify.com/v1/audio-analysis/7Bot6AB2dsvZEyqzUL8AUH",4,1,193765,TRUE,"https://api.spotify.com/v1/tracks/7Bot6AB2dsvZEyqzUL8AUH",FALSE,"I'd Do Anything To Make You Smile","https://p.scdn.co/mp3-preview/6714fd380cf53bc0fb44f9cac93190de30a44ce5?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:7Bot6AB2dsvZEyqzUL8AUH","https://open.spotify.com/track/7Bot6AB2dsvZEyqzUL8AUH","Come Home The Kids Miss You","D","major","D major"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","2eE8BVirX9VF8Di9hD90iw","album","2022-05-06",2022,"day",0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,"0wHFktze2PHC5jDt3B17DC","https://api.spotify.com/v1/audio-analysis/0wHFktze2PHC5jDt3B17DC",4,1,173947,TRUE,"https://api.spotify.com/v1/tracks/0wHFktze2PHC5jDt3B17DC",FALSE,"First Class","https://p.scdn.co/mp3-preview/c05a687254dbdf50a9ab4879d85e54a7594e367f?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:0wHFktze2PHC5jDt3B17DC","https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC","Come Home The Kids Miss You","F","minor","F minor"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","2eE8BVirX9VF8Di9hD90iw","album","2022-05-06",2022,"day",0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,"0LnS7aOdOdI1dNKZqdOLz4","https://api.spotify.com/v1/audio-analysis/0LnS7aOdOdI1dNKZqdOLz4",4,1,135053,TRUE,"https://api.spotify.com/v1/tracks/0LnS7aOdOdI1dNKZqdOLz4",FALSE,"Dua Lipa","https://p.scdn.co/mp3-preview/a67e101190a9e673e5ac1d6ee6ad47fd6c4a7d39?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:0LnS7aOdOdI1dNKZqdOLz4","https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4","Come Home The Kids Miss You","B","major","B major"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","2eE8BVirX9VF8Di9hD90iw","album","2022-05-06",2022,"day",0.667,0.526,5,-8.561,0,0.281,0.494,0.000267,0.116,0.503,101.954,"0203aGEIzVVlmvQ8lX4fmV","https://api.spotify.com/v1/audio-analysis/0203aGEIzVVlmvQ8lX4fmV",4,1,234117,TRUE,"https://api.spotify.com/v1/tracks/0203aGEIzVVlmvQ8lX4fmV",FALSE,"Side Piece","https://p.scdn.co/mp3-preview/be8a91b70ec8d2fd17c8ac379ca18e59a7481774?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:0203aGEIzVVlmvQ8lX4fmV","https://open.spotify.com/track/0203aGEIzVVlmvQ8lX4fmV","Come Home The Kids Miss You","F","minor","F minor"
