"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.749,0.631,0,-7.113,1,0.201,0.172,9.41e-06,0.0544,0.816,104.687,"34rWoWiycg2hPA9nqGt7Ig","https://api.spotify.com/v1/audio-analysis/34rWoWiycg2hPA9nqGt7Ig",4,1,226148,FALSE,"https://api.spotify.com/v1/tracks/34rWoWiycg2hPA9nqGt7Ig",FALSE,"We Got To Change",NA,1,"track","spotify:track:34rWoWiycg2hPA9nqGt7Ig","https://open.spotify.com/track/34rWoWiycg2hPA9nqGt7Ig","James Brown: Say It Loud - A&E Documentary Playlist","C","major","C major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.892,0.854,2,-6.852,1,0.0608,0.473,0.00691,0.073,0.965,125.44,"5dcrkYUoKZYq69yZuDvkVu","https://api.spotify.com/v1/audio-analysis/5dcrkYUoKZYq69yZuDvkVu",4,1,249738,FALSE,"https://api.spotify.com/v1/tracks/5dcrkYUoKZYq69yZuDvkVu",FALSE,"Super Bad - Pt. 1 & 2",NA,2,"track","spotify:track:5dcrkYUoKZYq69yZuDvkVu","https://open.spotify.com/track/5dcrkYUoKZYq69yZuDvkVu","James Brown: Say It Loud - A&E Documentary Playlist","D","major","D major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.686,0.37,5,-6.234,1,0.0326,0.678,0,0.0772,0.694,109.869,"56FtKMyj4GbViby6AnjP0C","https://api.spotify.com/v1/audio-analysis/56FtKMyj4GbViby6AnjP0C",4,1,164853,FALSE,"https://api.spotify.com/v1/tracks/56FtKMyj4GbViby6AnjP0C",FALSE,"Please, Please, Please - Single Version",NA,3,"track","spotify:track:56FtKMyj4GbViby6AnjP0C","https://open.spotify.com/track/56FtKMyj4GbViby6AnjP0C","James Brown: Say It Loud - A&E Documentary Playlist","F","major","F major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.673,0.399,0,-6.516,1,0.027,0.938,1.34e-06,0.306,0.665,101.481,"6M3nF9h1vcze5ggfxJfIYK","https://api.spotify.com/v1/audio-analysis/6M3nF9h1vcze5ggfxJfIYK",3,1,150946,FALSE,"https://api.spotify.com/v1/tracks/6M3nF9h1vcze5ggfxJfIYK",FALSE,"Try Me - Single Version / Mono",NA,4,"track","spotify:track:6M3nF9h1vcze5ggfxJfIYK","https://open.spotify.com/track/6M3nF9h1vcze5ggfxJfIYK","James Brown: Say It Loud - A&E Documentary Playlist","C","major","C major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.611,0.877,3,-4.39,1,0.0739,0.719,0,0.314,0.832,76.925,"4EScGKoB8Qz9h5PgOwDaGE","https://api.spotify.com/v1/audio-analysis/4EScGKoB8Qz9h5PgOwDaGE",4,1,168960,FALSE,"https://api.spotify.com/v1/tracks/4EScGKoB8Qz9h5PgOwDaGE",FALSE,"Think - Single Version",NA,5,"track","spotify:track:4EScGKoB8Qz9h5PgOwDaGE","https://open.spotify.com/track/4EScGKoB8Qz9h5PgOwDaGE","James Brown: Say It Loud - A&E Documentary Playlist","D#","major","D# major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.765,0.788,1,-5.999,1,0.0564,0.313,0.0515,0.165,0.901,129.463,"7hdgRYNYj2FgqpefDLWSyR","https://api.spotify.com/v1/audio-analysis/7hdgRYNYj2FgqpefDLWSyR",4,1,218838,FALSE,"https://api.spotify.com/v1/tracks/7hdgRYNYj2FgqpefDLWSyR",FALSE,"Night Train - Single Version",NA,6,"track","spotify:track:7hdgRYNYj2FgqpefDLWSyR","https://open.spotify.com/track/7hdgRYNYj2FgqpefDLWSyR","James Brown: Say It Loud - A&E Documentary Playlist","C#","major","C# major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.661,0.596,3,-7.387,1,0.0331,0.47,0.000492,0.117,0.858,129.708,"0lNG0aSLhk7MfXz09tUKHi","https://api.spotify.com/v1/audio-analysis/0lNG0aSLhk7MfXz09tUKHi",4,1,143133,FALSE,"https://api.spotify.com/v1/tracks/0lNG0aSLhk7MfXz09tUKHi",FALSE,"Out Of Sight - Single Version",NA,7,"track","spotify:track:0lNG0aSLhk7MfXz09tUKHi","https://open.spotify.com/track/0lNG0aSLhk7MfXz09tUKHi","James Brown: Say It Loud - A&E Documentary Playlist","D#","major","D# major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.789,0.928,0,-7.527,1,0.121,0.428,2.69e-06,0.0373,0.924,108.183,"2Kpiv1SoVOIGJISP9pu2Gf","https://api.spotify.com/v1/audio-analysis/2Kpiv1SoVOIGJISP9pu2Gf",4,1,426600,FALSE,"https://api.spotify.com/v1/tracks/2Kpiv1SoVOIGJISP9pu2Gf",FALSE,"Get Up, Get Into It, Get Involved - Stereo Mix",NA,8,"track","spotify:track:2Kpiv1SoVOIGJISP9pu2Gf","https://open.spotify.com/track/2Kpiv1SoVOIGJISP9pu2Gf","James Brown: Say It Loud - A&E Documentary Playlist","C","major","C major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.908,0.743,7,-6.05,1,0.0421,0.257,0.00195,0.0959,0.96,104.248,"5I27Va4pd32UDxDfFwf5GU","https://api.spotify.com/v1/audio-analysis/5I27Va4pd32UDxDfFwf5GU",4,1,198986,FALSE,"https://api.spotify.com/v1/tracks/5I27Va4pd32UDxDfFwf5GU",FALSE,"Soul Power - Pt.1 / Single Version",NA,9,"track","spotify:track:5I27Va4pd32UDxDfFwf5GU","https://open.spotify.com/track/5I27Va4pd32UDxDfFwf5GU","James Brown: Say It Loud - A&E Documentary Playlist","G","major","G major"
"James Brown","7GaxyUddsPok8BuhxN6OUW","33Us5UGDL0ZOtBXN8PBzRH","album","2024-02-20",2024,"day",0.603,0.522,7,-7.6,1,0.0978,0.335,1.06e-06,0.0917,0.705,143.249,"3MGFc65CQuUj1Bn9AI1f2x","https://api.spotify.com/v1/audio-analysis/3MGFc65CQuUj1Bn9AI1f2x",4,1,168893,FALSE,"https://api.spotify.com/v1/tracks/3MGFc65CQuUj1Bn9AI1f2x",FALSE,"I Got You (I Feel Good)",NA,10,"track","spotify:track:3MGFc65CQuUj1Bn9AI1f2x","https://open.spotify.com/track/3MGFc65CQuUj1Bn9AI1f2x","James Brown: Say It Loud - A&E Documentary Playlist","G","major","G major"
