"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.529,0.845,8,-8.142,1,0.404,0.244,0,0.143,0.331,85.63,"5Gt9bxniM1SxN61yRzRhXL","https://api.spotify.com/v1/audio-analysis/5Gt9bxniM1SxN61yRzRhXL",3,1,255377,TRUE,"https://api.spotify.com/v1/tracks/5Gt9bxniM1SxN61yRzRhXL",FALSE,"United In Grief",NA,1,"track","spotify:track:5Gt9bxniM1SxN61yRzRhXL","https://open.spotify.com/track/5Gt9bxniM1SxN61yRzRhXL","Mr. Morale & The Big Steppers","G#","major","G# major"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,"0fX4oNGBWO3dSGUZcVdVV2","https://api.spotify.com/v1/audio-analysis/0fX4oNGBWO3dSGUZcVdVV2",4,1,195950,TRUE,"https://api.spotify.com/v1/tracks/0fX4oNGBWO3dSGUZcVdVV2",FALSE,"N95",NA,2,"track","spotify:track:0fX4oNGBWO3dSGUZcVdVV2","https://open.spotify.com/track/0fX4oNGBWO3dSGUZcVdVV2","Mr. Morale & The Big Steppers","C#","major","C# major"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.514,0.472,8,-11.106,0,0.368,0.753,0.00012,0.0746,0.557,77.215,"66mVPWmFvXPFf8pjK5ttOW","https://api.spotify.com/v1/audio-analysis/66mVPWmFvXPFf8pjK5ttOW",3,1,203367,TRUE,"https://api.spotify.com/v1/tracks/66mVPWmFvXPFf8pjK5ttOW",FALSE,"Worldwide Steppers",NA,3,"track","spotify:track:66mVPWmFvXPFf8pjK5ttOW","https://open.spotify.com/track/66mVPWmFvXPFf8pjK5ttOW","Mr. Morale & The Big Steppers","G#","minor","G# minor"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,"2g6tReTlM2Akp41g0HaeXN","https://api.spotify.com/v1/audio-analysis/2g6tReTlM2Akp41g0HaeXN",4,1,239026,TRUE,"https://api.spotify.com/v1/tracks/2g6tReTlM2Akp41g0HaeXN",FALSE,"Die Hard",NA,4,"track","spotify:track:2g6tReTlM2Akp41g0HaeXN","https://open.spotify.com/track/2g6tReTlM2Akp41g0HaeXN","Mr. Morale & The Big Steppers","C#","minor","C# minor"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.514,0.779,10,-4.365,0,0.344,0.181,0,0.099,0.517,152.869,"28qA8y1sz0FTuSapsCxNOG","https://api.spotify.com/v1/audio-analysis/28qA8y1sz0FTuSapsCxNOG",4,1,222497,TRUE,"https://api.spotify.com/v1/tracks/28qA8y1sz0FTuSapsCxNOG",FALSE,"Father Time (feat. Sampha)",NA,5,"track","spotify:track:28qA8y1sz0FTuSapsCxNOG","https://open.spotify.com/track/28qA8y1sz0FTuSapsCxNOG","Mr. Morale & The Big Steppers","A#","minor","A# minor"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.481,0.406,7,-11.52,1,0.0775,0.864,0.000315,0.0869,0.741,91.589,"15pyFQHCTVp6T7vaWctSgO","https://api.spotify.com/v1/audio-analysis/15pyFQHCTVp6T7vaWctSgO",4,1,103319,TRUE,"https://api.spotify.com/v1/tracks/15pyFQHCTVp6T7vaWctSgO",FALSE,"Rich - Interlude",NA,6,"track","spotify:track:15pyFQHCTVp6T7vaWctSgO","https://open.spotify.com/track/15pyFQHCTVp6T7vaWctSgO","Mr. Morale & The Big Steppers","G","major","G major"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,"1QPreu0BNOrUfEb8HTd2qG","https://api.spotify.com/v1/audio-analysis/1QPreu0BNOrUfEb8HTd2qG",4,1,202285,TRUE,"https://api.spotify.com/v1/tracks/1QPreu0BNOrUfEb8HTd2qG",FALSE,"Rich Spirit",NA,7,"track","spotify:track:1QPreu0BNOrUfEb8HTd2qG","https://open.spotify.com/track/1QPreu0BNOrUfEb8HTd2qG","Mr. Morale & The Big Steppers","A#","minor","A# minor"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.648,0.68,11,-7.276,1,0.345,0.292,0,0.0808,0.504,106.89,"67XC51nlZncNpHmZ8rOU9a","https://api.spotify.com/v1/audio-analysis/67XC51nlZncNpHmZ8rOU9a",3,1,341307,TRUE,"https://api.spotify.com/v1/tracks/67XC51nlZncNpHmZ8rOU9a",FALSE,"We Cry Together",NA,8,"track","spotify:track:67XC51nlZncNpHmZ8rOU9a","https://open.spotify.com/track/67XC51nlZncNpHmZ8rOU9a","Mr. Morale & The Big Steppers","B","major","B major"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.567,0.824,3,-6.973,0,0.296,0.167,2.65e-06,0.149,0.737,138.202,"1REVvAphiSTJyKQ1fDpHa4","https://api.spotify.com/v1/audio-analysis/1REVvAphiSTJyKQ1fDpHa4",4,1,329295,TRUE,"https://api.spotify.com/v1/tracks/1REVvAphiSTJyKQ1fDpHa4",FALSE,"Purple Hearts",NA,9,"track","spotify:track:1REVvAphiSTJyKQ1fDpHa4","https://open.spotify.com/track/1REVvAphiSTJyKQ1fDpHa4","Mr. Morale & The Big Steppers","D#","minor","D# minor"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","79ONNoS4M9tfIA1mYLBYVX","album","2022-05-13",2022,"day",0.776,0.431,4,-7.544,0,0.091,0.671,0,0.153,0.495,133.999,"6BU1RZexmvJcBjgagVVt3M","https://api.spotify.com/v1/audio-analysis/6BU1RZexmvJcBjgagVVt3M",4,2,283642,TRUE,"https://api.spotify.com/v1/tracks/6BU1RZexmvJcBjgagVVt3M",FALSE,"Count Me Out",NA,1,"track","spotify:track:6BU1RZexmvJcBjgagVVt3M","https://open.spotify.com/track/6BU1RZexmvJcBjgagVVt3M","Mr. Morale & The Big Steppers","E","minor","E minor"
