"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.493,0.302,5,-12.478,1,0.0289,0.0404,0.834,0.107,0.157,107.425,"74BfFG9qR85KXxN49esFVA","https://api.spotify.com/v1/audio-analysis/74BfFG9qR85KXxN49esFVA",4,1,150666,FALSE,"https://api.spotify.com/v1/tracks/74BfFG9qR85KXxN49esFVA",FALSE,"Main Titles (You’ve Been Called Back to Top Gun)",NA,1,"track","spotify:track:74BfFG9qR85KXxN49esFVA","https://open.spotify.com/track/74BfFG9qR85KXxN49esFVA","Top Gun: Maverick (Music From The Motion Picture)","F","major","F major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.553,0.887,3,-6.463,0,0.0387,0.0697,0,0.186,0.687,156.767,"4XGl23ZBBQQ7KD9uSpvswx","https://api.spotify.com/v1/audio-analysis/4XGl23ZBBQQ7KD9uSpvswx",4,1,215573,FALSE,"https://api.spotify.com/v1/tracks/4XGl23ZBBQQ7KD9uSpvswx",FALSE,"Danger Zone",NA,2,"track","spotify:track:4XGl23ZBBQQ7KD9uSpvswx","https://open.spotify.com/track/4XGl23ZBBQQ7KD9uSpvswx","Top Gun: Maverick (Music From The Motion Picture)","D#","minor","D# minor"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.448,0.381,2,-18.062,1,0.0346,0.666,0.756,0.0781,0.14,145.031,"5jximgvZO7gGAFQndsSltj","https://api.spotify.com/v1/audio-analysis/5jximgvZO7gGAFQndsSltj",4,1,181053,FALSE,"https://api.spotify.com/v1/tracks/5jximgvZO7gGAFQndsSltj",FALSE,"Darkstar",NA,3,"track","spotify:track:5jximgvZO7gGAFQndsSltj","https://open.spotify.com/track/5jximgvZO7gGAFQndsSltj","Top Gun: Maverick (Music From The Motion Picture)","D","major","D major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.562,0.605,9,-7.299,1,0.0421,0.765,0,0.728,0.629,160.039,"79iLGWV1TP277jSF8QJEo3","https://api.spotify.com/v1/audio-analysis/79iLGWV1TP277jSF8QJEo3",4,1,114760,FALSE,"https://api.spotify.com/v1/tracks/79iLGWV1TP277jSF8QJEo3",FALSE,"Great Balls Of Fire - Live",NA,4,"track","spotify:track:79iLGWV1TP277jSF8QJEo3","https://open.spotify.com/track/79iLGWV1TP277jSF8QJEo3","Top Gun: Maverick (Music From The Motion Picture)","A","major","A major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.157,0.0927,2,-20.179,1,0.0379,0.587,0.779,0.111,0.0325,145.73,"5aAFhwGmoTsYd3ICgj5Ms2","https://api.spotify.com/v1/audio-analysis/5aAFhwGmoTsYd3ICgj5Ms2",4,1,346346,FALSE,"https://api.spotify.com/v1/tracks/5aAFhwGmoTsYd3ICgj5Ms2",FALSE,"You’re Where You Belong / Give ‘Em Hell",NA,5,"track","spotify:track:5aAFhwGmoTsYd3ICgj5Ms2","https://open.spotify.com/track/5aAFhwGmoTsYd3ICgj5Ms2","Top Gun: Maverick (Music From The Motion Picture)","D","major","D major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,"73PAbYaVbnFG0tQ4aBfxeN","https://api.spotify.com/v1/audio-analysis/73PAbYaVbnFG0tQ4aBfxeN",4,1,148485,FALSE,"https://api.spotify.com/v1/tracks/73PAbYaVbnFG0tQ4aBfxeN",FALSE,"I Ain't Worried",NA,6,"track","spotify:track:73PAbYaVbnFG0tQ4aBfxeN","https://open.spotify.com/track/73PAbYaVbnFG0tQ4aBfxeN","Top Gun: Maverick (Music From The Motion Picture)","C","major","C major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.0633,0.0976,5,-20.081,1,0.0496,0.72,0.792,0.108,0.0344,61.466,"3Wceo1KylCeOUKJv8EVrMy","https://api.spotify.com/v1/audio-analysis/3Wceo1KylCeOUKJv8EVrMy",4,1,306026,FALSE,"https://api.spotify.com/v1/tracks/3Wceo1KylCeOUKJv8EVrMy",FALSE,"Dagger One Is Hit / Time To Let Go",NA,7,"track","spotify:track:3Wceo1KylCeOUKJv8EVrMy","https://open.spotify.com/track/3Wceo1KylCeOUKJv8EVrMy","Top Gun: Maverick (Music From The Motion Picture)","F","major","F major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.182,0.342,2,-15.843,0,0.0348,0.424,0.673,0.115,0.0388,145.068,"2RfBOqxUl9g0fHJ0NuYFAO","https://api.spotify.com/v1/audio-analysis/2RfBOqxUl9g0fHJ0NuYFAO",4,1,274493,FALSE,"https://api.spotify.com/v1/tracks/2RfBOqxUl9g0fHJ0NuYFAO",FALSE,"Tally Two / What’s The Plan / F-14",NA,8,"track","spotify:track:2RfBOqxUl9g0fHJ0NuYFAO","https://open.spotify.com/track/2RfBOqxUl9g0fHJ0NuYFAO","Top Gun: Maverick (Music From The Motion Picture)","D","minor","D minor"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.237,0.436,7,-11.845,1,0.0315,0.25,0.932,0.142,0.05,152.238,"3vPFtJIPNknOiMK7IcBtzn","https://api.spotify.com/v1/audio-analysis/3vPFtJIPNknOiMK7IcBtzn",3,1,234493,FALSE,"https://api.spotify.com/v1/tracks/3vPFtJIPNknOiMK7IcBtzn",FALSE,"The Man, The Legend / Touchdown",NA,9,"track","spotify:track:3vPFtJIPNknOiMK7IcBtzn","https://open.spotify.com/track/3vPFtJIPNknOiMK7IcBtzn","Top Gun: Maverick (Music From The Motion Picture)","G","major","G major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.168,0.0184,7,-27.194,1,0.0414,0.871,0.934,0.0863,0.0327,112.285,"0hGL3mxCQJB5l64LsWcSN5","https://api.spotify.com/v1/audio-analysis/0hGL3mxCQJB5l64LsWcSN5",4,1,167306,FALSE,"https://api.spotify.com/v1/tracks/0hGL3mxCQJB5l64LsWcSN5",FALSE,"Penny Returns - Interlude",NA,10,"track","spotify:track:0hGL3mxCQJB5l64LsWcSN5","https://open.spotify.com/track/0hGL3mxCQJB5l64LsWcSN5","Top Gun: Maverick (Music From The Motion Picture)","G","major","G major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.53,0.612,7,-4.286,1,0.0331,0.0403,0,0.393,0.264,148.009,"1c2hJSwcCfoPEw1su83Sw0","https://api.spotify.com/v1/audio-analysis/1c2hJSwcCfoPEw1su83Sw0",3,1,225280,FALSE,"https://api.spotify.com/v1/tracks/1c2hJSwcCfoPEw1su83Sw0",FALSE,"Hold My Hand",NA,11,"track","spotify:track:1c2hJSwcCfoPEw1su83Sw0","https://open.spotify.com/track/1c2hJSwcCfoPEw1su83Sw0","Top Gun: Maverick (Music From The Motion Picture)","G","major","G major"
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","3tjIKRAPBy5Qu4z8F5HmBz","album","2022-05-27",2022,"day",0.448,0.336,2,-13.124,1,0.0322,0.00145,0.838,0.0661,0.0364,107.351,"1ZkmPku85veww4fF66aUFF","https://api.spotify.com/v1/audio-analysis/1ZkmPku85veww4fF66aUFF",4,1,148933,FALSE,"https://api.spotify.com/v1/tracks/1ZkmPku85veww4fF66aUFF",FALSE,"Top Gun Anthem",NA,12,"track","spotify:track:1ZkmPku85veww4fF66aUFF","https://open.spotify.com/track/1ZkmPku85veww4fF66aUFF","Top Gun: Maverick (Music From The Motion Picture)","D","major","D major"
