"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.576,0.723,0,-4.411,1,0.0528,0.134,5.29e-06,0.123,0.778,176.141,"6hWUxgcCGGCd17i2eZ5qbJ","https://api.spotify.com/v1/audio-analysis/6hWUxgcCGGCd17i2eZ5qbJ",4,1,168120,FALSE,"https://api.spotify.com/v1/tracks/6hWUxgcCGGCd17i2eZ5qbJ",FALSE,"Smell Like Smoke","https://p.scdn.co/mp3-preview/07bfe2af632fe39ac2f9e16554f672343e684587?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:6hWUxgcCGGCd17i2eZ5qbJ","https://open.spotify.com/track/6hWUxgcCGGCd17i2eZ5qbJ","Bell Bottom Country","C","major","C major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.636,0.844,7,-4.057,1,0.0554,0.161,8.8e-06,0.112,0.768,134.048,"6LkYprJuqpmKVRvkSG4DnL","https://api.spotify.com/v1/audio-analysis/6LkYprJuqpmKVRvkSG4DnL",4,1,211240,FALSE,"https://api.spotify.com/v1/tracks/6LkYprJuqpmKVRvkSG4DnL",FALSE,"Hillbilly Hippie","https://p.scdn.co/mp3-preview/b6f128ffa9fbc608936d94766298f940831b0455?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:6LkYprJuqpmKVRvkSG4DnL","https://open.spotify.com/track/6LkYprJuqpmKVRvkSG4DnL","Bell Bottom Country","G","major","G major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.476,0.846,2,-4.362,1,0.0338,0.0716,1.4e-05,0.315,0.821,159.956,"6wd6VSMss7ALrAsPLhfbH7","https://api.spotify.com/v1/audio-analysis/6wd6VSMss7ALrAsPLhfbH7",4,1,226826,FALSE,"https://api.spotify.com/v1/tracks/6wd6VSMss7ALrAsPLhfbH7",FALSE,"Road Runner","https://p.scdn.co/mp3-preview/27ca0d69685dea55ec810642cb9d71860995e41c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:6wd6VSMss7ALrAsPLhfbH7","https://open.spotify.com/track/6wd6VSMss7ALrAsPLhfbH7","Bell Bottom Country","D","major","D major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921,"3sYBFUXTv0STUoUINx9Qe8","https://api.spotify.com/v1/audio-analysis/3sYBFUXTv0STUoUINx9Qe8",4,1,208853,FALSE,"https://api.spotify.com/v1/tracks/3sYBFUXTv0STUoUINx9Qe8",FALSE,"Watermelon Moonshine","https://p.scdn.co/mp3-preview/616455e085625d5662da9242fef54eb52a3044f1?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:3sYBFUXTv0STUoUINx9Qe8","https://open.spotify.com/track/3sYBFUXTv0STUoUINx9Qe8","Bell Bottom Country","C#","major","C# major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.652,0.943,2,-3.805,1,0.108,0.0901,0.000185,0.092,0.878,175.989,"1UhJMEEkDlwWggU4qyQrYZ","https://api.spotify.com/v1/audio-analysis/1UhJMEEkDlwWggU4qyQrYZ",4,1,187120,FALSE,"https://api.spotify.com/v1/tracks/1UhJMEEkDlwWggU4qyQrYZ",FALSE,"Grease","https://p.scdn.co/mp3-preview/3f123e7ba2f115900f99bc61b87de6bb02649424?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:1UhJMEEkDlwWggU4qyQrYZ","https://open.spotify.com/track/1UhJMEEkDlwWggU4qyQrYZ","Bell Bottom Country","D","major","D major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.702,0.555,0,-7.396,1,0.0318,0.452,3.3e-06,0.114,0.486,141.932,"56lYNZIKYuWDjYkfvJao2e","https://api.spotify.com/v1/audio-analysis/56lYNZIKYuWDjYkfvJao2e",4,1,208546,FALSE,"https://api.spotify.com/v1/tracks/56lYNZIKYuWDjYkfvJao2e",FALSE,"Weak-End","https://p.scdn.co/mp3-preview/d83345d7e73bd25f2fcdb0ad3b71578aca2af42b?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:56lYNZIKYuWDjYkfvJao2e","https://open.spotify.com/track/56lYNZIKYuWDjYkfvJao2e","Bell Bottom Country","C","major","C major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.637,0.779,1,-8.81,1,0.0337,0.268,0.00442,0.0582,0.602,161.981,"3rCv3LlKicVZgkKTryuN58","https://api.spotify.com/v1/audio-analysis/3rCv3LlKicVZgkKTryuN58",4,1,221626,FALSE,"https://api.spotify.com/v1/tracks/3rCv3LlKicVZgkKTryuN58",FALSE,"Me, You, and Jesus","https://p.scdn.co/mp3-preview/3715bd53cc2ba6b23f2440383f4dde8ac33bc777?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:3rCv3LlKicVZgkKTryuN58","https://open.spotify.com/track/3rCv3LlKicVZgkKTryuN58","Bell Bottom Country","C#","major","C# major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.571,0.827,8,-4.238,1,0.0939,0.0362,1.09e-06,0.157,0.799,150.03,"29O197ONSFNzq063eb0869","https://api.spotify.com/v1/audio-analysis/29O197ONSFNzq063eb0869",4,1,206240,FALSE,"https://api.spotify.com/v1/tracks/29O197ONSFNzq063eb0869",FALSE,"Hold My Halo","https://p.scdn.co/mp3-preview/0926214248a5e7c17b37f14e95845b85dd039096?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:29O197ONSFNzq063eb0869","https://open.spotify.com/track/29O197ONSFNzq063eb0869","Bell Bottom Country","G#","major","G# major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,"5DIBVDJOHh7djepAjKHWCO","https://api.spotify.com/v1/audio-analysis/5DIBVDJOHh7djepAjKHWCO",4,1,199040,FALSE,"https://api.spotify.com/v1/tracks/5DIBVDJOHh7djepAjKHWCO",FALSE,"Heart Like A Truck","https://p.scdn.co/mp3-preview/a4d21c6290140a3a53b051bc9bd972db2dde12b4?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:5DIBVDJOHh7djepAjKHWCO","https://open.spotify.com/track/5DIBVDJOHh7djepAjKHWCO","Bell Bottom Country","A","major","A major"
"Lainey Wilson","6tPHARSq45lQ8BSALCfkFC","06q6BDUpP6OS8Xnx3YC2M0","album","2022-11-28",2022,"day",0.747,0.521,11,-7.439,1,0.0351,0.233,6.17e-05,0.101,0.673,141.983,"5yDmKWFlzwTRU4LPyD9MCi","https://api.spotify.com/v1/audio-analysis/5yDmKWFlzwTRU4LPyD9MCi",4,1,206693,FALSE,"https://api.spotify.com/v1/tracks/5yDmKWFlzwTRU4LPyD9MCi",FALSE,"Atta Girl","https://p.scdn.co/mp3-preview/20f4ed68dbcd29054cdc1e37d56c2652e87a13f6?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:5yDmKWFlzwTRU4LPyD9MCi","https://open.spotify.com/track/5yDmKWFlzwTRU4LPyD9MCi","Bell Bottom Country","B","major","B major"
