"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.801,0.478,8,-8.79,0,0.0504,0.0977,1.15e-05,0.711,0.517,122.003,"35wau9leYsDWBTW4A0ISyL","https://api.spotify.com/v1/audio-analysis/35wau9leYsDWBTW4A0ISyL",4,1,260669,FALSE,"https://api.spotify.com/v1/tracks/35wau9leYsDWBTW4A0ISyL",FALSE,"Black Anime",NA,1,"track","spotify:track:35wau9leYsDWBTW4A0ISyL","https://open.spotify.com/track/35wau9leYsDWBTW4A0ISyL","Masego","G#","minor","G# minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.654,0.525,5,-7.912,0,0.0641,0.204,0,0.134,0.415,150.005,"3J17Wt7w0qXzWOeb96FBjs","https://api.spotify.com/v1/audio-analysis/3J17Wt7w0qXzWOeb96FBjs",4,1,193969,FALSE,"https://api.spotify.com/v1/tracks/3J17Wt7w0qXzWOeb96FBjs",FALSE,"Sax Fifth Avenue",NA,2,"track","spotify:track:3J17Wt7w0qXzWOeb96FBjs","https://open.spotify.com/track/3J17Wt7w0qXzWOeb96FBjs","Masego","F","minor","F minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.878,0.577,2,-5.925,1,0.0541,0.0656,0,0.0867,0.498,99.031,"526fD9LiAEi3KKvhhYfWmm","https://api.spotify.com/v1/audio-analysis/526fD9LiAEi3KKvhhYfWmm",4,1,159242,FALSE,"https://api.spotify.com/v1/tracks/526fD9LiAEi3KKvhhYfWmm",FALSE,"What You Wanna Try",NA,3,"track","spotify:track:526fD9LiAEi3KKvhhYfWmm","https://open.spotify.com/track/526fD9LiAEi3KKvhhYfWmm","Masego","D","major","D major"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.839,0.535,9,-6.454,0,0.134,0.184,0.000191,0.0927,0.401,120.018,"3sEeuMg5KfKGaifEts0Gcp","https://api.spotify.com/v1/audio-analysis/3sEeuMg5KfKGaifEts0Gcp",4,1,168000,FALSE,"https://api.spotify.com/v1/tracks/3sEeuMg5KfKGaifEts0Gcp",FALSE,"Afraid of Water",NA,4,"track","spotify:track:3sEeuMg5KfKGaifEts0Gcp","https://open.spotify.com/track/3sEeuMg5KfKGaifEts0Gcp","Masego","A","minor","A minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.726,0.593,4,-6.175,0,0.364,0.129,0,0.164,0.382,145.93,"1rLTDj06u2cTO5wfN4SaMZ","https://api.spotify.com/v1/audio-analysis/1rLTDj06u2cTO5wfN4SaMZ",4,1,170958,FALSE,"https://api.spotify.com/v1/tracks/1rLTDj06u2cTO5wfN4SaMZ",FALSE,"Down In The Dumps",NA,5,"track","spotify:track:1rLTDj06u2cTO5wfN4SaMZ","https://open.spotify.com/track/1rLTDj06u2cTO5wfN4SaMZ","Masego","E","minor","E minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.585,0.293,8,-11.637,0,0.0314,0.928,0.00529,0.174,0.438,106.25,"3H8dfH94vuzEGLeSOJPlhq","https://api.spotify.com/v1/audio-analysis/3H8dfH94vuzEGLeSOJPlhq",5,1,82922,FALSE,"https://api.spotify.com/v1/tracks/3H8dfH94vuzEGLeSOJPlhq",FALSE,"You Play With My Heart",NA,6,"track","spotify:track:3H8dfH94vuzEGLeSOJPlhq","https://open.spotify.com/track/3H8dfH94vuzEGLeSOJPlhq","Masego","G#","minor","G# minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.444,0.426,8,-8.823,0,0.0666,0.694,0.00182,0.21,0.183,149.042,"3aoS34PhRtlFX1olut50vY","https://api.spotify.com/v1/audio-analysis/3aoS34PhRtlFX1olut50vY",4,1,206162,FALSE,"https://api.spotify.com/v1/tracks/3aoS34PhRtlFX1olut50vY",FALSE,"Remembering Sundays",NA,7,"track","spotify:track:3aoS34PhRtlFX1olut50vY","https://open.spotify.com/track/3aoS34PhRtlFX1olut50vY","Masego","G#","minor","G# minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.822,0.5,1,-8.896,1,0.187,0.229,2.47e-05,0.198,0.47,110.968,"7BZMvAxfLVnhM2W2Hy7LfM","https://api.spotify.com/v1/audio-analysis/7BZMvAxfLVnhM2W2Hy7LfM",4,1,173114,FALSE,"https://api.spotify.com/v1/tracks/7BZMvAxfLVnhM2W2Hy7LfM",FALSE,"Who Cares Anyway",NA,8,"track","spotify:track:7BZMvAxfLVnhM2W2Hy7LfM","https://open.spotify.com/track/7BZMvAxfLVnhM2W2Hy7LfM","Masego","C#","major","C# major"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.711,0.532,1,-6.579,0,0.0636,0.187,0.000277,0.183,0.434,105.034,"4KE5ybnbzL6ErCNAudYZhf","https://api.spotify.com/v1/audio-analysis/4KE5ybnbzL6ErCNAudYZhf",4,1,178816,FALSE,"https://api.spotify.com/v1/tracks/4KE5ybnbzL6ErCNAudYZhf",FALSE,"Bye Bye My Love",NA,9,"track","spotify:track:4KE5ybnbzL6ErCNAudYZhf","https://open.spotify.com/track/4KE5ybnbzL6ErCNAudYZhf","Masego","C#","minor","C# minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.884,0.66,0,-6.059,1,0.174,0.217,0.00113,0.125,0.48,112.976,"16VIFc4vCBxCwRPFIY2U7s","https://api.spotify.com/v1/audio-analysis/16VIFc4vCBxCwRPFIY2U7s",4,1,208043,FALSE,"https://api.spotify.com/v1/tracks/16VIFc4vCBxCwRPFIY2U7s",FALSE,"Say You Want Me",NA,10,"track","spotify:track:16VIFc4vCBxCwRPFIY2U7s","https://open.spotify.com/track/16VIFc4vCBxCwRPFIY2U7s","Masego","C","major","C major"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.625,0.495,10,-10.169,0,0.262,0.51,5.71e-06,0.244,0.573,79.952,"3lu6L8Yo0FsFjbfOhG9HFz","https://api.spotify.com/v1/audio-analysis/3lu6L8Yo0FsFjbfOhG9HFz",4,1,158670,FALSE,"https://api.spotify.com/v1/tracks/3lu6L8Yo0FsFjbfOhG9HFz",FALSE,"Two Sides (I'm So Gemini)",NA,11,"track","spotify:track:3lu6L8Yo0FsFjbfOhG9HFz","https://open.spotify.com/track/3lu6L8Yo0FsFjbfOhG9HFz","Masego","A#","minor","A# minor"
"Masego","3ycxRkcZ67ALN3GQJ57Vig","2Og05vfN0U9RcT4mLeOW9S","album","2023-03-03",2023,"day",0.709,0.554,0,-6.474,1,0.387,0.623,6.13e-06,0.578,0.669,80.113,"1sHH9kE77X54j78gpBSe7E","https://api.spotify.com/v1/audio-analysis/1sHH9kE77X54j78gpBSe7E",4,1,254708,FALSE,"https://api.spotify.com/v1/tracks/1sHH9kE77X54j78gpBSe7E",FALSE,"You Never Visit Me",NA,12,"track","spotify:track:1sHH9kE77X54j78gpBSe7E","https://open.spotify.com/track/1sHH9kE77X54j78gpBSe7E","Masego","C","major","C major"
