"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.53,0.322,1,-10.105,0,0.0532,0.869,1.69e-05,0.355,0.608,85.757,"2M3GwgWQ2Z0swHkap5gWCm","https://api.spotify.com/v1/audio-analysis/2M3GwgWQ2Z0swHkap5gWCm",4,1,75415,TRUE,"https://api.spotify.com/v1/tracks/2M3GwgWQ2Z0swHkap5gWCm",FALSE,"PLAYA SATURNO INTRO","https://p.scdn.co/mp3-preview/2918508f828094942df3bd3549cb9c3001bb5385?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:2M3GwgWQ2Z0swHkap5gWCm","https://open.spotify.com/track/2M3GwgWQ2Z0swHkap5gWCm","PLAYA SATURNO","C#","minor","C# minor"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.794,0.756,9,-2.4,1,0.0641,0.327,0,0.334,0.568,99.977,"4OVHxReloGwGriqVFF2M79","https://api.spotify.com/v1/audio-analysis/4OVHxReloGwGriqVFF2M79",4,1,166739,TRUE,"https://api.spotify.com/v1/tracks/4OVHxReloGwGriqVFF2M79",FALSE,"CUANDO BAJE EL SOL","https://p.scdn.co/mp3-preview/097052ffcd13459dd75902b1c05c0223753863d1?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:4OVHxReloGwGriqVFF2M79","https://open.spotify.com/track/4OVHxReloGwGriqVFF2M79","PLAYA SATURNO","A","major","A major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.688,0.682,11,-3.836,1,0.247,0.284,1.67e-06,0.11,0.709,104.992,"110wwp2SRousmXjvx8zIoI","https://api.spotify.com/v1/audio-analysis/110wwp2SRousmXjvx8zIoI",4,1,242819,TRUE,"https://api.spotify.com/v1/tracks/110wwp2SRousmXjvx8zIoI",FALSE,"AL CALLAO'","https://p.scdn.co/mp3-preview/460484a67256b48bcde4c5ef5f1cbad9a280b7fd?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:110wwp2SRousmXjvx8zIoI","https://open.spotify.com/track/110wwp2SRousmXjvx8zIoI","PLAYA SATURNO","B","major","B major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.767,0.809,8,-4.155,1,0.0439,0.057,0.00028,0.142,0.415,99.969,"3tYDYSZU2Wn7zudbFEJeko","https://api.spotify.com/v1/audio-analysis/3tYDYSZU2Wn7zudbFEJeko",4,1,165714,TRUE,"https://api.spotify.com/v1/tracks/3tYDYSZU2Wn7zudbFEJeko",FALSE,"CUKI","https://p.scdn.co/mp3-preview/feb0e9f05f710d01f91ed985d8df3d1e875704ef?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:3tYDYSZU2Wn7zudbFEJeko","https://open.spotify.com/track/3tYDYSZU2Wn7zudbFEJeko","PLAYA SATURNO","G#","major","G# major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.813,0.821,1,-2.871,1,0.0851,0.444,0.00455,0.137,0.847,91.009,"2BuCjLttbLSiPx8sJKBt9b","https://api.spotify.com/v1/audio-analysis/2BuCjLttbLSiPx8sJKBt9b",4,1,221607,TRUE,"https://api.spotify.com/v1/tracks/2BuCjLttbLSiPx8sJKBt9b",FALSE,"NO ME LA MOLESTE","https://p.scdn.co/mp3-preview/db17c7d4fd57f3ccffbf50cd2c1b39852a09a93a?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:2BuCjLttbLSiPx8sJKBt9b","https://open.spotify.com/track/2BuCjLttbLSiPx8sJKBt9b","PLAYA SATURNO","C#","major","C# major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.617,0.655,2,-3.616,1,0.17,0.0934,6.17e-06,0.487,0.626,173.891,"05OnZaYopHpb0z7ktT2FIF","https://api.spotify.com/v1/audio-analysis/05OnZaYopHpb0z7ktT2FIF",4,1,215172,TRUE,"https://api.spotify.com/v1/tracks/05OnZaYopHpb0z7ktT2FIF",FALSE,"PICARDÍA","https://p.scdn.co/mp3-preview/fcbe89bb9364ae9a692043ba55aa64e7b8b86780?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:05OnZaYopHpb0z7ktT2FIF","https://open.spotify.com/track/05OnZaYopHpb0z7ktT2FIF","PLAYA SATURNO","D","major","D major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.511,0.866,7,-2.941,1,0.33,0.241,0,0.128,0.582,90.85,"1cNJ9ODOJF8b6AjhzoYdkv","https://api.spotify.com/v1/audio-analysis/1cNJ9ODOJF8b6AjhzoYdkv",4,1,242908,TRUE,"https://api.spotify.com/v1/tracks/1cNJ9ODOJF8b6AjhzoYdkv",FALSE,"PONTE NASTY","https://p.scdn.co/mp3-preview/5b9540976e21aad8186ff33fcee37fe44d53da14?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:1cNJ9ODOJF8b6AjhzoYdkv","https://open.spotify.com/track/1cNJ9ODOJF8b6AjhzoYdkv","PLAYA SATURNO","G","major","G major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.798,0.644,1,-3.823,0,0.147,0.27,7.05e-05,0.0914,0.693,89.013,"4TL3dMZzEQZxVyZTfeRlav","https://api.spotify.com/v1/audio-analysis/4TL3dMZzEQZxVyZTfeRlav",4,1,222000,TRUE,"https://api.spotify.com/v1/tracks/4TL3dMZzEQZxVyZTfeRlav",FALSE,"INQUIETO","https://p.scdn.co/mp3-preview/ff9ff3af26ef665f95938c433b2aee151a85b6bd?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:4TL3dMZzEQZxVyZTfeRlav","https://open.spotify.com/track/4TL3dMZzEQZxVyZTfeRlav","PLAYA SATURNO","C#","minor","C# minor"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.758,0.776,3,-2.224,1,0.0745,0.589,1.32e-06,0.12,0.532,91.936,"2jMt8GoQ4RGxAIMvWJyWeL","https://api.spotify.com/v1/audio-analysis/2jMt8GoQ4RGxAIMvWJyWeL",4,1,187826,TRUE,"https://api.spotify.com/v1/tracks/2jMt8GoQ4RGxAIMvWJyWeL",FALSE,"HOY AQUÍ","https://p.scdn.co/mp3-preview/50b40977eb205eadf570703fb37949fdd55b15b7?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:2jMt8GoQ4RGxAIMvWJyWeL","https://open.spotify.com/track/2jMt8GoQ4RGxAIMvWJyWeL","PLAYA SATURNO","D#","major","D# major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB","album","2023-07-07",2023,"day",0.82,0.825,4,-1.932,0,0.0673,0.127,0.000335,0.465,0.296,100.057,"4KrNCWx08dZr11kGIUHuuX","https://api.spotify.com/v1/audio-analysis/4KrNCWx08dZr11kGIUHuuX",4,1,207150,TRUE,"https://api.spotify.com/v1/tracks/4KrNCWx08dZr11kGIUHuuX",FALSE,"CELEBRANDO","https://p.scdn.co/mp3-preview/bf85a23f70d767f9d3ecd1607e2715250068887a?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:4KrNCWx08dZr11kGIUHuuX","https://open.spotify.com/track/4KrNCWx08dZr11kGIUHuuX","PLAYA SATURNO","E","minor","E minor"
