"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.77,0.439,10,-9.058,0,0.146,0.0718,0,0.123,0.946,130.549,"45pvS6wbQwHcfwgpfBq6q5","https://api.spotify.com/v1/audio-analysis/45pvS6wbQwHcfwgpfBq6q5",4,1,24208,FALSE,"https://api.spotify.com/v1/tracks/45pvS6wbQwHcfwgpfBq6q5",FALSE,"Making of A Woman - Intro","https://p.scdn.co/mp3-preview/289111d150d1af688e456121d26d67a2a93a3948?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:45pvS6wbQwHcfwgpfBq6q5","https://open.spotify.com/track/45pvS6wbQwHcfwgpfBq6q5","The Making Of A Woman (The Deluxe Edition)","A#","minor","A# minor"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.516,0.453,6,-7.628,0,0.0874,0.147,0,0.106,0.427,87.195,"1q5OBgTJK2oNvKM70w4QGn","https://api.spotify.com/v1/audio-analysis/1q5OBgTJK2oNvKM70w4QGn",4,1,166915,FALSE,"https://api.spotify.com/v1/tracks/1q5OBgTJK2oNvKM70w4QGn",FALSE,"Mountains","https://p.scdn.co/mp3-preview/5c06593f52ee51444c8c4caa818c9e85b6549953?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:1q5OBgTJK2oNvKM70w4QGn","https://open.spotify.com/track/1q5OBgTJK2oNvKM70w4QGn","The Making Of A Woman (The Deluxe Edition)","F#","minor","F# minor"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.334,0.588,0,-6.432,1,0.147,0.052,0,0.0593,0.228,171.022,"56K4cXxKPADD2uUq9o5vGN","https://api.spotify.com/v1/audio-analysis/56K4cXxKPADD2uUq9o5vGN",4,1,220501,TRUE,"https://api.spotify.com/v1/tracks/56K4cXxKPADD2uUq9o5vGN",FALSE,"I Deserve More","https://p.scdn.co/mp3-preview/0cef851c2691b86b521c28095d0003f3581e901e?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:56K4cXxKPADD2uUq9o5vGN","https://open.spotify.com/track/56K4cXxKPADD2uUq9o5vGN","The Making Of A Woman (The Deluxe Edition)","C","major","C major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.39,0.398,2,-8.27,1,0.0335,0.622,0,0.115,0.218,139.331,"31DsOqSYhdP9iJtQoBcf5g","https://api.spotify.com/v1/audio-analysis/31DsOqSYhdP9iJtQoBcf5g",3,1,236458,FALSE,"https://api.spotify.com/v1/tracks/31DsOqSYhdP9iJtQoBcf5g",FALSE,"Never Been Better","https://p.scdn.co/mp3-preview/5cdc2d3da927db992402697ea200d3dea304ee12?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:31DsOqSYhdP9iJtQoBcf5g","https://open.spotify.com/track/31DsOqSYhdP9iJtQoBcf5g","The Making Of A Woman (The Deluxe Edition)","D","major","D major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.677,0.573,5,-8.41,0,0.0734,0.0114,3.45e-06,0.0803,0.365,85.994,"0Pe38iW02scvRukKOy4uJZ","https://api.spotify.com/v1/audio-analysis/0Pe38iW02scvRukKOy4uJZ",4,1,223294,FALSE,"https://api.spotify.com/v1/tracks/0Pe38iW02scvRukKOy4uJZ",FALSE,"Come Inside My House","https://p.scdn.co/mp3-preview/7f0bcc621982b4d0a2ac0bbad963e47e2c6dff07?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:0Pe38iW02scvRukKOy4uJZ","https://open.spotify.com/track/0Pe38iW02scvRukKOy4uJZ","The Making Of A Woman (The Deluxe Edition)","F","minor","F minor"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.656,0.431,6,-8.144,0,0.0458,0.157,0,0.101,0.301,148.001,"58B4wxIaSe4M0nUsYAqUXG","https://api.spotify.com/v1/audio-analysis/58B4wxIaSe4M0nUsYAqUXG",3,1,300409,FALSE,"https://api.spotify.com/v1/tracks/58B4wxIaSe4M0nUsYAqUXG",FALSE,"Believer","https://p.scdn.co/mp3-preview/fbbdde144a7ce1ec921073f236523c9952862327?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:58B4wxIaSe4M0nUsYAqUXG","https://open.spotify.com/track/58B4wxIaSe4M0nUsYAqUXG","The Making Of A Woman (The Deluxe Edition)","F#","minor","F# minor"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.484,0.394,8,-9.47,0,0.0574,0.611,0.000183,0.101,0.222,64.287,"6N7DCHScnzfyPtTM2z0Vbp","https://api.spotify.com/v1/audio-analysis/6N7DCHScnzfyPtTM2z0Vbp",4,1,216278,FALSE,"https://api.spotify.com/v1/tracks/6N7DCHScnzfyPtTM2z0Vbp",FALSE,"Water","https://p.scdn.co/mp3-preview/d6ddecb5f0e71e7c058d8f8dc7337f3f37911b30?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:6N7DCHScnzfyPtTM2z0Vbp","https://open.spotify.com/track/6N7DCHScnzfyPtTM2z0Vbp","The Making Of A Woman (The Deluxe Edition)","G#","minor","G# minor"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.466,0.32,7,-9.693,0,0.0326,0.761,0,0.104,0.604,109.161,"23fCwqAzQbtINyQzdGwNPE","https://api.spotify.com/v1/audio-analysis/23fCwqAzQbtINyQzdGwNPE",3,1,213850,FALSE,"https://api.spotify.com/v1/tracks/23fCwqAzQbtINyQzdGwNPE",FALSE,"Home","https://p.scdn.co/mp3-preview/b502e848c6ff085922795ca11801dfffaae3f37b?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:23fCwqAzQbtINyQzdGwNPE","https://open.spotify.com/track/23fCwqAzQbtINyQzdGwNPE","The Making Of A Woman (The Deluxe Edition)","G","minor","G minor"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.349,0.237,7,-10.592,1,0.0466,0.811,0,0.149,0.47,78.836,"5vpn3bU0LkT6bShuDpJDAA","https://api.spotify.com/v1/audio-analysis/5vpn3bU0LkT6bShuDpJDAA",4,1,217270,TRUE,"https://api.spotify.com/v1/tracks/5vpn3bU0LkT6bShuDpJDAA",FALSE,"Freelance Lover","https://p.scdn.co/mp3-preview/d7e4908d991bf3280a7986fa854037b438528ebf?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:5vpn3bU0LkT6bShuDpJDAA","https://open.spotify.com/track/5vpn3bU0LkT6bShuDpJDAA","The Making Of A Woman (The Deluxe Edition)","G","major","G major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.31,0.396,5,-9.104,1,0.0311,0.127,0,0.106,0.142,128.009,"3BxsISn7bgWicUwwKWHBqc","https://api.spotify.com/v1/audio-analysis/3BxsISn7bgWicUwwKWHBqc",4,1,270708,FALSE,"https://api.spotify.com/v1/tracks/3BxsISn7bgWicUwwKWHBqc",FALSE,"Frontline","https://p.scdn.co/mp3-preview/ed4e29d118b4af69fd5b7f3c3c8b8cfa306a0171?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:3BxsISn7bgWicUwwKWHBqc","https://open.spotify.com/track/3BxsISn7bgWicUwwKWHBqc","The Making Of A Woman (The Deluxe Edition)","F","major","F major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.689,0.571,9,-7.787,1,0.254,0.0296,6.73e-06,0.106,0.536,86.021,"4KAQz78MH0FixaUmpJBgtk","https://api.spotify.com/v1/audio-analysis/4KAQz78MH0FixaUmpJBgtk",4,1,216771,FALSE,"https://api.spotify.com/v1/tracks/4KAQz78MH0FixaUmpJBgtk",FALSE,"Shero","https://p.scdn.co/mp3-preview/5137b599fb6d5a073fc1ce476344327989ad37f8?cid=a684933cbff543e08213060e872e4bd5",11,"track","spotify:track:4KAQz78MH0FixaUmpJBgtk","https://open.spotify.com/track/4KAQz78MH0FixaUmpJBgtk","The Making Of A Woman (The Deluxe Edition)","A","major","A major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.558,0.529,1,-9.472,1,0.0809,0.0953,0.000296,0.256,0.169,99.759,"1775fI6lzgeBhjHvJKWjq0","https://api.spotify.com/v1/audio-analysis/1775fI6lzgeBhjHvJKWjq0",4,1,218407,FALSE,"https://api.spotify.com/v1/tracks/1775fI6lzgeBhjHvJKWjq0",FALSE,"Long Time Ago","https://p.scdn.co/mp3-preview/ecaf646f417eda924157414a7ef396a32c3cca48?cid=a684933cbff543e08213060e872e4bd5",12,"track","spotify:track:1775fI6lzgeBhjHvJKWjq0","https://open.spotify.com/track/1775fI6lzgeBhjHvJKWjq0","The Making Of A Woman (The Deluxe Edition)","C#","major","C# major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","1J4c85cGeBeAa0UDbDHODx","album","2021-04-23",2021,"day",0.621,0.665,0,-5.221,0,0.108,0.243,0,0.127,0.357,71.091,"292UKmWehsgIDlFFRePp20","https://api.spotify.com/v1/audio-analysis/292UKmWehsgIDlFFRePp20",4,1,186583,TRUE,"https://api.spotify.com/v1/tracks/292UKmWehsgIDlFFRePp20",FALSE,"Woman","https://p.scdn.co/mp3-preview/58ba902679882ab7d0d481d5141bcf3134f1de5a?cid=a684933cbff543e08213060e872e4bd5",13,"track","spotify:track:292UKmWehsgIDlFFRePp20","https://open.spotify.com/track/292UKmWehsgIDlFFRePp20","The Making Of A Woman (The Deluxe Edition)","C","minor","C minor"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","2dFrfejVAj6O7hFenCkSAB","album","2020-01-31",2020,"day",0.399,0.3,3,-16.001,1,0.032,0.444,0.629,0.646,0.456,112.263,"2MRfNJN0L0hwKo1XYCsVOT","https://api.spotify.com/v1/audio-analysis/2MRfNJN0L0hwKo1XYCsVOT",5,1,36196,FALSE,"https://api.spotify.com/v1/tracks/2MRfNJN0L0hwKo1XYCsVOT",FALSE,"Woman (Intro)","https://p.scdn.co/mp3-preview/348147b267d5f8879ad6716cb59dcba2a3077282?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:2MRfNJN0L0hwKo1XYCsVOT","https://open.spotify.com/track/2MRfNJN0L0hwKo1XYCsVOT","Woman","D#","major","D# major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","2dFrfejVAj6O7hFenCkSAB","album","2020-01-31",2020,"day",0.558,0.529,1,-9.472,1,0.0809,0.0953,0.000296,0.256,0.169,99.759,"17HIAK0EjUAfodfuWNBjet","https://api.spotify.com/v1/audio-analysis/17HIAK0EjUAfodfuWNBjet",4,1,218407,FALSE,"https://api.spotify.com/v1/tracks/17HIAK0EjUAfodfuWNBjet",FALSE,"Long Time Ago","https://p.scdn.co/mp3-preview/ecaf646f417eda924157414a7ef396a32c3cca48?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:17HIAK0EjUAfodfuWNBjet","https://open.spotify.com/track/17HIAK0EjUAfodfuWNBjet","Woman","C#","major","C# major"
"Syleena Johnson","1lE6SEy8f84Zhjvp7r8yTD","2dFrfejVAj6O7hFenCkSAB","album","2020-01-31",2020,"day",0.516,0.453,6,-7.628,0,0.0874,0.147,0,0.106,0.427,87.195,"5buPYHLPQbT563qdEFIfEs","https://api.spotify.com/v1/audio-analysis/5buPYHLPQbT563qdEFIfEs",4,1,166915,FALSE,"https://api.spotify.com/v1/tracks/5buPYHLPQbT563qdEFIfEs",FALSE,"Mountains","https://p.scdn.co/mp3-preview/5c06593f52ee51444c8c4caa818c9e85b6549953?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:5buPYHLPQbT563qdEFIfEs","https://open.spotify.com/track/5buPYHLPQbT563qdEFIfEs","Woman","F#","minor","F# minor"
