"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.66,0.673,2,-4.001,0,0.0617,0.0285,1.67e-06,0.101,0.391,163.99,"2byJqu4cw657Y7G6nFogkG","https://api.spotify.com/v1/audio-analysis/2byJqu4cw657Y7G6nFogkG",4,1,175665,FALSE,"https://api.spotify.com/v1/tracks/2byJqu4cw657Y7G6nFogkG",FALSE,"cut my hair","https://p.scdn.co/mp3-preview/d35592dbede7567460fe6c99f32dad7299f963d5?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:2byJqu4cw657Y7G6nFogkG","https://open.spotify.com/track/2byJqu4cw657Y7G6nFogkG","THINK LATER","D","minor","D minor"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.746,0.705,6,-3.558,0,0.0332,0.275,0,0.216,0.858,111.013,"4kfSXPK13aXkLzuz02hCSC","https://api.spotify.com/v1/audio-analysis/4kfSXPK13aXkLzuz02hCSC",1,1,129686,TRUE,"https://api.spotify.com/v1/tracks/4kfSXPK13aXkLzuz02hCSC",FALSE,"greedy","https://p.scdn.co/mp3-preview/2988a51e706f891d4ed1d60a3e4660c30906135e?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:4kfSXPK13aXkLzuz02hCSC","https://open.spotify.com/track/4kfSXPK13aXkLzuz02hCSC","THINK LATER","F#","minor","F# minor"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.544,0.831,8,-3.578,1,0.0941,0.543,0,0.118,0.233,130.005,"51hyZpbJlIgZIaX3TtMxmu","https://api.spotify.com/v1/audio-analysis/51hyZpbJlIgZIaX3TtMxmu",4,1,143940,TRUE,"https://api.spotify.com/v1/tracks/51hyZpbJlIgZIaX3TtMxmu",FALSE,"run for the hills","https://p.scdn.co/mp3-preview/0c91e2da7c4ccc1f9c9e7de651f867e7e9805b38?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:51hyZpbJlIgZIaX3TtMxmu","https://open.spotify.com/track/51hyZpbJlIgZIaX3TtMxmu","THINK LATER","G#","major","G# major"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.667,0.829,2,-3.74,1,0.0509,0.0168,0,0.155,0.265,98.014,"4mFcwFOlSCxp6hjemRXwpd","https://api.spotify.com/v1/audio-analysis/4mFcwFOlSCxp6hjemRXwpd",4,1,122416,TRUE,"https://api.spotify.com/v1/tracks/4mFcwFOlSCxp6hjemRXwpd",FALSE,"hurt my feelings","https://p.scdn.co/mp3-preview/e685084caded148dd9f5f685eb4212b8e7a650ea?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:4mFcwFOlSCxp6hjemRXwpd","https://open.spotify.com/track/4mFcwFOlSCxp6hjemRXwpd","THINK LATER","D","major","D major"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.525,0.628,5,-8.057,1,0.0534,0.16,0,0.0919,0.249,157.955,"6jDT7DB6k0psPX0nWNDI1K","https://api.spotify.com/v1/audio-analysis/6jDT7DB6k0psPX0nWNDI1K",4,1,193159,TRUE,"https://api.spotify.com/v1/tracks/6jDT7DB6k0psPX0nWNDI1K",FALSE,"grave","https://p.scdn.co/mp3-preview/750af250c4e4d25de2e9f0fd0d23e0a5811b2ee9?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:6jDT7DB6k0psPX0nWNDI1K","https://open.spotify.com/track/6jDT7DB6k0psPX0nWNDI1K","THINK LATER","F","major","F major"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.527,0.414,4,-9.468,1,0.0352,0.647,0,0.104,0.197,106.383,"2zScQCfO2BKtR0Yk8dtELN","https://api.spotify.com/v1/audio-analysis/2zScQCfO2BKtR0Yk8dtELN",4,1,171190,TRUE,"https://api.spotify.com/v1/tracks/2zScQCfO2BKtR0Yk8dtELN",FALSE,"stay done","https://p.scdn.co/mp3-preview/433790f6094e5d2ec66350f7ccddf04fea073a7d?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:2zScQCfO2BKtR0Yk8dtELN","https://open.spotify.com/track/2zScQCfO2BKtR0Yk8dtELN","THINK LATER","E","major","E major"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.821,0.575,5,-6.57,0,0.0589,0.173,0.000242,0.114,0.611,136.962,"4E63weMCaNZuGPEFMnuEi8","https://api.spotify.com/v1/audio-analysis/4E63weMCaNZuGPEFMnuEi8",4,1,159400,TRUE,"https://api.spotify.com/v1/tracks/4E63weMCaNZuGPEFMnuEi8",FALSE,"exes","https://p.scdn.co/mp3-preview/e2bab2006bfccb91a35ec33d54411e56dd7c9d21?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:4E63weMCaNZuGPEFMnuEi8","https://open.spotify.com/track/4E63weMCaNZuGPEFMnuEi8","THINK LATER","F","minor","F minor"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.707,0.811,8,-5.003,1,0.0338,0.0237,5.16e-06,0.153,0.672,113.022,"0tFRxPQHvAUMTbWYRJUo8R","https://api.spotify.com/v1/audio-analysis/0tFRxPQHvAUMTbWYRJUo8R",4,1,180392,TRUE,"https://api.spotify.com/v1/tracks/0tFRxPQHvAUMTbWYRJUo8R",FALSE,"we're not alike","https://p.scdn.co/mp3-preview/8e292e579ec745ff793bf5c59d3995c542f524c8?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:0tFRxPQHvAUMTbWYRJUo8R","https://open.spotify.com/track/0tFRxPQHvAUMTbWYRJUo8R","THINK LATER","G#","major","G# major"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.593,0.507,9,-7.639,0,0.0332,0.506,0,0.0576,0.399,115.417,"01BDK4Skxzh5mqnTbQzWGy","https://api.spotify.com/v1/audio-analysis/01BDK4Skxzh5mqnTbQzWGy",4,1,140685,TRUE,"https://api.spotify.com/v1/tracks/01BDK4Skxzh5mqnTbQzWGy",FALSE,"calgary","https://p.scdn.co/mp3-preview/9acafe7b94bea484f7b86b5c11a5a44095b192b6?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:01BDK4Skxzh5mqnTbQzWGy","https://open.spotify.com/track/01BDK4Skxzh5mqnTbQzWGy","THINK LATER","A","minor","A minor"
"Tate McRae","45dkTj5sMRSjrmBSBeiHym","0OUOx6rJXtL66AzTnP9KUE","album","2023-12-08",2023,"day",0.592,0.47,4,-7.054,1,0.0283,0.0325,0,0.126,0.318,89.965,"53H3ajzHjI5M9ZeewvRO3h","https://api.spotify.com/v1/audio-analysis/53H3ajzHjI5M9ZeewvRO3h",4,1,237191,TRUE,"https://api.spotify.com/v1/tracks/53H3ajzHjI5M9ZeewvRO3h",FALSE,"messier","https://p.scdn.co/mp3-preview/ced515c19c2d5538f77c4ff4bdc6a08088e4d513?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:53H3ajzHjI5M9ZeewvRO3h","https://open.spotify.com/track/53H3ajzHjI5M9ZeewvRO3h","THINK LATER","E","major","E major"
