"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,"0VF7YLIxSQKyNiFL3X6MmN","https://api.spotify.com/v1/audio-analysis/0VF7YLIxSQKyNiFL3X6MmN",4,1,217026,FALSE,"https://api.spotify.com/v1/tracks/0VF7YLIxSQKyNiFL3X6MmN",FALSE,"Stargazing","https://p.scdn.co/mp3-preview/c5665ce32c0e748c9110b168b844775a832b6214?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:0VF7YLIxSQKyNiFL3X6MmN","https://open.spotify.com/track/0VF7YLIxSQKyNiFL3X6MmN","Chip Chrome & The Mono-Tones (Deluxe)","C","major","C major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.333,0.487,7,-8.169,1,0.0342,0.147,0.0751,0.0801,0.155,188.908,"5VoBizwMwcd2D68EfqxDbO","https://api.spotify.com/v1/audio-analysis/5VoBizwMwcd2D68EfqxDbO",3,1,220760,FALSE,"https://api.spotify.com/v1/tracks/5VoBizwMwcd2D68EfqxDbO",FALSE,"Over the Influence","https://p.scdn.co/mp3-preview/a9c9f90d1c5c8dba14e7948f9faa62194e554396?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:5VoBizwMwcd2D68EfqxDbO","https://open.spotify.com/track/5VoBizwMwcd2D68EfqxDbO","Chip Chrome & The Mono-Tones (Deluxe)","G","major","G major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.51,0.527,8,-9.148,1,0.0292,0.6,0.317,0.545,0.418,143.913,"5SZ3LjDirzbQe3CqIgxRkA","https://api.spotify.com/v1/audio-analysis/5SZ3LjDirzbQe3CqIgxRkA",4,1,257720,FALSE,"https://api.spotify.com/v1/tracks/5SZ3LjDirzbQe3CqIgxRkA",FALSE,"Here We Go Again","https://p.scdn.co/mp3-preview/1ec4ba64c75b5fc9fffac113065d1ebd8470e184?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:5SZ3LjDirzbQe3CqIgxRkA","https://open.spotify.com/track/5SZ3LjDirzbQe3CqIgxRkA","Chip Chrome & The Mono-Tones (Deluxe)","G#","major","G# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.627,0.685,10,-6.871,1,0.0272,0.0534,0.756,0.096,0.552,96.989,"3m3ylOXgB3v9xmDSIJyx9S","https://api.spotify.com/v1/audio-analysis/3m3ylOXgB3v9xmDSIJyx9S",4,1,214693,FALSE,"https://api.spotify.com/v1/tracks/3m3ylOXgB3v9xmDSIJyx9S",FALSE,"The Shining","https://p.scdn.co/mp3-preview/2eb0e58f4b647b50be9737b3b70d1197c5f36a4c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:3m3ylOXgB3v9xmDSIJyx9S","https://open.spotify.com/track/3m3ylOXgB3v9xmDSIJyx9S","Chip Chrome & The Mono-Tones (Deluxe)","A#","major","A# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.205,0.739,6,-13.072,1,0.0546,0.961,0.937,0.339,0.0385,79.988,"2pTFbih5zGuBCEdQCIwCFE","https://api.spotify.com/v1/audio-analysis/2pTFbih5zGuBCEdQCIwCFE",4,2,31045,FALSE,"https://api.spotify.com/v1/tracks/2pTFbih5zGuBCEdQCIwCFE",FALSE,"Chip Chrome","https://p.scdn.co/mp3-preview/7c57db3700a468c5d9d02154f01e47153ec90305?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:2pTFbih5zGuBCEdQCIwCFE","https://open.spotify.com/track/2pTFbih5zGuBCEdQCIwCFE","Chip Chrome & The Mono-Tones (Deluxe)","F#","major","F# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,"3cF2uv9ljbCiFHEGL23aNo","https://api.spotify.com/v1/audio-analysis/3cF2uv9ljbCiFHEGL23aNo",4,2,234093,FALSE,"https://api.spotify.com/v1/tracks/3cF2uv9ljbCiFHEGL23aNo",FALSE,"Pretty Boy","https://p.scdn.co/mp3-preview/c89449141f03ea62c8357f494e29c32a564152b8?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:3cF2uv9ljbCiFHEGL23aNo","https://open.spotify.com/track/3cF2uv9ljbCiFHEGL23aNo","Chip Chrome & The Mono-Tones (Deluxe)","F#","major","F# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.568,0.891,0,-5.786,1,0.0376,0.000896,0.000137,0.357,0.522,104.954,"7CUk9X9Qy2nGCNrHVkddiJ","https://api.spotify.com/v1/audio-analysis/7CUk9X9Qy2nGCNrHVkddiJ",4,2,190226,FALSE,"https://api.spotify.com/v1/tracks/7CUk9X9Qy2nGCNrHVkddiJ",FALSE,"Lost in Translation","https://p.scdn.co/mp3-preview/e21aff545054dbed2d6c62ca4078af38307b3a17?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:7CUk9X9Qy2nGCNrHVkddiJ","https://open.spotify.com/track/7CUk9X9Qy2nGCNrHVkddiJ","Chip Chrome & The Mono-Tones (Deluxe)","C","major","C major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,"6H4agRAgmEuVfuuqIWgAT2","https://api.spotify.com/v1/audio-analysis/6H4agRAgmEuVfuuqIWgAT2",4,2,186306,FALSE,"https://api.spotify.com/v1/tracks/6H4agRAgmEuVfuuqIWgAT2",FALSE,"Devil's Advocate","https://p.scdn.co/mp3-preview/6b38ab26c40982a81369c0966a5408b2fdc655ef?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:6H4agRAgmEuVfuuqIWgAT2","https://open.spotify.com/track/6H4agRAgmEuVfuuqIWgAT2","Chip Chrome & The Mono-Tones (Deluxe)","B","minor","B minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.572,0.32,9,-11.841,1,0.0299,0.962,0.00598,0.165,0.627,120.875,"4G4aFRf3j194nyGUomu2KA","https://api.spotify.com/v1/audio-analysis/4G4aFRf3j194nyGUomu2KA",4,2,139586,FALSE,"https://api.spotify.com/v1/tracks/4G4aFRf3j194nyGUomu2KA",FALSE,"Hell or High Water","https://p.scdn.co/mp3-preview/5e8de0ca5e1dd476b6530568df119a34072d2424?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:4G4aFRf3j194nyGUomu2KA","https://open.spotify.com/track/4G4aFRf3j194nyGUomu2KA","Chip Chrome & The Mono-Tones (Deluxe)","A","major","A major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769,"3qyveovuSWvxXEMICuLlp3","https://api.spotify.com/v1/audio-analysis/3qyveovuSWvxXEMICuLlp3",4,2,208453,FALSE,"https://api.spotify.com/v1/tracks/3qyveovuSWvxXEMICuLlp3",FALSE,"Cherry Flavoured","https://p.scdn.co/mp3-preview/3ec1632ccce60ee45c40b1f52c65af67bfed0ece?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:3qyveovuSWvxXEMICuLlp3","https://open.spotify.com/track/3qyveovuSWvxXEMICuLlp3","Chip Chrome & The Mono-Tones (Deluxe)","F#","major","F# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.788,0.418,5,-12.396,1,0.0303,0.847,0.0144,0.376,0.769,82.018,"4sKIExrAk4vJY52XLgCsnG","https://api.spotify.com/v1/audio-analysis/4sKIExrAk4vJY52XLgCsnG",4,2,73853,FALSE,"https://api.spotify.com/v1/tracks/4sKIExrAk4vJY52XLgCsnG",FALSE,"The Mono-Tones","https://p.scdn.co/mp3-preview/1da9040eb3b631bd4419f16f8f947e1c0db5021b?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:4sKIExrAk4vJY52XLgCsnG","https://open.spotify.com/track/4sKIExrAk4vJY52XLgCsnG","Chip Chrome & The Mono-Tones (Deluxe)","F","major","F major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.696,0.838,5,-9.299,0,0.0361,0.0621,8.42e-05,0.0967,0.66,139.977,"5FGKhXCg3YBXioy6rkWZM5","https://api.spotify.com/v1/audio-analysis/5FGKhXCg3YBXioy6rkWZM5",4,2,191120,FALSE,"https://api.spotify.com/v1/tracks/5FGKhXCg3YBXioy6rkWZM5",FALSE,"BooHoo","https://p.scdn.co/mp3-preview/6bcefac21f8431025614eafec7ea347a31424690?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:5FGKhXCg3YBXioy6rkWZM5","https://open.spotify.com/track/5FGKhXCg3YBXioy6rkWZM5","Chip Chrome & The Mono-Tones (Deluxe)","F","minor","F minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.562,0.53,2,-7.665,1,0.0286,0.0226,0.00419,0.106,0.391,122.92,"6ZPhBXgckw0S3k0zjn2NGJ","https://api.spotify.com/v1/audio-analysis/6ZPhBXgckw0S3k0zjn2NGJ",4,2,179453,FALSE,"https://api.spotify.com/v1/tracks/6ZPhBXgckw0S3k0zjn2NGJ",FALSE,"Silver Lining","https://p.scdn.co/mp3-preview/cc358f0ed1675517a9405828cbccf64eb4aa5767?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:6ZPhBXgckw0S3k0zjn2NGJ","https://open.spotify.com/track/6ZPhBXgckw0S3k0zjn2NGJ","Chip Chrome & The Mono-Tones (Deluxe)","D","major","D major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.413,0.474,5,-11.472,1,0.0328,0.0419,0.508,0.384,0.446,111.01,"6DWMUPSfXBJfkIhePqMRQq","https://api.spotify.com/v1/audio-analysis/6DWMUPSfXBJfkIhePqMRQq",4,2,296813,FALSE,"https://api.spotify.com/v1/tracks/6DWMUPSfXBJfkIhePqMRQq",FALSE,"Tobacco Sunburst","https://p.scdn.co/mp3-preview/7df57bc108224a791530a3ff6d234f6d985d7a7f?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:6DWMUPSfXBJfkIhePqMRQq","https://open.spotify.com/track/6DWMUPSfXBJfkIhePqMRQq","Chip Chrome & The Mono-Tones (Deluxe)","F","major","F major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ","album","2020-12-11",2020,"day",0.508,0.394,9,-9.472,0,0.0252,0.716,0,0.158,0.337,92.055,"6HvMj5XehYx7SzCiCDoHrp","https://api.spotify.com/v1/audio-analysis/6HvMj5XehYx7SzCiCDoHrp",4,2,171053,FALSE,"https://api.spotify.com/v1/tracks/6HvMj5XehYx7SzCiCDoHrp",FALSE,"Middle of Somewhere","https://p.scdn.co/mp3-preview/fbc53e55363e68d95b5432c877cee4611815338c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",11,"track","spotify:track:6HvMj5XehYx7SzCiCDoHrp","https://open.spotify.com/track/6HvMj5XehYx7SzCiCDoHrp","Chip Chrome & The Mono-Tones (Deluxe)","A","minor","A minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.205,0.739,6,-13.072,1,0.0546,0.961,0.937,0.339,0.0385,79.988,"4Kt8Z1uo9Y0MXog8Y44ih9","https://api.spotify.com/v1/audio-analysis/4Kt8Z1uo9Y0MXog8Y44ih9",4,1,31045,FALSE,"https://api.spotify.com/v1/tracks/4Kt8Z1uo9Y0MXog8Y44ih9",FALSE,"Chip Chrome","https://p.scdn.co/mp3-preview/7c57db3700a468c5d9d02154f01e47153ec90305?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:4Kt8Z1uo9Y0MXog8Y44ih9","https://open.spotify.com/track/4Kt8Z1uo9Y0MXog8Y44ih9","Chip Chrome & The Mono-Tones","F#","major","F# major"
