"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.586,0.882,4,-3.482,1,0.0834,0.000982,4.07e-06,0.0357,0.709,113.077,"5H7QPBwR6xknDMV21vlwCu","https://api.spotify.com/v1/audio-analysis/5H7QPBwR6xknDMV21vlwCu",4,1,226735,FALSE,"https://api.spotify.com/v1/tracks/5H7QPBwR6xknDMV21vlwCu",FALSE,"Angry",NA,1,"track","spotify:track:5H7QPBwR6xknDMV21vlwCu","https://open.spotify.com/track/5H7QPBwR6xknDMV21vlwCu","Hackney Diamonds (Live Edition)","E","major","E major"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.451,0.936,7,-3.39,1,0.0818,0.00253,0,0.0764,0.634,155.553,"2VWevFd6JcKc61cW45y1b3","https://api.spotify.com/v1/audio-analysis/2VWevFd6JcKc61cW45y1b3",4,1,250723,FALSE,"https://api.spotify.com/v1/tracks/2VWevFd6JcKc61cW45y1b3",FALSE,"Get Close",NA,2,"track","spotify:track:2VWevFd6JcKc61cW45y1b3","https://open.spotify.com/track/2VWevFd6JcKc61cW45y1b3","Hackney Diamonds (Live Edition)","G","major","G major"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.464,0.787,7,-4.201,1,0.0271,0.00452,2.4e-05,0.189,0.344,81.486,"7D5HCLMsZhWgf4ezMX9EFk","https://api.spotify.com/v1/audio-analysis/7D5HCLMsZhWgf4ezMX9EFk",4,1,243001,FALSE,"https://api.spotify.com/v1/tracks/7D5HCLMsZhWgf4ezMX9EFk",FALSE,"Depending On You",NA,3,"track","spotify:track:7D5HCLMsZhWgf4ezMX9EFk","https://open.spotify.com/track/7D5HCLMsZhWgf4ezMX9EFk","Hackney Diamonds (Live Edition)","G","major","G major"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.397,0.997,2,-2.417,1,0.244,1.96e-05,5.32e-05,0.114,0.247,143.158,"06hopt34laOSnkwAnETrBE","https://api.spotify.com/v1/audio-analysis/06hopt34laOSnkwAnETrBE",4,1,211597,TRUE,"https://api.spotify.com/v1/tracks/06hopt34laOSnkwAnETrBE",FALSE,"Bite My Head Off",NA,4,"track","spotify:track:06hopt34laOSnkwAnETrBE","https://open.spotify.com/track/06hopt34laOSnkwAnETrBE","Hackney Diamonds (Live Edition)","D","major","D major"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.484,0.97,7,-2.454,0,0.111,0.00282,0,0.362,0.526,136.126,"2W6h0f00ZfjBbWtPLoPqTe","https://api.spotify.com/v1/audio-analysis/2W6h0f00ZfjBbWtPLoPqTe",4,1,238150,FALSE,"https://api.spotify.com/v1/tracks/2W6h0f00ZfjBbWtPLoPqTe",FALSE,"Whole Wide World",NA,5,"track","spotify:track:2W6h0f00ZfjBbWtPLoPqTe","https://open.spotify.com/track/2W6h0f00ZfjBbWtPLoPqTe","Hackney Diamonds (Live Edition)","G","minor","G minor"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.508,0.671,7,-5.326,1,0.0339,0.14,0,0.144,0.418,119.923,"079efDl8tFsOadU5BYLHg3","https://api.spotify.com/v1/audio-analysis/079efDl8tFsOadU5BYLHg3",1,1,278136,FALSE,"https://api.spotify.com/v1/tracks/079efDl8tFsOadU5BYLHg3",FALSE,"Dreamy Skies",NA,6,"track","spotify:track:079efDl8tFsOadU5BYLHg3","https://open.spotify.com/track/079efDl8tFsOadU5BYLHg3","Hackney Diamonds (Live Edition)","G","major","G major"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.64,0.981,11,-3.311,0,0.0452,0.000278,3.23e-06,0.0768,0.818,123.015,"4qMcsg2rbhn9U6GKSCC5iA","https://api.spotify.com/v1/audio-analysis/4qMcsg2rbhn9U6GKSCC5iA",4,1,243687,FALSE,"https://api.spotify.com/v1/tracks/4qMcsg2rbhn9U6GKSCC5iA",FALSE,"Mess It Up",NA,7,"track","spotify:track:4qMcsg2rbhn9U6GKSCC5iA","https://open.spotify.com/track/4qMcsg2rbhn9U6GKSCC5iA","Hackney Diamonds (Live Edition)","B","minor","B minor"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.544,0.977,4,-3.473,1,0.051,0.00177,8.3e-06,0.0677,0.862,127.3,"1mgjbt1Q3QZpeej3XHNcD1","https://api.spotify.com/v1/audio-analysis/1mgjbt1Q3QZpeej3XHNcD1",4,1,239001,FALSE,"https://api.spotify.com/v1/tracks/1mgjbt1Q3QZpeej3XHNcD1",FALSE,"Live By The Sword",NA,8,"track","spotify:track:1mgjbt1Q3QZpeej3XHNcD1","https://open.spotify.com/track/1mgjbt1Q3QZpeej3XHNcD1","Hackney Diamonds (Live Edition)","E","major","E major"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.502,0.954,9,-2.766,1,0.0458,0.000431,6.38e-06,0.113,0.717,105.674,"5OAdz5gsfuV2sWkfhSjWXG","https://api.spotify.com/v1/audio-analysis/5OAdz5gsfuV2sWkfhSjWXG",4,1,196301,FALSE,"https://api.spotify.com/v1/tracks/5OAdz5gsfuV2sWkfhSjWXG",FALSE,"Driving Me Too Hard",NA,9,"track","spotify:track:5OAdz5gsfuV2sWkfhSjWXG","https://open.spotify.com/track/5OAdz5gsfuV2sWkfhSjWXG","Hackney Diamonds (Live Edition)","A","major","A major"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","5rFsKSgldStbYgO4CNygLn","album","2023-12-15",2023,"day",0.594,0.762,0,-6.721,1,0.0249,0.0528,1.57e-05,0.105,0.455,90.382,"70QUo6PbZYyLwTlIKpPGTl","https://api.spotify.com/v1/audio-analysis/70QUo6PbZYyLwTlIKpPGTl",4,1,176872,FALSE,"https://api.spotify.com/v1/tracks/70QUo6PbZYyLwTlIKpPGTl",FALSE,"Tell Me Straight",NA,10,"track","spotify:track:70QUo6PbZYyLwTlIKpPGTl","https://open.spotify.com/track/70QUo6PbZYyLwTlIKpPGTl","Hackney Diamonds (Live Edition)","C","major","C major"
