"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.505,0.909,2,-4.316,1,0.0622,0.000179,0,0.0922,0.457,160.051,"1QTQ3VNzabl4yF5GJE6hhK","https://api.spotify.com/v1/audio-analysis/1QTQ3VNzabl4yF5GJE6hhK",4,1,206640,TRUE,"https://api.spotify.com/v1/tracks/1QTQ3VNzabl4yF5GJE6hhK",FALSE,"So Called Life","https://p.scdn.co/mp3-preview/f875f18364f283a8ae1a9f8e860815021a7208e2?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:1QTQ3VNzabl4yF5GJE6hhK","https://open.spotify.com/track/1QTQ3VNzabl4yF5GJE6hhK","EXPLOSIONS","D","major","D major"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.301,0.826,0,-2.816,0,0.0897,3.38e-05,0,0.17,0.736,119.015,"2zIyWLmiA8ka9Si6x1D4oW","https://api.spotify.com/v1/audio-analysis/2zIyWLmiA8ka9Si6x1D4oW",4,1,175733,FALSE,"https://api.spotify.com/v1/tracks/2zIyWLmiA8ka9Si6x1D4oW",FALSE,"I Am The Weapon","https://p.scdn.co/mp3-preview/089373f5b645f2f9291ce2e5d7b1ebfc33baadd8?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:2zIyWLmiA8ka9Si6x1D4oW","https://open.spotify.com/track/2zIyWLmiA8ka9Si6x1D4oW","EXPLOSIONS","C","minor","C minor"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.471,0.803,4,-3.126,0,0.0384,5.84e-05,7.22e-06,0.11,0.237,142.92,"6JfNf81zML3XVFXZbbtyZ8","https://api.spotify.com/v1/audio-analysis/6JfNf81zML3XVFXZbbtyZ8",4,1,197253,FALSE,"https://api.spotify.com/v1/tracks/6JfNf81zML3XVFXZbbtyZ8",FALSE,"Neurotic (feat. Lukas Rossi)","https://p.scdn.co/mp3-preview/3a8b51d3b75ca1441bce748a1ad0b029c3768083?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:6JfNf81zML3XVFXZbbtyZ8","https://open.spotify.com/track/6JfNf81zML3XVFXZbbtyZ8","EXPLOSIONS","E","minor","E minor"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.413,0.684,8,-2.878,1,0.0348,0.0012,0,0.16,0.33,129.975,"19dNZyDyw00aKgr6S0Os6e","https://api.spotify.com/v1/audio-analysis/19dNZyDyw00aKgr6S0Os6e",4,1,176226,FALSE,"https://api.spotify.com/v1/tracks/19dNZyDyw00aKgr6S0Os6e",FALSE,"Lifetime","https://p.scdn.co/mp3-preview/6a3be864f0271ae1144571808f2158ff9d70eca6?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:19dNZyDyw00aKgr6S0Os6e","https://open.spotify.com/track/19dNZyDyw00aKgr6S0Os6e","EXPLOSIONS","G#","major","G# major"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.415,0.85,7,-3.011,1,0.0567,0.00198,0,0.166,0.567,176.003,"1D0uASSRfovQ6kpR4EDC52","https://api.spotify.com/v1/audio-analysis/1D0uASSRfovQ6kpR4EDC52",4,1,213333,FALSE,"https://api.spotify.com/v1/tracks/1D0uASSRfovQ6kpR4EDC52",FALSE,"A Scar Is Born","https://p.scdn.co/mp3-preview/43f2b7bc5f372492070cd6c56297aa78911b241e?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:1D0uASSRfovQ6kpR4EDC52","https://open.spotify.com/track/1D0uASSRfovQ6kpR4EDC52","EXPLOSIONS","G","major","G major"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.477,0.77,9,-5.009,0,0.0507,0.0285,1.34e-05,0.152,0.275,129.916,"2yAp8pjM1CoRcNXkLTr4Ci","https://api.spotify.com/v1/audio-analysis/2yAp8pjM1CoRcNXkLTr4Ci",4,1,190133,FALSE,"https://api.spotify.com/v1/tracks/2yAp8pjM1CoRcNXkLTr4Ci",FALSE,"Souvenirs","https://p.scdn.co/mp3-preview/d4288705cca10b55f931909fdf230cdbf1cb63da?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:2yAp8pjM1CoRcNXkLTr4Ci","https://open.spotify.com/track/2yAp8pjM1CoRcNXkLTr4Ci","EXPLOSIONS","A","minor","A minor"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.514,0.854,8,-2.39,0,0.0286,0.000133,0,0.195,0.599,107.03,"2V986dOZpVnD4AUmrKyeUW","https://api.spotify.com/v1/audio-analysis/2V986dOZpVnD4AUmrKyeUW",4,1,172880,FALSE,"https://api.spotify.com/v1/tracks/2V986dOZpVnD4AUmrKyeUW",FALSE,"No Tomorrow","https://p.scdn.co/mp3-preview/5716887154f9858bd60f2cd8aae648331bb9bcc0?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:2V986dOZpVnD4AUmrKyeUW","https://open.spotify.com/track/2V986dOZpVnD4AUmrKyeUW","EXPLOSIONS","G#","minor","G# minor"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.616,0.863,9,-2.808,1,0.0454,0.00578,0,0.304,0.288,113.009,"5ElQVSkRuOzqKyLS9OdSLa","https://api.spotify.com/v1/audio-analysis/5ElQVSkRuOzqKyLS9OdSLa",4,1,190800,FALSE,"https://api.spotify.com/v1/tracks/5ElQVSkRuOzqKyLS9OdSLa",FALSE,"Redemption","https://p.scdn.co/mp3-preview/193a91302c0541e5a619349dd33eff07c19cd732?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:5ElQVSkRuOzqKyLS9OdSLa","https://open.spotify.com/track/5ElQVSkRuOzqKyLS9OdSLa","EXPLOSIONS","A","major","A major"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.281,0.831,11,-3.683,1,0.0853,0.000365,0,0.223,0.727,89.949,"6WAdhhkGbsPKfa1eDfpTNU","https://api.spotify.com/v1/audio-analysis/6WAdhhkGbsPKfa1eDfpTNU",4,1,181546,FALSE,"https://api.spotify.com/v1/tracks/6WAdhhkGbsPKfa1eDfpTNU",FALSE,"Champion","https://p.scdn.co/mp3-preview/03b06dfad22e986f07980a8c382e3c65ef2dd54e?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:6WAdhhkGbsPKfa1eDfpTNU","https://open.spotify.com/track/6WAdhhkGbsPKfa1eDfpTNU","EXPLOSIONS","B","major","B major"
"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj","4drZZN0HTkJzcdlPmmQyqG","album","2022-05-06",2022,"day",0.255,0.858,7,-3.927,1,0.0696,0.00123,0,0.48,0.206,82.499,"0uv1kVvx32HL4Gb9yP5qjq","https://api.spotify.com/v1/audio-analysis/0uv1kVvx32HL4Gb9yP5qjq",4,1,185546,FALSE,"https://api.spotify.com/v1/tracks/0uv1kVvx32HL4Gb9yP5qjq",FALSE,"Chain of Abuse","https://p.scdn.co/mp3-preview/bf5cdeee0325c0238fad0c53c13f06aa13677d7f?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:0uv1kVvx32HL4Gb9yP5qjq","https://open.spotify.com/track/0uv1kVvx32HL4Gb9yP5qjq","EXPLOSIONS","G","major","G major"
