"id","name","popularity","followers.total","genre"
"5aIqB5nVVvmFsvSdExz408","Johann Sebastian Bach",78,4267449,"classical"
"2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi",79,3373568,"classical"
"4NJhFmfw43RLBLjQvxDuRS","Wolfgang Amadeus Mozart",75,5312072,"classical"
"5yxyJsFanEAuwSM5kOuZKc","London Symphony Orchestra",73,294954,"classical"
"7y97mc3bZRFXzT2szRM4L4","Frédéric Chopin",73,3224355,"classical"
"2wOqMjp9TyABvtHdOSOTUS","Ludwig van Beethoven",72,5184038,"classical"
"6uRJnvQ3f8whVnmeoecv5Z","Berliner Philharmoniker",71,209109,"classical"
"7nzSoJISlVJsn7O0yTeMOB","Joe Hisaishi",70,1163406,"classical"
"1Uff91EOsvd99rtAupatMP","Claude Debussy",69,1512906,"classical"
"2QOIawHpSlOwXDvSqQ9YJR","Antonio Vivaldi",71,2436323,"classical"
"3MKCzCnpzw3TjUYs2v7vDA","Pyotr Ilyich Tchaikovsky",68,1311363,"classical"
"5Dl3HXZjG6ZOWT5cV375lk","Yo-Yo Ma",66,588932,"classical"
"0OcclcP5o8VKH2TRqSY2A7","Howard Shore",67,439018,"classical"
"3pO5VjZ4wOHCMBXOvbMISG","Antônio Carlos Jobim",69,700256,"classical"
"5wTAi7QkpP6kp8a54lmTOq","Johannes Brahms",67,953309,"classical"
"459INk8vcC0ebEef82WjIK","Erik Satie",66,813922,"classical"
"3EA9hVIzKfFiQI0Kikz2wo","Andrea Bocelli",69,2685020,"classical"
"5zCaQxjl110XTrm4LQ1CxY","Herbert von Karajan",68,167793,"classical"
"436sYg6CZhNefQJogaXeK0","Camille Saint-Saëns",65,376443,"classical"
"77CaCn32H4mOMQA7UElzfF","Academy of St. Martin in the Fields",66,53964,"classical"
"003f4bk13c6Q3gAUXv7dGJ","Wiener Philharmoniker",67,129736,"classical"
"3V79CTgRnsDdJSTqKitROv","Nobuo Uematsu",63,308780,"classical"
"6NUhQz7eAEsZvjEHTKHux9","Sir Neville Marriner",65,29544,"classical"
"1QL7yTHrdahRMpvNtn6rI2","George Frideric Handel",65,897961,"classical"
"3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson",65,272963,"classical"
"4W3fa7tiXGVXl3KilbACqt","Gustavo Santaolalla",65,329678,"classical"
"0Kekt6CKSo0m5mivKcoH51","Sergei Rachmaninoff",64,707125,"classical"
"1YZhNFBxkEB5UKTgMDvot4","Lang Lang",64,272312,"classical"
"1k1AM2ESRQseVAj6rvBdtx","I Virtuosi Italiani",66,10810,"classical"
"5M86PSFFaRNTKidvlgHDEE","Henry Smith",64,19325,"classical"
"0fauHpmSHwodVYIjTqOGHz","Yiruma",66,1110068,"classical"
"0iqgjl0OG3z53PZVIB7ZyD","Víkingur Ólafsson",62,79552,"classical"
"5ihY290YPGc3aY2xTyx7Gy","Edvard Grieg",63,523655,"classical"
"7E3BRXV9ZbCt5lQTCXMTia","Ólafur Arnalds",64,791425,"classical"
"2LmyJyCF5V1eQyvHgJNbTn","Leonard Bernstein",61,220324,"classical"
"2gClsBep1tt1rv1CN210SO","Gabriel Fauré",61,198437,"classical"
"2p0UyoPfYfI76PCStuXfOP","Franz Schubert",63,1090676,"classical"
"4GQwgdcDQwqtcHICjUNndp","Sir Simon Rattle",62,50992,"classical"
"1385hLNbrnbCJGokfH2ac2","Franz Liszt",62,800698,"classical"
"78sEozQOEJxzXegUuqRSgH","Daniel Barenboim",63,125561,"classical"
"6n7nd5iceYpXVwcx8VPpxF","Antonín Dvořák",62,607994,"classical"
"58R31AvN8JMHM7xkNpVLjX","Alexis Ffrench",62,156534,"classical"
"1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet",59,34379,"classical"
"6MF58APd3YV72Ln2eVg710","Felix Mendelssohn",62,525610,"classical"
"0hIG9FXgjQxT8fKaYceFbA","Itzhak Perlman",61,144627,"classical"
"6HclTVD03WSY6GUpN16BkP","Claudio Abbado",63,53225,"classical"
"69lxxQvsfAIoQbB20bEPFC","Philip Glass",60,621669,"classical"
"3uOCouLFR4bVx0XeiQJSbl","Harold Budd",58,96760,"classical"
"2VKfXEWzhUi9siHBDTI02Y","Joep Beving",60,259676,"classical"
"1tcgfoMTT1szjUeaikxRjA","Ryuichi Sakamoto",62,928268,"classical"
