"id","name","popularity","followers.total","genre"
"4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen",88,8986087,"country"
"40ZNYROS4zLfyyBSs2PGe2","Zach Bryan",88,3649457,"country"
"718COspgdWOnwOFpJHRZHS","Luke Combs",84,10283656,"country"
"4YLtscXsxbVgi031ovDDdh","Chris Stapleton",81,6828662,"country"
"70kkdajctXSbqSMJbQO424","Kacey Musgraves",80,1380842,"country"
"19k8AgwwTSxeaxkOuCQEJs","Jelly Roll",78,3357958,"country"
"13ZEDW6vyBF12HYcZRr4EV","Tyler Childers",77,2331985,"country"
"3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival",81,6441411,"country"
"0BvkDsjIUla7X0k6CSWh1I","Luke Bryan",76,8509638,"country"
"6zLBxLdl60ekBLpawtT63I","Cody Johnson",75,1210687,"country"
"3win9vGIxFfBRag9S63wwf","Bailey Zimmerman",75,1043932,"country"
"5QNm7E7RU2m64l6Gliu8Oy","HARDY",74,842500,"country"
"3FfvYsEGaIb52QPXhg4DcH","Jason Aldean",74,6314659,"country"
"77kULmXAQ6vWer7IIHdGzI","Jordan Davis",74,1195484,"country"
"4MoAOfV4ROWofLG3a3hhBN","Jon Pardi",74,1940633,"country"
"2bA6fzP0lMAQ4kz6CF61w8","Toby Keith",73,2322989,"country"
"2IvkS5MXK0vPGnwyJsrEyV","Eric Church",73,3795488,"country"
"5vngPClqofybhPERIqQMYd","George Strait",73,4205385,"country"
"3oSJ7TBVCWMDMiYjXNiCKE","Kane Brown",74,5327080,"country"
"3grHWM9bx2E9vwJCdlRv9O","Kenny Chesney",72,4361285,"country"
"3b8QkneNDz4JHKKKlLgYZg","Florida Georgia Line",74,5354115,"country"
"6x2LnllRG5uGarZMsD4iO8","Thomas Rhett",73,4647879,"country"
"6yJCxee7QumYr820xdIsjo","Zac Brown Band",72,3740611,"country"
"2yLzlEFtIS0Q9UkyBZdQA7","Jessie Murph",73,915418,"country"
"6tPHARSq45lQ8BSALCfkFC","Lainey Wilson",72,624878,"country"
"6roFdX1y5BYSbp60OTJWMd","Tim McGraw",72,4452191,"country"
"3444S3C4U9Ts86BnCtSPRV","Treaty Oak Revival",70,155145,"country"
"5W5bDNCqJ1jbCgTxDD0Cb3","Willie Nelson",73,2152698,"country"
"32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton",75,2426568,"country"
"6kACVPfCOnqzgfEF5ryl0x","Johnny Cash",74,6141896,"country"
"78YqeIji3mgAS2K1Maca6x","Dylan Scott",71,1625985,"country"
"2QMsj4XJ7ne2hojxt6v5eb","Riley Green",70,719506,"country"
"4mxWe1mtYIYfP040G38yvS","Alan Jackson",72,2625797,"country"
"1Tie3AZgLQZqYEp8Fv4zOZ","Koe Wetzel",68,647722,"country"
"0ChjBYedhZTQnWZWQYg15U","Bryan Martin",70,145244,"country"
"4xFUf1FHVy696Q1JQZMTRj","Carrie Underwood",70,5873819,"country"
"3xYXYzm9H3RzyQgBrYwIcx","Colter Wall",70,1254776,"country"
"5Ppie0uPnbnvGBYRwYmlt0","Megan Moroney",69,295574,"country"
"7kplJl06UmldxLKseURAYi","Warren Zeiders",70,618453,"country"
"0XKOBt59crntr7HQXXO8Yz","Brooks & Dunn",70,2821173,"country"
"2kucQ9jQwuD8jWdtR9Ef38","Sam Hunt",70,2279947,"country"
"6y8XlgIV8BLlIg1tT1R10i","Old Dominion",69,1490935,"country"
"0Z8XVUAOBPM4x12wKnFHEQ","Parker McCollum",68,455796,"country"
"7z5WFjZAIYejWy0NI5lv4T","Dan + Shay",71,3129348,"country"
"2pSObt5Fk8izuX8ZfI3jRn","Upchurch",68,1706019,"country"
"1UTPBmNbXNTittyMJrNkvw","Blake Shelton",69,7075345,"country"
"66lH4jAE7pqPlOlzUKbwA0","Miranda Lambert",68,3534501,"country"
"4GGfAshSkqoxpZdoaHm7ky","ERNEST",68,138013,"country"
"5Zq7R5qmi58ByYyBQTlNuk","Lee Brice",68,2201659,"country"
"7x8nK0m0cP2ksQf0mjWdPS","Dierks Bentley",68,3047718,"country"
