"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.391,0.678,10,-8.773,1,0.306,0.273,0.000257,0.0965,0.245,96.221,"4JaTNsbucUxF3FtKqt3IY3","https://api.spotify.com/v1/audio-analysis/4JaTNsbucUxF3FtKqt3IY3",4,1,252093,FALSE,"https://api.spotify.com/v1/tracks/4JaTNsbucUxF3FtKqt3IY3",FALSE,"Strawberry Fields Forever - 2015 Mix",NA,1,"track","spotify:track:4JaTNsbucUxF3FtKqt3IY3","https://open.spotify.com/track/4JaTNsbucUxF3FtKqt3IY3","The Beatles 1967 – 1970 (2023 Edition)","A#","major","A# major"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.647,0.505,9,-8.26,1,0.0351,0.0715,0.00281,0.184,0.682,113.225,"5M8s9X2vuW1tv52uv4meCt","https://api.spotify.com/v1/audio-analysis/5M8s9X2vuW1tv52uv4meCt",4,1,180946,FALSE,"https://api.spotify.com/v1/tracks/5M8s9X2vuW1tv52uv4meCt",FALSE,"Penny Lane - 2017 Mix",NA,2,"track","spotify:track:5M8s9X2vuW1tv52uv4meCt","https://open.spotify.com/track/5M8s9X2vuW1tv52uv4meCt","The Beatles 1967 – 1970 (2023 Edition)","A","major","A major"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.368,0.825,7,-7.758,1,0.0997,0.0308,0.02,0.908,0.524,95.686,"5GuGzaaKHoOR3amXgvT2Pq","https://api.spotify.com/v1/audio-analysis/5GuGzaaKHoOR3amXgvT2Pq",4,1,122120,FALSE,"https://api.spotify.com/v1/tracks/5GuGzaaKHoOR3amXgvT2Pq",FALSE,"Sgt. Pepper's Lonely Hearts Club Band - 2017 Mix",NA,3,"track","spotify:track:5GuGzaaKHoOR3amXgvT2Pq","https://open.spotify.com/track/5GuGzaaKHoOR3amXgvT2Pq","The Beatles 1967 – 1970 (2023 Edition)","G","major","G major"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.673,0.586,4,-7.946,1,0.0302,0.133,0,0.252,0.732,112.24,"0Q6YQlQHdFd6NfXjcHtijM","https://api.spotify.com/v1/audio-analysis/0Q6YQlQHdFd6NfXjcHtijM",4,1,164373,FALSE,"https://api.spotify.com/v1/tracks/0Q6YQlQHdFd6NfXjcHtijM",FALSE,"With A Little Help From My Friends - 2017 Mix",NA,4,"track","spotify:track:0Q6YQlQHdFd6NfXjcHtijM","https://open.spotify.com/track/0Q6YQlQHdFd6NfXjcHtijM","The Beatles 1967 – 1970 (2023 Edition)","E","major","E major"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.244,0.539,11,-6.984,0,0.0457,0.154,0,0.182,0.429,187.861,"4GX8I8c7gMZn7mZFM9QAs0","https://api.spotify.com/v1/audio-analysis/4GX8I8c7gMZn7mZFM9QAs0",4,1,210453,FALSE,"https://api.spotify.com/v1/tracks/4GX8I8c7gMZn7mZFM9QAs0",FALSE,"Lucy In The Sky With Diamonds - 2017 Mix",NA,5,"track","spotify:track:4GX8I8c7gMZn7mZFM9QAs0","https://open.spotify.com/track/4GX8I8c7gMZn7mZFM9QAs0","The Beatles 1967 – 1970 (2023 Edition)","B","minor","B minor"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.294,0.508,6,-9.504,1,0.0342,0.472,0.00033,0.0786,0.324,125.012,"6TiJhvluwaDgyymGDY2y3m","https://api.spotify.com/v1/audio-analysis/6TiJhvluwaDgyymGDY2y3m",4,1,311053,FALSE,"https://api.spotify.com/v1/tracks/6TiJhvluwaDgyymGDY2y3m",FALSE,"Within You Without You - 2017 Mix",NA,6,"track","spotify:track:6TiJhvluwaDgyymGDY2y3m","https://open.spotify.com/track/6TiJhvluwaDgyymGDY2y3m","The Beatles 1967 – 1970 (2023 Edition)","F#","major","F# major"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.352,0.359,4,-12.626,0,0.0285,0.184,0.000271,0.118,0.215,79.387,"58XoFUU8BAw3HIfMLSIxiL","https://api.spotify.com/v1/audio-analysis/58XoFUU8BAw3HIfMLSIxiL",4,1,307666,FALSE,"https://api.spotify.com/v1/tracks/58XoFUU8BAw3HIfMLSIxiL",FALSE,"A Day In The Life - 2017 Remix",NA,7,"track","spotify:track:58XoFUU8BAw3HIfMLSIxiL","https://open.spotify.com/track/58XoFUU8BAw3HIfMLSIxiL","The Beatles 1967 – 1970 (2023 Edition)","E","minor","E minor"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.401,0.539,7,-8.023,1,0.0342,0.417,1.92e-06,0.255,0.65,102.401,"1oycjiD4UpkHWxlegeYGzB","https://api.spotify.com/v1/audio-analysis/1oycjiD4UpkHWxlegeYGzB",4,1,229480,FALSE,"https://api.spotify.com/v1/tracks/1oycjiD4UpkHWxlegeYGzB",FALSE,"All You Need Is Love - 2015 Mix",NA,8,"track","spotify:track:1oycjiD4UpkHWxlegeYGzB","https://open.spotify.com/track/1oycjiD4UpkHWxlegeYGzB","The Beatles 1967 – 1970 (2023 Edition)","G","major","G major"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.405,0.67,9,-9.234,1,0.0668,0.0476,0,0.28,0.527,87.574,"64djpfqsxS3NG8Mofw3PGT","https://api.spotify.com/v1/audio-analysis/64djpfqsxS3NG8Mofw3PGT",4,1,275733,FALSE,"https://api.spotify.com/v1/tracks/64djpfqsxS3NG8Mofw3PGT",FALSE,"I Am The Walrus - 2023 Mix",NA,9,"track","spotify:track:64djpfqsxS3NG8Mofw3PGT","https://open.spotify.com/track/64djpfqsxS3NG8Mofw3PGT","The Beatles 1967 – 1970 (2023 Edition)","A","major","A major"
"The Beatles","3WrFJ7ztbogyGnTHbHJFl2","2AlPRfYeskAMxhJS00xjeP","album","2023-11-10",2023,"day",0.495,0.75,0,-7.239,1,0.0257,0.381,7.69e-06,0.269,0.659,99.32,"4DbwxGR1g52bhICLYdVjK1","https://api.spotify.com/v1/audio-analysis/4DbwxGR1g52bhICLYdVjK1",4,1,209706,FALSE,"https://api.spotify.com/v1/tracks/4DbwxGR1g52bhICLYdVjK1",FALSE,"Hello, Goodbye - 2015 Mix",NA,10,"track","spotify:track:4DbwxGR1g52bhICLYdVjK1","https://open.spotify.com/track/4DbwxGR1g52bhICLYdVjK1","The Beatles 1967 – 1970 (2023 Edition)","C","major","C major"
