"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.455,0.79,7,-4.049,1,0.0432,3.78e-06,0.00021,0.0866,0.22,125.964,"4JDjZ2AzlHnde5uUy0TveV","https://api.spotify.com/v1/audio-analysis/4JDjZ2AzlHnde5uUy0TveV",4,1,217466,FALSE,"https://api.spotify.com/v1/tracks/4JDjZ2AzlHnde5uUy0TveV",FALSE,"Realize","https://p.scdn.co/mp3-preview/48ea493477e37bf477c49bc56ad8aed99c294ec5?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",1,"track","spotify:track:4JDjZ2AzlHnde5uUy0TveV","https://open.spotify.com/track/4JDjZ2AzlHnde5uUy0TveV","POWER UP","G","major","G major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.526,0.871,7,-4.132,1,0.032,1.74e-05,0.000142,0.0573,0.745,109.82,"4gLrfXB3CgRlIPH7KTVKA4","https://api.spotify.com/v1/audio-analysis/4gLrfXB3CgRlIPH7KTVKA4",4,1,246466,FALSE,"https://api.spotify.com/v1/tracks/4gLrfXB3CgRlIPH7KTVKA4",FALSE,"Rejection","https://p.scdn.co/mp3-preview/aa38c30be639d549b519f9b346f0622dc34ebf4e?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",2,"track","spotify:track:4gLrfXB3CgRlIPH7KTVKA4","https://open.spotify.com/track/4gLrfXB3CgRlIPH7KTVKA4","POWER UP","G","major","G major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.599,0.787,2,-4.708,1,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,"0sfdiwck2xr4PteGOdyOfz","https://api.spotify.com/v1/audio-analysis/0sfdiwck2xr4PteGOdyOfz",4,1,185133,FALSE,"https://api.spotify.com/v1/tracks/0sfdiwck2xr4PteGOdyOfz",FALSE,"Shot In The Dark","https://p.scdn.co/mp3-preview/7fdcc89d5c784aec562e4fce16cc705853bceb9c?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",3,"track","spotify:track:0sfdiwck2xr4PteGOdyOfz","https://open.spotify.com/track/0sfdiwck2xr4PteGOdyOfz","POWER UP","D","major","D major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.57,0.753,9,-5.98,1,0.0365,1.62e-06,0.627,0.133,0.477,119.99,"3FR2w9O5i9q3unY3gyjq6E","https://api.spotify.com/v1/audio-analysis/3FR2w9O5i9q3unY3gyjq6E",4,1,212226,FALSE,"https://api.spotify.com/v1/tracks/3FR2w9O5i9q3unY3gyjq6E",FALSE,"Through The Mists Of Time","https://p.scdn.co/mp3-preview/32b401c663430e2bdc576d27407e0b43cd2b9d92?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",4,"track","spotify:track:3FR2w9O5i9q3unY3gyjq6E","https://open.spotify.com/track/3FR2w9O5i9q3unY3gyjq6E","POWER UP","A","major","A major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.675,0.93,0,-4.515,1,0.0319,8.32e-05,0.000454,0.315,0.778,110.013,"0Kq6RzOqkHxnfiA9OGqReU","https://api.spotify.com/v1/audio-analysis/0Kq6RzOqkHxnfiA9OGqReU",4,1,190333,FALSE,"https://api.spotify.com/v1/tracks/0Kq6RzOqkHxnfiA9OGqReU",FALSE,"Kick You When You're Down","https://p.scdn.co/mp3-preview/6ab68bb1db04b231c63d717848a19a7976432a27?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",5,"track","spotify:track:0Kq6RzOqkHxnfiA9OGqReU","https://open.spotify.com/track/0Kq6RzOqkHxnfiA9OGqReU","POWER UP","C","major","C major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.616,0.801,9,-4.39,1,0.0342,0.000165,3.97e-05,0.11,0.4,120.029,"06hy0gi5aLXcWRjnj9fgoh","https://api.spotify.com/v1/audio-analysis/06hy0gi5aLXcWRjnj9fgoh",4,1,222253,FALSE,"https://api.spotify.com/v1/tracks/06hy0gi5aLXcWRjnj9fgoh",FALSE,"Witch's Spell","https://p.scdn.co/mp3-preview/15b3b4babceae67e528c0c36cf1029305e893df5?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",6,"track","spotify:track:06hy0gi5aLXcWRjnj9fgoh","https://open.spotify.com/track/06hy0gi5aLXcWRjnj9fgoh","POWER UP","A","major","A major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.521,0.881,9,-5.309,1,0.0387,4.93e-06,0.0114,0.141,0.564,160.026,"6jtUOVRO4p09Z7E35ERRL7","https://api.spotify.com/v1/audio-analysis/6jtUOVRO4p09Z7E35ERRL7",4,1,210360,FALSE,"https://api.spotify.com/v1/tracks/6jtUOVRO4p09Z7E35ERRL7",FALSE,"Demon Fire","https://p.scdn.co/mp3-preview/7c301b9349362ed0e1071959a3639234464cffe7?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",7,"track","spotify:track:6jtUOVRO4p09Z7E35ERRL7","https://open.spotify.com/track/6jtUOVRO4p09Z7E35ERRL7","POWER UP","A","major","A major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.737,0.709,0,-5.744,1,0.0337,0.00012,0.00294,0.199,0.839,108.016,"1ZyQEn0iceHj0Lbt6I6Op3","https://api.spotify.com/v1/audio-analysis/1ZyQEn0iceHj0Lbt6I6Op3",4,1,174400,FALSE,"https://api.spotify.com/v1/tracks/1ZyQEn0iceHj0Lbt6I6Op3",FALSE,"Wild Reputation","https://p.scdn.co/mp3-preview/3f1bd88828eda1b55c7f9fdd913a7b53b82ef243?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",8,"track","spotify:track:1ZyQEn0iceHj0Lbt6I6Op3","https://open.spotify.com/track/1ZyQEn0iceHj0Lbt6I6Op3","POWER UP","C","major","C major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.49,0.905,0,-4.488,1,0.03,0.000459,0.00934,0.202,0.537,94.988,"3fKXS93P7YOS4xEUnWzkUz","https://api.spotify.com/v1/audio-analysis/3fKXS93P7YOS4xEUnWzkUz",4,1,219640,FALSE,"https://api.spotify.com/v1/tracks/3fKXS93P7YOS4xEUnWzkUz",FALSE,"No Man's Land","https://p.scdn.co/mp3-preview/2fb5115a3d7425c2d921c8f40b28043eb32deda2?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",9,"track","spotify:track:3fKXS93P7YOS4xEUnWzkUz","https://open.spotify.com/track/3fKXS93P7YOS4xEUnWzkUz","POWER UP","C","major","C major"
"AC/DC","711MCceyCBcFnzjGY4Q7Un","3bTNxJYk2bwdWBMtrjBxb0","album","2020-11-13",2020,"day",0.649,0.849,9,-4.502,1,0.0326,1.9e-05,0.0852,0.0949,0.864,116.009,"1uhPCuhxeC9wEYl7smMByK","https://api.spotify.com/v1/audio-analysis/1uhPCuhxeC9wEYl7smMByK",4,1,192640,FALSE,"https://api.spotify.com/v1/tracks/1uhPCuhxeC9wEYl7smMByK",FALSE,"Systems Down","https://p.scdn.co/mp3-preview/4507eee40228e360c4a7f145ed3177706951bfed?cid=8ed1bd4e6f51444f9352f0b25e5a4e50",10,"track","spotify:track:1uhPCuhxeC9wEYl7smMByK","https://open.spotify.com/track/1uhPCuhxeC9wEYl7smMByK","POWER UP","A","major","A major"
