"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","455RzQUwcpDB62Idjqofaw","album","2023-06-23",2023,"day",0.338,0.483,0,-10.514,1,0.0366,0.606,0.00922,0.934,0.478,105.983,"4YQGUz5eb6dfEY7VrWNMD4","https://api.spotify.com/v1/audio-analysis/4YQGUz5eb6dfEY7VrWNMD4",3,1,189996,FALSE,"https://api.spotify.com/v1/tracks/4YQGUz5eb6dfEY7VrWNMD4",FALSE,"(You Make Me Feel Like) A Natural Woman - Live at Berns Salonger - Stockholm May 2nd. 1968 (Restauración 2023)","https://p.scdn.co/mp3-preview/e967dcb5af1eeaa41ccd3ae3f38ddc3a8f497dee?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:4YQGUz5eb6dfEY7VrWNMD4","https://open.spotify.com/track/4YQGUz5eb6dfEY7VrWNMD4","Aretha Franklin Live at Berns Salonger, Stockholm May 2nd. 1968 (Restauración 2023)","C","major","C major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","455RzQUwcpDB62Idjqofaw","album","2023-06-23",2023,"day",0.434,0.926,10,-9.971,1,0.554,0.559,0.115,0.974,0.535,96.083,"42ygNGjiaiU0vTIao3XASp","https://api.spotify.com/v1/audio-analysis/42ygNGjiaiU0vTIao3XASp",4,1,209387,FALSE,"https://api.spotify.com/v1/tracks/42ygNGjiaiU0vTIao3XASp",FALSE,"Come Back Baby - Live at Berns Salonger - Stockholm May 2nd. 1968 [Restauración 2023]","https://p.scdn.co/mp3-preview/a4792c6a5014981e4995081f26afef398498428b?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:42ygNGjiaiU0vTIao3XASp","https://open.spotify.com/track/42ygNGjiaiU0vTIao3XASp","Aretha Franklin Live at Berns Salonger, Stockholm May 2nd. 1968 (Restauración 2023)","A#","major","A# major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","455RzQUwcpDB62Idjqofaw","album","2023-06-23",2023,"day",0.492,0.431,7,-12.807,1,0.071,0.89,0.255,0.956,0.308,108.798,"7KX67okmY02ICdcTPUIeF4","https://api.spotify.com/v1/audio-analysis/7KX67okmY02ICdcTPUIeF4",3,1,313295,FALSE,"https://api.spotify.com/v1/tracks/7KX67okmY02ICdcTPUIeF4",FALSE,"Dr. Feelgood (Love Is A Serious Business) - Live at Berns Salonger - Stockholm May 2nd. 1968 [Restauración 2023]","https://p.scdn.co/mp3-preview/f1238629e2010ffed9b8002fc3814a7ace8a5875?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:7KX67okmY02ICdcTPUIeF4","https://open.spotify.com/track/7KX67okmY02ICdcTPUIeF4","Aretha Franklin Live at Berns Salonger, Stockholm May 2nd. 1968 (Restauración 2023)","G","major","G major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","455RzQUwcpDB62Idjqofaw","album","2023-06-23",2023,"day",0.33,0.839,3,-9.636,1,0.144,0.491,0.24,0.948,0.735,142.968,"0jqVKnt7fAOngFLpj42dsv","https://api.spotify.com/v1/audio-analysis/0jqVKnt7fAOngFLpj42dsv",4,1,141043,FALSE,"https://api.spotify.com/v1/tracks/0jqVKnt7fAOngFLpj42dsv",FALSE,"Since You've Been Gone (Sweet Sweet Baby) - Live at Berns Salonger - Stockholm May 2nd. 1968 [Restauración 2023]","https://p.scdn.co/mp3-preview/b499d5ca9d6096f7298dda6136fb9980c79bba49?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:0jqVKnt7fAOngFLpj42dsv","https://open.spotify.com/track/0jqVKnt7fAOngFLpj42dsv","Aretha Franklin Live at Berns Salonger, Stockholm May 2nd. 1968 (Restauración 2023)","D#","major","D# major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","455RzQUwcpDB62Idjqofaw","album","2023-06-23",2023,"day",0.412,0.581,5,-11.009,1,0.0954,0.714,0.0225,0.781,0.529,114.411,"131L0Cdg7EdaA3yz9qV347","https://api.spotify.com/v1/audio-analysis/131L0Cdg7EdaA3yz9qV347",5,1,255193,FALSE,"https://api.spotify.com/v1/tracks/131L0Cdg7EdaA3yz9qV347",FALSE,"I Never Loved A Man (The Way I Love You) - Live at Berns Salonger - Stockholm May 2nd. 1968 [Restauración 2023]","https://p.scdn.co/mp3-preview/ed2720cd6e384f7ecd978230ea2902556e940cff?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:131L0Cdg7EdaA3yz9qV347","https://open.spotify.com/track/131L0Cdg7EdaA3yz9qV347","Aretha Franklin Live at Berns Salonger, Stockholm May 2nd. 1968 (Restauración 2023)","F","major","F major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","455RzQUwcpDB62Idjqofaw","album","2023-06-23",2023,"day",0.407,0.696,5,-9.66,1,0.0493,0.565,0.0296,0.708,0.52,136.757,"1n0Fa0LAWF8MJLWi31iw0n","https://api.spotify.com/v1/audio-analysis/1n0Fa0LAWF8MJLWi31iw0n",4,1,158133,FALSE,"https://api.spotify.com/v1/tracks/1n0Fa0LAWF8MJLWi31iw0n",FALSE,"Chain Of Fools - Live at Berns Salonger - Stockholm May 2nd. 1968 [Restauración 2023]","https://p.scdn.co/mp3-preview/2ca33f1ce4bbaa931c11f803efc18de225ed0033?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:1n0Fa0LAWF8MJLWi31iw0n","https://open.spotify.com/track/1n0Fa0LAWF8MJLWi31iw0n","Aretha Franklin Live at Berns Salonger, Stockholm May 2nd. 1968 (Restauración 2023)","F","major","F major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","455RzQUwcpDB62Idjqofaw","album","2023-06-23",2023,"day",0.398,0.773,0,-9.499,1,0.0611,0.352,0.0168,0.407,0.59,143.95,"4PX0h8cRfBxZoG9mdgVqOy","https://api.spotify.com/v1/audio-analysis/4PX0h8cRfBxZoG9mdgVqOy",4,1,330377,FALSE,"https://api.spotify.com/v1/tracks/4PX0h8cRfBxZoG9mdgVqOy",FALSE,"Respect - Live at Berns Salonger - Stockholm May 2nd. 1968 [Restauración 2023]","https://p.scdn.co/mp3-preview/cd536805f0a07d94a867838b03a5b30ffed6afb9?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:4PX0h8cRfBxZoG9mdgVqOy","https://open.spotify.com/track/4PX0h8cRfBxZoG9mdgVqOy","Aretha Franklin Live at Berns Salonger, Stockholm May 2nd. 1968 (Restauración 2023)","C","major","C major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.209,0.422,1,-7.435,1,0.035,0.9,1.95e-05,0.172,0.43,86.276,"4CsIk2C5AJrPX95IvXT6bC","https://api.spotify.com/v1/audio-analysis/4CsIk2C5AJrPX95IvXT6bC",3,1,176215,FALSE,"https://api.spotify.com/v1/tracks/4CsIk2C5AJrPX95IvXT6bC",FALSE,"Never Grow Old - Live",NA,1,"track","spotify:track:4CsIk2C5AJrPX95IvXT6bC","https://open.spotify.com/track/4CsIk2C5AJrPX95IvXT6bC","ARETHA","C#","major","C# major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.372,0.453,6,-8.046,1,0.031,0.977,0.00251,0.58,0.486,108.549,"5ta9rG1QmYVMWvw1Shg2zA","https://api.spotify.com/v1/audio-analysis/5ta9rG1QmYVMWvw1Shg2zA",3,1,163600,FALSE,"https://api.spotify.com/v1/tracks/5ta9rG1QmYVMWvw1Shg2zA",FALSE,"You Grow Closer - Live",NA,2,"track","spotify:track:5ta9rG1QmYVMWvw1Shg2zA","https://open.spotify.com/track/5ta9rG1QmYVMWvw1Shg2zA","ARETHA","F#","major","F# major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.546,0.311,2,-9.806,1,0.0424,0.883,9.96e-05,0.0929,0.447,133.982,"7EREzdwiHGFcqgZt3xF9eQ","https://api.spotify.com/v1/audio-analysis/7EREzdwiHGFcqgZt3xF9eQ",3,1,169933,FALSE,"https://api.spotify.com/v1/tracks/7EREzdwiHGFcqgZt3xF9eQ",FALSE,"Today I Sing The Blues","https://p.scdn.co/mp3-preview/c6192c848c8ac0677251f203ed7525f248a5264c?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:7EREzdwiHGFcqgZt3xF9eQ","https://open.spotify.com/track/7EREzdwiHGFcqgZt3xF9eQ","ARETHA","D","major","D major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.7,0.649,5,-6.201,1,0.0863,0.819,1.63e-06,0.167,0.805,90.528,"5hHYNlxMWFwz9VqIi5vu9I","https://api.spotify.com/v1/audio-analysis/5hHYNlxMWFwz9VqIi5vu9I",4,1,177933,FALSE,"https://api.spotify.com/v1/tracks/5hHYNlxMWFwz9VqIi5vu9I",FALSE,"Won't Be Long","https://p.scdn.co/mp3-preview/f9a230ad5fdaeb66b5adfc7939b375cf175adeb2?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:5hHYNlxMWFwz9VqIi5vu9I","https://open.spotify.com/track/5hHYNlxMWFwz9VqIi5vu9I","ARETHA","F","major","F major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.628,0.625,3,-6.633,1,0.135,0.685,0,0.0791,0.953,144.401,"0qlEfa1IwCNGtqToVL4jwI","https://api.spotify.com/v1/audio-analysis/0qlEfa1IwCNGtqToVL4jwI",4,1,161906,FALSE,"https://api.spotify.com/v1/tracks/0qlEfa1IwCNGtqToVL4jwI",FALSE,"Are You Sure","https://p.scdn.co/mp3-preview/a00319bd29317282d3118fd638e94e383dd47209?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:0qlEfa1IwCNGtqToVL4jwI","https://open.spotify.com/track/0qlEfa1IwCNGtqToVL4jwI","ARETHA","D#","major","D# major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.497,0.417,6,-7.226,1,0.029,0.812,0.00309,0.117,0.298,170.079,"0J8cmkGsrmvrs6WYiUH4FJ","https://api.spotify.com/v1/audio-analysis/0J8cmkGsrmvrs6WYiUH4FJ",3,1,180293,FALSE,"https://api.spotify.com/v1/tracks/0J8cmkGsrmvrs6WYiUH4FJ",FALSE,"Operation Heartbreak","https://p.scdn.co/mp3-preview/6e4e4c431610c25056de95a79522dfb76cbc7211?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:0J8cmkGsrmvrs6WYiUH4FJ","https://open.spotify.com/track/0J8cmkGsrmvrs6WYiUH4FJ","ARETHA","F#","major","F# major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.226,0.284,3,-8.269,1,0.032,0.675,0,0.291,0.304,176.173,"0CfAKdlqdShhs9xYFhTQzb","https://api.spotify.com/v1/audio-analysis/0CfAKdlqdShhs9xYFhTQzb",3,1,173693,FALSE,"https://api.spotify.com/v1/tracks/0CfAKdlqdShhs9xYFhTQzb",FALSE,"Skylark","https://p.scdn.co/mp3-preview/30468144b8b140fd6a9da89f53000d82db3466e8?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:0CfAKdlqdShhs9xYFhTQzb","https://open.spotify.com/track/0CfAKdlqdShhs9xYFhTQzb","ARETHA","D#","major","D# major"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.385,0.598,7,-6.397,0,0.0425,0.757,0,0.0992,0.577,159.607,"2R4CfSXMB2D6hzBF9ebZj7","https://api.spotify.com/v1/audio-analysis/2R4CfSXMB2D6hzBF9ebZj7",3,1,154920,FALSE,"https://api.spotify.com/v1/tracks/2R4CfSXMB2D6hzBF9ebZj7",FALSE,"Runnin' Out Of Fools","https://p.scdn.co/mp3-preview/a194b0de5f731d9be29b251cb38bf20eb9e4683b?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:2R4CfSXMB2D6hzBF9ebZj7","https://open.spotify.com/track/2R4CfSXMB2D6hzBF9ebZj7","ARETHA","G","minor","G minor"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.386,0.308,0,-7.237,0,0.0306,0.757,0,0.329,0.63,170.92,"4hEq682Mkz9IiOF93pEokJ","https://api.spotify.com/v1/audio-analysis/4hEq682Mkz9IiOF93pEokJ",4,1,155800,FALSE,"https://api.spotify.com/v1/tracks/4hEq682Mkz9IiOF93pEokJ",FALSE,"One Step Ahead","https://p.scdn.co/mp3-preview/41243af165d220650769d845f2ce498d7ededc36?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:4hEq682Mkz9IiOF93pEokJ","https://open.spotify.com/track/4hEq682Mkz9IiOF93pEokJ","ARETHA","C","minor","C minor"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.418,0.544,0,-5.073,0,0.0271,0.66,1.14e-06,0.0971,0.338,79.689,"5OmGvMEU2MYrFfBWC4Q1gB","https://api.spotify.com/v1/audio-analysis/5OmGvMEU2MYrFfBWC4Q1gB",3,1,189173,FALSE,"https://api.spotify.com/v1/tracks/5OmGvMEU2MYrFfBWC4Q1gB",FALSE,"(No, No) I'm Losing You","https://p.scdn.co/mp3-preview/a4f7dcd76f237e1d8d6c87de91c24cf941b44e3a?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:5OmGvMEU2MYrFfBWC4Q1gB","https://open.spotify.com/track/5OmGvMEU2MYrFfBWC4Q1gB","ARETHA","C","minor","C minor"
"Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","0RemO3TlI1NdaeWqdE4E9H","album","2021-07-30",2021,"day",0.48,0.729,6,-3.566,1,0.0332,0.577,5.16e-06,0.644,0.96,176.84,"14BW7rBg2kK4YGC7kfTHeT","https://api.spotify.com/v1/audio-analysis/14BW7rBg2kK4YGC7kfTHeT",4,1,127866,FALSE,"https://api.spotify.com/v1/tracks/14BW7rBg2kK4YGC7kfTHeT",FALSE,"Cry Like A Baby","https://p.scdn.co/mp3-preview/4babbbfb1c79cfb8525498dfdb8e2ecd392cef8b?cid=a684933cbff543e08213060e872e4bd5",11,"track","spotify:track:14BW7rBg2kK4YGC7kfTHeT","https://open.spotify.com/track/14BW7rBg2kK4YGC7kfTHeT","ARETHA","F#","major","F# major"
