"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.475,0.37,10,-9.471,1,0.0517,0.64,0,0.176,0.354,83.84,"7xTbVQSuLpM1SRIKMcaPCI","https://api.spotify.com/v1/audio-analysis/7xTbVQSuLpM1SRIKMcaPCI",4,1,92400,TRUE,"https://api.spotify.com/v1/tracks/7xTbVQSuLpM1SRIKMcaPCI",FALSE,"intro (end of the world)",NA,1,"track","spotify:track:7xTbVQSuLpM1SRIKMcaPCI","https://open.spotify.com/track/7xTbVQSuLpM1SRIKMcaPCI","eternal sunshine (slightly deluxe)","A#","major","A# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.64,0.662,2,-4.856,0,0.0308,0.209,0,0.155,0.436,110.027,"7aOgyKhHxAhrzTKkLGF3Ha","https://api.spotify.com/v1/audio-analysis/7aOgyKhHxAhrzTKkLGF3Ha",4,1,164927,FALSE,"https://api.spotify.com/v1/tracks/7aOgyKhHxAhrzTKkLGF3Ha",FALSE,"bye",NA,2,"track","spotify:track:7aOgyKhHxAhrzTKkLGF3Ha","https://open.spotify.com/track/7aOgyKhHxAhrzTKkLGF3Ha","eternal sunshine (slightly deluxe)","D","minor","D minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.512,0.729,9,-5.224,0,0.21,0.428,0,0.113,0.532,129.268,"3K6TfJcMDBhZmYrK2oI8If","https://api.spotify.com/v1/audio-analysis/3K6TfJcMDBhZmYrK2oI8If",5,1,174006,TRUE,"https://api.spotify.com/v1/tracks/3K6TfJcMDBhZmYrK2oI8If",FALSE,"don't wanna break up again",NA,3,"track","spotify:track:3K6TfJcMDBhZmYrK2oI8If","https://open.spotify.com/track/3K6TfJcMDBhZmYrK2oI8If","eternal sunshine (slightly deluxe)","A","minor","A minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.554,0.364,9,-13.442,1,0.151,0.9,0.000311,0.145,0.916,121.389,"0go0Gvkh1a57FMud7h1SXd","https://api.spotify.com/v1/audio-analysis/0go0Gvkh1a57FMud7h1SXd",5,1,42166,FALSE,"https://api.spotify.com/v1/tracks/0go0Gvkh1a57FMud7h1SXd",FALSE,"Saturn Returns Interlude",NA,4,"track","spotify:track:0go0Gvkh1a57FMud7h1SXd","https://open.spotify.com/track/0go0Gvkh1a57FMud7h1SXd","eternal sunshine (slightly deluxe)","A","major","A major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.658,0.503,9,-6.885,1,0.102,0.547,0,0.117,0.315,159.934,"4llxVu7gt1uG1zN8EcWwi3","https://api.spotify.com/v1/audio-analysis/4llxVu7gt1uG1zN8EcWwi3",4,1,210200,FALSE,"https://api.spotify.com/v1/tracks/4llxVu7gt1uG1zN8EcWwi3",FALSE,"eternal sunshine",NA,5,"track","spotify:track:4llxVu7gt1uG1zN8EcWwi3","https://open.spotify.com/track/4llxVu7gt1uG1zN8EcWwi3","eternal sunshine (slightly deluxe)","A","major","A major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.591,0.708,8,-6.84,1,0.129,0.103,0,0.129,0.554,76.502,"30eYVvVYrXwVKNCyZ9HpPg","https://api.spotify.com/v1/audio-analysis/30eYVvVYrXwVKNCyZ9HpPg",4,1,163381,FALSE,"https://api.spotify.com/v1/tracks/30eYVvVYrXwVKNCyZ9HpPg",FALSE,"supernatural",NA,6,"track","spotify:track:30eYVvVYrXwVKNCyZ9HpPg","https://open.spotify.com/track/30eYVvVYrXwVKNCyZ9HpPg","eternal sunshine (slightly deluxe)","G#","major","G# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.7,0.535,9,-6.195,0,0.079,0.474,4.02e-06,0.312,0.398,138.037,"72bYIhu9vxqA14xM3j7Max","https://api.spotify.com/v1/audio-analysis/72bYIhu9vxqA14xM3j7Max",4,1,163278,FALSE,"https://api.spotify.com/v1/tracks/72bYIhu9vxqA14xM3j7Max",FALSE,"true story",NA,7,"track","spotify:track:72bYIhu9vxqA14xM3j7Max","https://open.spotify.com/track/72bYIhu9vxqA14xM3j7Max","eternal sunshine (slightly deluxe)","A","minor","A minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.787,0.631,7,-5.829,0,0.0487,0.151,0,0.0762,0.408,97.991,"19nGr45kS0vRbuWeEnarRW","https://api.spotify.com/v1/audio-analysis/19nGr45kS0vRbuWeEnarRW",4,1,173639,TRUE,"https://api.spotify.com/v1/tracks/19nGr45kS0vRbuWeEnarRW",FALSE,"the boy is mine",NA,8,"track","spotify:track:19nGr45kS0vRbuWeEnarRW","https://open.spotify.com/track/19nGr45kS0vRbuWeEnarRW","eternal sunshine (slightly deluxe)","G","minor","G minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.785,0.761,1,-6.55,1,0.0538,0.205,4.63e-05,0.102,0.795,119.052,"5Hqo6dHSTPilabNfzZ3MyP","https://api.spotify.com/v1/audio-analysis/5Hqo6dHSTPilabNfzZ3MyP",4,1,214994,TRUE,"https://api.spotify.com/v1/tracks/5Hqo6dHSTPilabNfzZ3MyP",FALSE,"yes, and?",NA,9,"track","spotify:track:5Hqo6dHSTPilabNfzZ3MyP","https://open.spotify.com/track/5Hqo6dHSTPilabNfzZ3MyP","eternal sunshine (slightly deluxe)","C#","major","C# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2","album","2024-03-11",2024,"day",0.646,0.638,5,-8.285,1,0.041,0.0641,1.19e-05,0.0751,0.307,115.85,"3nH6JdYvrM7cnLT7xMrEKX","https://api.spotify.com/v1/audio-analysis/3nH6JdYvrM7cnLT7xMrEKX",4,1,228639,FALSE,"https://api.spotify.com/v1/tracks/3nH6JdYvrM7cnLT7xMrEKX",FALSE,"we can't be friends (wait for your love)",NA,10,"track","spotify:track:3nH6JdYvrM7cnLT7xMrEKX","https://open.spotify.com/track/3nH6JdYvrM7cnLT7xMrEKX","eternal sunshine (slightly deluxe)","F","major","F major"
