"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.59,0.628,7,-5.915,1,0.0316,0.166,3.11e-06,0.0919,0.268,143.979,"4JyfG2WBcDjlc8TODyBIbx","https://api.spotify.com/v1/audio-analysis/4JyfG2WBcDjlc8TODyBIbx",4,1,232795,FALSE,"https://api.spotify.com/v1/tracks/4JyfG2WBcDjlc8TODyBIbx",FALSE,"2NDO CHANCE","https://p.scdn.co/mp3-preview/6f38c8d5035bd28cdd362cbc60bc1193bf107e64?cid=7a1d4f939a1f4e9989be940adaeb2999",1,"track","spotify:track:4JyfG2WBcDjlc8TODyBIbx","https://open.spotify.com/track/4JyfG2WBcDjlc8TODyBIbx","ESQUINAS","G","major","G major"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.43,0.453,1,-5.682,1,0.0265,0.611,0,0.0729,0.171,78.12,"6eL3Q0m0VJkbCyKAmvYTEy","https://api.spotify.com/v1/audio-analysis/6eL3Q0m0VJkbCyKAmvYTEy",3,1,186834,FALSE,"https://api.spotify.com/v1/tracks/6eL3Q0m0VJkbCyKAmvYTEy",FALSE,"CRIES IN SPANISH","https://p.scdn.co/mp3-preview/8100fe3e177dacb2e8d2ae22c61bb61ac3d14951?cid=7a1d4f939a1f4e9989be940adaeb2999",2,"track","spotify:track:6eL3Q0m0VJkbCyKAmvYTEy","https://open.spotify.com/track/6eL3Q0m0VJkbCyKAmvYTEy","ESQUINAS","C#","major","C# major"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.508,0.586,0,-4.532,1,0.0361,0.513,0,0.152,0.697,74.419,"2c1PXctrxMCsvYgMhbztVe","https://api.spotify.com/v1/audio-analysis/2c1PXctrxMCsvYgMhbztVe",4,1,178377,FALSE,"https://api.spotify.com/v1/tracks/2c1PXctrxMCsvYgMhbztVe",FALSE,"BIEN CANIJO","https://p.scdn.co/mp3-preview/00ef28af8414e3aa33cd20e700a940dd4f525e5f?cid=7a1d4f939a1f4e9989be940adaeb2999",3,"track","spotify:track:2c1PXctrxMCsvYgMhbztVe","https://open.spotify.com/track/2c1PXctrxMCsvYgMhbztVe","ESQUINAS","C","major","C major"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.707,0.673,9,-5.865,0,0.0751,0.096,0,0.109,0.6,139.804,"6bZodraiDLxgMizrNH9F4X","https://api.spotify.com/v1/audio-analysis/6bZodraiDLxgMizrNH9F4X",3,1,164552,TRUE,"https://api.spotify.com/v1/tracks/6bZodraiDLxgMizrNH9F4X",FALSE,"LA NENA","https://p.scdn.co/mp3-preview/417c49fdc2a9dceacac5597c5cf9ccdf87c51455?cid=7a1d4f939a1f4e9989be940adaeb2999",4,"track","spotify:track:6bZodraiDLxgMizrNH9F4X","https://open.spotify.com/track/6bZodraiDLxgMizrNH9F4X","ESQUINAS","A","minor","A minor"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.851,0.676,2,-5.738,1,0.0366,0.395,0.00342,0.0907,0.523,132.007,"1DBXfbLYNqIlPwxjUxDxaR","https://api.spotify.com/v1/audio-analysis/1DBXfbLYNqIlPwxjUxDxaR",3,1,201993,FALSE,"https://api.spotify.com/v1/tracks/1DBXfbLYNqIlPwxjUxDxaR",FALSE,"CHANEL","https://p.scdn.co/mp3-preview/46a4f8af819949287dd9f9acbb2bd57704dcb447?cid=7a1d4f939a1f4e9989be940adaeb2999",5,"track","spotify:track:1DBXfbLYNqIlPwxjUxDxaR","https://open.spotify.com/track/1DBXfbLYNqIlPwxjUxDxaR","ESQUINAS","D","major","D major"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.655,0.514,5,-4.798,0,0.0295,0.601,0,0.0785,0.792,129.913,"07vIX6wlThl9fY6Zvcm9T9","https://api.spotify.com/v1/audio-analysis/07vIX6wlThl9fY6Zvcm9T9",4,1,171334,FALSE,"https://api.spotify.com/v1/tracks/07vIX6wlThl9fY6Zvcm9T9",FALSE,"PATRAS (with Yahritza Y Su Esencia)","https://p.scdn.co/mp3-preview/d87e0578b5d052ebbf4423ed55f54dc536171a28?cid=7a1d4f939a1f4e9989be940adaeb2999",6,"track","spotify:track:07vIX6wlThl9fY6Zvcm9T9","https://open.spotify.com/track/07vIX6wlThl9fY6Zvcm9T9","ESQUINAS","F","minor","F minor"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.648,0.806,5,-4.99,1,0.141,0.425,0,0.286,0.961,104.05,"3mvAYoRe4GhiTBcUUZRsFe","https://api.spotify.com/v1/audio-analysis/3mvAYoRe4GhiTBcUUZRsFe",4,1,176285,FALSE,"https://api.spotify.com/v1/tracks/3mvAYoRe4GhiTBcUUZRsFe",FALSE,"CUIDADITO","https://p.scdn.co/mp3-preview/c4d4ca184c224ab89132a84313e4616f305c07f7?cid=7a1d4f939a1f4e9989be940adaeb2999",7,"track","spotify:track:3mvAYoRe4GhiTBcUUZRsFe","https://open.spotify.com/track/3mvAYoRe4GhiTBcUUZRsFe","ESQUINAS","F","major","F major"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.762,0.703,0,-5.019,1,0.028,0.643,0,0.133,0.723,104.449,"5a1qwudJggw1SyPydJdEu1","https://api.spotify.com/v1/audio-analysis/5a1qwudJggw1SyPydJdEu1",4,1,208201,FALSE,"https://api.spotify.com/v1/tracks/5a1qwudJggw1SyPydJdEu1",FALSE,"UN PUÑO DE TIERRA","https://p.scdn.co/mp3-preview/4f92aa264c640aba1ec332dfd600542c87ff209e?cid=7a1d4f939a1f4e9989be940adaeb2999",8,"track","spotify:track:5a1qwudJggw1SyPydJdEu1","https://open.spotify.com/track/5a1qwudJggw1SyPydJdEu1","ESQUINAS","C","major","C major"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.86,0.782,10,-5.048,0,0.0496,0.191,5.32e-05,0.0744,0.897,139.993,"1Bm14jIaZuZTfhemzMN7xD","https://api.spotify.com/v1/audio-analysis/1Bm14jIaZuZTfhemzMN7xD",4,1,168533,FALSE,"https://api.spotify.com/v1/tracks/1Bm14jIaZuZTfhemzMN7xD",FALSE,"LOS ASTROS","https://p.scdn.co/mp3-preview/75c9aedd5467108334fa5a6885d0eed65ea39613?cid=7a1d4f939a1f4e9989be940adaeb2999",9,"track","spotify:track:1Bm14jIaZuZTfhemzMN7xD","https://open.spotify.com/track/1Bm14jIaZuZTfhemzMN7xD","ESQUINAS","A#","minor","A# minor"
"Becky G","4obzFoKoKRHIphyHzJ35G3","34Kj1LPZ7xhlskIb9qD6D6","album","2023-09-28",2023,"day",0.435,0.264,2,-5.755,1,0.0291,0.92,0,0.108,0.207,79.297,"7kUxcqnZn7UAv0XaSHPkJL","https://api.spotify.com/v1/audio-analysis/7kUxcqnZn7UAv0XaSHPkJL",4,1,201202,FALSE,"https://api.spotify.com/v1/tracks/7kUxcqnZn7UAv0XaSHPkJL",FALSE,"POR UN AMOR","https://p.scdn.co/mp3-preview/1910cdd94446ef47f68640cd5c6eca4520fd9daf?cid=7a1d4f939a1f4e9989be940adaeb2999",10,"track","spotify:track:7kUxcqnZn7UAv0XaSHPkJL","https://open.spotify.com/track/7kUxcqnZn7UAv0XaSHPkJL","ESQUINAS","D","major","D major"
