"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.869,0.871,6,-10.986,0,0.161,0.136,0.543,0.34,0.754,106.043,"6n3SqL1LT2SRbbaWDpd0Fz","https://api.spotify.com/v1/audio-analysis/6n3SqL1LT2SRbbaWDpd0Fz",4,1,32906,FALSE,"https://api.spotify.com/v1/tracks/6n3SqL1LT2SRbbaWDpd0Fz",FALSE,"Funk Formula 1 (Intro)","https://p.scdn.co/mp3-preview/7c1d908eaa62bd5db3455e41d60a08a41d30c298?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:6n3SqL1LT2SRbbaWDpd0Fz","https://open.spotify.com/track/6n3SqL1LT2SRbbaWDpd0Fz","The Power of the One","F#","minor","F# minor"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.745,0.786,5,-4.889,1,0.0371,0.00331,0.327,0.649,0.562,105.995,"3HUE2LkLoZNyxUPVGClp1k","https://api.spotify.com/v1/audio-analysis/3HUE2LkLoZNyxUPVGClp1k",4,1,298480,FALSE,"https://api.spotify.com/v1/tracks/3HUE2LkLoZNyxUPVGClp1k",FALSE,"The Power of the One","https://p.scdn.co/mp3-preview/9fefd67e971404efec157ac8e02ca72aaf151f98?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:3HUE2LkLoZNyxUPVGClp1k","https://open.spotify.com/track/3HUE2LkLoZNyxUPVGClp1k","The Power of the One","F","major","F major"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.637,0.863,7,-5.389,1,0.0856,0.000119,0.00125,0.315,0.376,108.011,"5aUWrOsrWEd33GzE1i3KJ7","https://api.spotify.com/v1/audio-analysis/5aUWrOsrWEd33GzE1i3KJ7",4,1,223400,FALSE,"https://api.spotify.com/v1/tracks/5aUWrOsrWEd33GzE1i3KJ7",FALSE,"Slide Eazy","https://p.scdn.co/mp3-preview/c4c2945b4d597c58db2aa2d8fbc8f529406828d4?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:5aUWrOsrWEd33GzE1i3KJ7","https://open.spotify.com/track/5aUWrOsrWEd33GzE1i3KJ7","The Power of the One","G","major","G major"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.589,0.831,4,-4.546,0,0.0306,0.000399,0.346,0.122,0.468,87.213,"0G6bhqsZpxapSAoKLjHK86","https://api.spotify.com/v1/audio-analysis/0G6bhqsZpxapSAoKLjHK86",4,1,293266,FALSE,"https://api.spotify.com/v1/tracks/0G6bhqsZpxapSAoKLjHK86",FALSE,"Creepin'","https://p.scdn.co/mp3-preview/982f2d82199abfd9e0cc80566db949e6ddcf1b24?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:0G6bhqsZpxapSAoKLjHK86","https://open.spotify.com/track/0G6bhqsZpxapSAoKLjHK86","The Power of the One","E","minor","E minor"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.59,0.874,1,-5.462,1,0.0545,0.00134,0.0293,0.0732,0.804,105.025,"1ePjiM953NQc7FfRTNjxsq","https://api.spotify.com/v1/audio-analysis/1ePjiM953NQc7FfRTNjxsq",4,1,302560,FALSE,"https://api.spotify.com/v1/tracks/1ePjiM953NQc7FfRTNjxsq",FALSE,"Jam On","https://p.scdn.co/mp3-preview/d2e65c7e44fb9b3dcaa3768b9326795d23a570f4?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:1ePjiM953NQc7FfRTNjxsq","https://open.spotify.com/track/1ePjiM953NQc7FfRTNjxsq","The Power of the One","C#","major","C# major"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.665,0.763,1,-5.799,1,0.119,0.04,0.0463,0.332,0.609,89.989,"0yTg2SabuWz4cA6Miywaxd","https://api.spotify.com/v1/audio-analysis/0yTg2SabuWz4cA6Miywaxd",4,1,250640,FALSE,"https://api.spotify.com/v1/tracks/0yTg2SabuWz4cA6Miywaxd",FALSE,"Lips Turn Blue","https://p.scdn.co/mp3-preview/42fb1671cc84d1bd23c374df73a1cd596ab23f4b?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:0yTg2SabuWz4cA6Miywaxd","https://open.spotify.com/track/0yTg2SabuWz4cA6Miywaxd","The Power of the One","C#","major","C# major"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.617,0.806,1,-6.378,0,0.118,0.0999,0,0.628,0.456,147.283,"1ETvmT5GkNbrlVjLAgpt5I","https://api.spotify.com/v1/audio-analysis/1ETvmT5GkNbrlVjLAgpt5I",4,1,239120,FALSE,"https://api.spotify.com/v1/tracks/1ETvmT5GkNbrlVjLAgpt5I",FALSE,"Funkship Area-51","https://p.scdn.co/mp3-preview/45ae8ecf8bcebfe9a3ea80fe4a573f21a00fd3f9?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:1ETvmT5GkNbrlVjLAgpt5I","https://open.spotify.com/track/1ETvmT5GkNbrlVjLAgpt5I","The Power of the One","C#","minor","C# minor"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.573,0.882,11,-7.39,0,0.266,0.000752,0.0395,0.0935,0.62,217.215,"30hmYbp8n8EzNMgEHDXKMg","https://api.spotify.com/v1/audio-analysis/30hmYbp8n8EzNMgEHDXKMg",4,1,248053,FALSE,"https://api.spotify.com/v1/tracks/30hmYbp8n8EzNMgEHDXKMg",FALSE,"Bewise","https://p.scdn.co/mp3-preview/4c5114c482d30d37e9cc23f577a3d2b360169101?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:30hmYbp8n8EzNMgEHDXKMg","https://open.spotify.com/track/30hmYbp8n8EzNMgEHDXKMg","The Power of the One","B","minor","B minor"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.732,0.695,1,-7.667,1,0.069,0.0103,0.000266,0.301,0.675,145.949,"2AdevdIqIEMVhTcKWSSR6S","https://api.spotify.com/v1/audio-analysis/2AdevdIqIEMVhTcKWSSR6S",4,1,335200,FALSE,"https://api.spotify.com/v1/tracks/2AdevdIqIEMVhTcKWSSR6S",FALSE,"Soul Not 4 Sale","https://p.scdn.co/mp3-preview/d4a2ea53d9552cdfe6c4ce04bf24ea8c15812969?cid=a684933cbff543e08213060e872e4bd5",9,"track","spotify:track:2AdevdIqIEMVhTcKWSSR6S","https://open.spotify.com/track/2AdevdIqIEMVhTcKWSSR6S","The Power of the One","C#","major","C# major"
"Bootsy Collins","5K0rbdBrs2tNXe5LeWMATT","0HiqFidTpNyPKiaW8B0lwg","album","2020-05-29",2020,"day",0.787,0.84,9,-6.403,0,0.0997,0.0272,0.000318,0.0346,0.769,108.023,"1KA8jfCoRvnyyW2dGjHdd2","https://api.spotify.com/v1/audio-analysis/1KA8jfCoRvnyyW2dGjHdd2",4,1,212866,FALSE,"https://api.spotify.com/v1/tracks/1KA8jfCoRvnyyW2dGjHdd2",FALSE,"Club Funkateers","https://p.scdn.co/mp3-preview/433e4ec785fa51a91fe1aaf88847f0dbb1edd291?cid=a684933cbff543e08213060e872e4bd5",10,"track","spotify:track:1KA8jfCoRvnyyW2dGjHdd2","https://open.spotify.com/track/1KA8jfCoRvnyyW2dGjHdd2","The Power of the One","A","minor","A minor"
